,0,1,2,3
0,Joel Osteen,"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.","[christmas, love, time]",family
1,Kim Kardashian,"At the end of the day, life is about being happy being who you are, and I feel like we are so blessed to have the support system and the best family to really just support each other no matter what we're going through.","[life, best, happy]",family
2,Caroline Kennedy,"It's true, Christmas can feel like a lot of work, particularly for mothers. But when you look back on all the Christmases in your life, you'll find you've created family traditions and lasting memories. Those memories, good and bad, are really what help to keep a family together over the long haul.","[christmas, life, work]",family
3,Michael J. Fox,Family is not an important thing. It's everything.,"[important, everything, thing]",family
4,Desmond Tutu,"You don't choose your family. They are God's gift to you, as you are to them.","[god, gift, choose]",family
5,John Wooden,The most important thing in the world is family and love.,"[love, father's day, world]",family
6,Buddha,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.","[happiness, wisdom, peace]",family
7,Earl Nightingale,"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.","[life, work, time]",family
8,Richard Bach,"The bond that links your true family is not one of blood, but of respect and joy in each other's life.","[life, respect, joy]",family
9,George Burns,"Happiness is having a large, loving, caring, close-knit family in another city.","[funny, happiness, caring]",family
10,Lil' Kim,"I am blessed to have so many great things in my life - family, friends and God. All will be in my thoughts daily.","[life, god, daily]",family
11,Aishwarya Rai Bachchan,My family is my strength and my weakness.,"[strength, weakness]",family
12,Josie Loren,"God has blessed me with an amazing family, friends and work colleagues that have been my joy, my support, and my sanity. I don't know what I'd do without them.","[work, god, joy]",family
13,Charles Kuralt,The love of family and the admiration of friends is much more important than wealth and privilege.,"[love, friends, wealth]",family
14,George Santayana,The family is one of nature's masterpieces.,"[nature, masterpieces]",family
15,Joyce Meyer,I believe that the greatest gift you can give your family and the world is a healthy you.,"[health, greatest, gift]",family
16,Kofi Annan,"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.","[education, knowledge, power]",family
17,A. P. J. Abdul Kalam,"If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.","[teacher, father, mother]",family
18,Lex Luger,"Many times, the decisions we make affect and hurt your closest friends and family the most. I have a lot of regrets in that regard. But God has forgiven me, which I am very thankful for. It has enabled me to forgive myself and move forward one day at a time.","[time, forgiveness, thankful]",family
19,Eric Hoffer,Children are the keys of paradise.,"[children, paradise, keys]",family
20,Kelly Clarkson,"My friends and family are my support system. They tell me what I need to hear, not what I want to hear and they are there for me in the good and bad times. Without them I have no idea where I would be and I know that their love for me is what's keeping my head above the water.","[love, good, water]",family
21,Ellen Hopkins,"Christmas is far and away my favorite holiday. I love everything about it, from the event that inspired it, hoping for a white one, to wrapping presents. But mostly I love having family and friends gathered, and sharing traditions.","[christmas, love, holiday]",family
22,Willard Scott,"Positive feelings come from being honest about yourself and accepting your personality, and physical characteristics, warts and all; and, from belonging to a family that accepts you without question.","[positive, personality]",family
23,Christina Rossetti,"For there is no friend like a sister in calm or stormy weather; To cheer one on the tedious way, to fetch one if one goes astray, to lift one if one totters down, to strengthen whilst one stands.","[sister, calm, weather]",family
24,Philip Green,It's all about quality of life and finding a happy balance between work and friends and family.,"[life, work, happy]",family
25,Brad Goreski,"I love everything about the holidays: the decorations, the parties, and spending time with friends and family. What I love most is that feeling of giving back. Every bit counts.","[love, time, holidays]",family
