,0,1,2,3
0,Ron Reagan,The joke in our family is that we can cry reading the phone book.,"[book, reading, phone]",family
1,Regina King,I stay in tune with my family and God.,"[god, stay, tune]",family
2,Joseph Stiglitz,"I grew up in a family in which political issues were often discussed, and debated intensely.","[political, issues, which]",family
3,Richard G. Scott,"Make a Goal Box, a chart of positive daily contact with a family when you are working with them.","[positive, daily, goal]",family
4,Richard G. Scott,"The most difficult is the first family, to bring someone out of the world.","[world, someone, difficult]",family
5,John Cheever,"When I remember my family, I always remember their backs. They were always indignantly leaving places.","[leaving, remember, always]",family
6,Douglass North,Our family life was certainly not intellectual.,"[life, intellectual]",family
7,Michael Enzi,"If we abandon marriage, we abandon the family.","[marriage, abandon]",family
8,Abbe Pierre,My family background was deeply Christian.,"[christian, background]",family
9,Ryan Eggold,"I love all my fam. I have quite possibly the best dad, mom, and sister in the world.","[love, best, mom]",family
10,Catherine O'Hara,"I'm pretty much a good Catholic girl at heart and I believe in family. I also have a basic belief that God takes care of me. I believe in prayer, even though I'm not that religious. I just have that foundation from my family. I mean when you think that you're just a human being and one of God's creatures, you can't take anything that seriously.","[god, good, heart]",family
11,Alex Haley,"When you start about family, about lineage and ancestry, you are talking about every person on earth.","[earth, start, talking]",family
