,0,1,2,3
0,Mario Balotelli,"When I wasn't famous, I had a lot of friends, almost all of them Italian. The racism only started when I started to play football.","[racism, football, friends]",famous
1,Mario Balotelli,"Sometimes I dream to be alone and that nobody would talk to me. But I understand that football is really important and that everybody watches it. When you're famous, you have to do photos or autographs, especially for the kids.","[alone, football, me]",famous
2,Geoff Johns,"There's a famous tension between Green Lantern and Green Arrow in the comic books. Those guys have always been friends. They started off as not on the same page, and then they quickly became best friends.","[best, friends, green]",famous
3,Burgess Owens,"The true fans were capable of not only painting their cars and homes their team colors, but also naming family pets and offspring after famous NFL all-stars.","[family, team, colors]",famous
4,Nicole Scherzinger,"I was a shy kid, but somehow I knew I would make it as a performer. I'd always be telling my mum that I was going to be a famous singer. In my school yearbooks I would write, 'Remember me when I'm famous.' I knew I had a gift.","[school, gift, me]",famous
5,Shane Filan,"I don't think about success to be famous, because I've done that at the highest level, but it's all about my children.","[success, children, think]",famous
6,Nigel Hamilton,"I once wrote that Lord Moran, Churchill's doctor, had doctored his diaries as well as his famous patient. That was true but unfair. Although their authenticity as contemporary, daily accounts is often questionable, the observations are quite wonderful.","[daily, doctor, true]",famous
7,Stewart Lee,I don't think I'd want to be a comedian today if I saw it on the telly. I wouldn't think it was a thing for weirdoes and drop-outs; I'd think it was a thing for squares who wanted to be famous.,"[today, want, think]",famous
8,Michael Arrington,"There are lots of things that I will probably never experience in this life. Military combat. Being dictator of a small central American country. Dunking a basketball. Being a famous rock star. Or walking on Mars. But one thing I have been, and will always be, is an entrepreneur.","[life, experience, walking]",famous
9,Toby Jones,I studied Hitchcock a little bit at University and knew the famous story about the Birds - that he'd tortured Tippi for a day using real birds. I had no idea that it was a five-day onslaught and that it was the tip of an iceberg that carried on through to another film.,"[day, birds, story]",famous
10,Nicholas Hoult,"After 'Skins' I became mildly famous, which was a bit of a disaster.","[disaster, which, skins]",famous
11,Jennifer Grey,"Practically everyone in Hollywood has a neighbor who's been famous, wants to be famous, is famous, has been married to someone famous, worked with someone famous, slept with someone famous, been blackmailed by someone famous.","[someone, neighbor, hollywood]",famous
12,Eliza Dushku,"I wanted to be a political science professor and go to school in Boston. I never wanted to be a big, famous movie star and TV star. It kind of found me.","[science, school, political]",famous
13,Clive Sinclair,"Even when she was alive, Esther Kreitman's novels, short stories and translations received far less attention than the work of her famous brothers, I. J. and Isaac Bashevis Singer.","[work, short, attention]",famous
14,Jamie Cullum,"You're only famous in the eyes of others. Inside, you're still the same, and not a hundred million records or TV shows can change that. I think the only pitfall of fame is believing that it means something, and behaving like that.","[change, eyes, fame]",famous
15,Samuel L. Jackson,"I walk the streets, take the train, it's real simple. Some actors create their own mythology: 'Oh, I'm so famous I can't go places, because I created this mythology that I'm so famous I can't go places.'","[simple, walk, train]",famous
16,Bruce Willis,"I've always had confidence. Before I was famous, that confidence got me into trouble. After I got famous, it just got me into more trouble.","[confidence, me, trouble]",famous
17,Bill James,Famous crime stories almost always lead to the passing of new laws.,"[crime, new, always]",famous
18,Sarah Michelle Gellar,"Normal is such a hard word to use, because everyone's idea of normal is different. Real is what the word is. I think you either live a real life or you live a weird celebrity pseudolife. I think I lead a really real life.","[life, live, weird]",famous
19,Matt LeBlanc,"It's funny - nowadays people that are famous get chased by paparazzi. They have this fame, but they don't have the money to hide from it.","[funny, money, people]",famous
20,Robert Wyatt,"Being big and famous doesn't get you more freedom, it gets you less.","[freedom, you, big]",famous
21,Elisha Cuthbert,"Some of the things I've seen a lot of my female-actress friends who are relatively famous receive - I've seen some hideous things. Like some really, really bad things... like, the FBI should be contacted immediately.","[friends, bad, receive]",famous
22,Jonny Greenwood,"It feels like Radiohead are famous, but that no one knows who we are. Which is brilliant, really.","[brilliant, like, which]",famous
23,Adrienne Mayor,The strong bond of sisterhood was a famous trait in classical art and literature about Amazons. But it was modern people who interpreted that as a sexual preference for women. That started in the 20th century. The Russian poet Marina Tsvetaeva declared that Amazons were symbolic of lesbianism in antiquity.,"[art, women, strong]",famous
24,Adrienne Mayor,"The cultural center of Asia Minor, Pergamon boasted a vast library of 200,000 scrolls, a spectacular 10,000-seat theater, and a monumental Great Altar decorated with sculptures of the Olympian gods defeating the Giants. People came from all around the Mediterranean seeking cures at the famous Temple of Asclepius, god of medicine.","[god, great, people]",famous
25,Lawrence Welk,Duke Ellington was famous for hs very original harmonic patterns.,"[original, patterns, duke]",famous
