,0,1,2,3
0,John Wooden,The most important thing in the world is family and love.,"[love, family, world]",fathersday
1,Jim DeMint,"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.","[mom, dad, greatest]",fathersday
2,William Shakespeare,"When a father gives to his son, both laugh; when a son gives to his father, both cry.","[father, son, laugh]",fathersday
3,Jim Valvano,"My father gave me the greatest gift anyone could give another person, he believed in me.","[father, greatest, gift]",fathersday
4,Tiger Woods,"My dad was my best friend and greatest role model. He was an amazing dad, coach, mentor, soldier, husband and friend.","[best, dad, greatest]",fathersday
5,Frank Abagnale,"A real man loves his wife, and places his family as the most important thing in life. Nothing has brought me more peace and content in life than simply being a good husband and father.","[life, family, peace]",fathersday
6,Kent Nerburn,"Until you have a son of your own... you will never know the joy, the love beyond feeling that resonates in the heart of a father as he looks upon his son.","[love, father, joy]",fathersday
7,Naveen Jain,"Being a father has been, without a doubt, my greatest source of achievement, pride and inspiration. Fatherhood has taught me about unconditional love, reinforced the importance of giving back and taught me how to be a better person.","[love, father, giving]",fathersday
8,Paul Walker,"I think my mom put it best. She said, 'Little girls soften their daddy's hearts.'","[best, mom, little girls]",fathersday
9,Euripides,To a father growing old nothing is dearer than a daughter.,"[father, daughter, nothing]",fathersday
10,Michael Jordan,"My father used to say that it's never too late to do anything you wanted to do. And he said, 'You never know what you can accomplish until you try.'","[father, late, know]",fathersday
11,William Shakespeare,It is a wise father that knows his own child.,"[father, wise, child]",fathersday
12,Ben Okri,"One of the greatest gifts my father gave me - unintentionally - was witnessing the courage with which he bore adversity. We had a bit of a rollercoaster life with some really challenging financial periods. He was always unshaken, completely tranquil, the same ebullient, laughing, jovial man.","[life, courage, father]",fathersday
13,Max Lucado,"I was raised in the greatest of homes... just a really great dad, and I miss him so much... he was a good man, a real simple man... Very faithful, always loved my mom, always provided for the kids, and just a lot of fun.","[mom, good, dad]",fathersday
14,Wynton Marsalis,We looked up to our father. He still is much greater than us.,"[father, much, us]",fathersday
15,Robert Frost,You don't have to deserve your mother's love. You have to deserve your father's.,"[love, father, mother]",fathersday
16,Victor Hugo,"Son, brother, father, lover, friend. There is room in the heart for all the affections, as there is room in heaven for all the stars.","[father, stars, heart]",fathersday
17,William Graham Sumner,"A good father believes that he does wisely to encourage enterprise, productive skill, prudent self-denial, and judicious expenditure on the part of his son.","[father, good, son]",fathersday
18,Nick Lachey,"To me, having kids is the ultimate job in life. I want to be most successful at being a good father.","[life, father, good]",fathersday
19,Yehuda Berg,"I imagine God to be like my father. My father was always the voice of certainty in my life. Certainty in the wisdom, certainty in the path, certainty always in God. For me God is certainty in everything. Certainty that everything is good and everything is God.","[life, wisdom, god]",fathersday
20,"Sammy Davis, Jr.",I wasn't anything special as a father. But I loved them and they knew it.,"[father, loved, special]",fathersday
21,George Best,"The best thing about being a dad? Well, I think it's just the thing that every man wants - to have a son and heir.","[best, dad, man]",fathersday
22,Rod Stewart,I can definitely say the older I've got the better I've become at being a dad and a husband.,"[dad, husband, better]",fathersday
23,Dante Hall,"I would want my legacy to be that I was a great son, father and friend.","[father, great, legacy]",fathersday
24,Kojo Annan,I admire my father greatly.,"[father, admire, greatly]",fathersday
25,Dwyane Wade,"Fatherhood is the best thing that could happen to me, and I'm just glad I can share my voice.","[best, voice, me]",fathersday
