,0,1,2,3
0,Seann William Scott,My role model is my dad.,"[dad, role model, role]",fathersday
1,Sidney Poitier,I decided in my life that I would do nothing that did not reflect positively on my father's life.,"[life, father, my life]",fathersday
2,Mike Myers,I would love to be a father. I had a great father who taught me how gratifying that is. I'm not going to deny myself that. I think I'd be good at it. Everybody wants that experience. I definitely do.,"[love, experience, father]",fathersday
3,Christopher Meloni,"I had no expectations about fatherhood, really, but it's definitely a journey I'm glad to be taking. Number one, it's a great learning experience. When my mother told me it's a 24/7 job, she wasn't kidding.","[learning, journey, mother]",fathersday
4,Margaret Heffernan,"In our house, Mother's Day is every day. Father's Day, too. In our house, parents count. They do important work and that work matters. One day just doesn't cut for us.","[work, father, mother]",fathersday
5,Conrad Hall,"Dad, wherever you are, you are gone but you will never be forgotten.","[dad, you, will]",fathersday
6,Bo Jackson,I would say my greatest achievement in life right now - my greatest achievement period is - and I'm still trying to achieve it - is to be a wonderful father to my kids.,"[life, father, greatest]",fathersday
7,Jennifer Grant,"When it comes to Father's Day, I will remember my dad for both being there to nurture me and also for the times he gave me on my own to cultivate my own interests and to nurture my own spirit.","[father, dad, day]",fathersday
8,Steve Zahn,I'm a good dad; I spend a lot of time with my kids.,"[time, good, dad]",fathersday
9,Matthew Modine,"We should all aspire in life to do a multitude of things well - to be a great father, to be a good husband, to be a good lover, you know, to try to do things the best you can is very important to me.","[life, best, father]",fathersday
10,Dennis Banks,I have a Father's Day every day.,"[father, day, every day]",fathersday
11,Gloria Naylor,"Old as she was, she still missed her daddy sometimes.","[she, sometimes, daddy]",fathersday
12,Cher Lloyd,"My dad's my best mate, and he always will be.","[best, dad, always]",fathersday
