,0,1,2,3
0,Eleanor Roosevelt,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'","[strength, courage]",fear
1,Soledad O'Brien,"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?","[journey, freedom, great]",fear
2,Jackson Pollock,"I have no fear of making changes, destroying the image, etc., because the painting has a life of its own.","[life, art, painting]",fear
3,Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"[life, time, death]",fear
4,Taylor Swift,"Red is such an interesting color to correlate with emotion, because it's on both ends of the spectrum. On one end you have happiness, falling in love, infatuation with someone, passion, all that. On the other end, you've got obsession, jealousy, danger, fear, anger and frustration.","[love, happiness, passion]",fear
5,Nelson Mandela,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.","[courage, man, brave]",fear
6,Plato,We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,"[life, light, men]",fear
7,Thomas Paine,"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.","[love, smile, strength]",fear
8,Eleanor Roosevelt,"We are afraid to care too much, for fear that the other person does not care at all.","[relationship, care, afraid]",fear
9,Ariana Grande,"Love is a really scary thing, and you never know what's going to happen. It's one of the most beautiful things in life, but it's one of the most terrifying. It's worth the fear because you have more knowledge, experience, you learn from people, and you have memories.","[life, love, knowledge]",fear
10,Charles Stanley,"Our heavenly Father understands our disappointment, suffering, pain, fear, and doubt. He is always there to encourage our hearts and help us understand that He's sufficient for all of our needs. When I accepted this as an absolute truth in my life, I found that my worrying stopped.","[life, god, father]",fear
11,Mark Twain,"Courage is resistance to fear, mastery of fear, not absence of fear.","[courage, resistance, absence]",fear
12,Tecumseh,"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.","[time, death, home]",fear
13,Steve Jobs,"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important.","[life, death, failure]",fear
14,Jim Morrison,"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.","[freedom, power, yourself]",fear
15,Thich Nhat Hanh,"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones.","[future, today, eyes]",fear
16,Stacy London,"Don't let fear or insecurity stop you from trying new things. Believe in yourself. Do what you love. And most importantly, be kind to others, even if you don't like them.","[love, believe in yourself]",fear
17,Kevin Bacon,"I really believe that all of us have a lot of darkness in our souls. Anger, rage, fear, sadness. I don't think that's only reserved for people who have horrible upbringings. I think it really exists and is part of the human condition. I think in the course of your life you figure out ways to deal with that.","[life, sad, anger]",fear
18,Regina Brett,"Some days, 24 hours is too much to stay put in, so I take the day hour by hour, moment by moment. I break the task, the challenge, the fear into small, bite-size pieces. I can handle a piece of fear, depression, anger, pain, sadness, loneliness, illness. I actually put my hands up to my face, one next to each eye, like blinders on a horse.","[horse, day, anger]",fear
19,George S. Patton,Battle is the most magnificent competition in which a human being can indulge. It brings out all that is best; it removes all that is base. All men are afraid in battle. The coward is the one who lets his fear overcome his sense of duty. Duty is the essence of manhood.,"[best, war, battle]",fear
20,Paulo Coelho,Remember your dreams and fight for them. You must know what you want from life. There is just one thing that makes your dream become impossible: the fear of failure.,"[life, dreams, failure]",fear
21,Dwight D. Eisenhower,"This world of ours... must avoid becoming a community of dreadful fear and hate, and be, instead, a proud confederation of mutual trust and respect.","[respect, trust, community]",fear
22,Will Thomas,There's no fear when you're having fun.,"[having fun, fun, no fear]",fear
23,Harry S Truman,"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.","[courage, determination]",fear
24,Aung San Suu Kyi,It is not power that corrupts but fear. Fear of losing power corrupts those who wield it and fear of the scourge of power corrupts those who are subject to it.,"[power, losing]",fear
25,Jesse Jackson,"At the end of the day, we must go forward with hope and not backward by fear and division.","[hope, end, day]",fear
