,0,1,2,3
0,Sylvester Stallone,"I have a lack of fear, whereas in the past the fear of failure was a powerful motivator. Anyway, I have great expectations for the future, but I just don't know if I'm the monarch of all I survey.","[future, failure, great]",fear
1,Virgil,Fear is proof of a degenerate mind.,"[mind, proof, degenerate]",fear
2,Dean Inge,I have no fear that the candle lighted in Palestine years ago will ever be put out.,"[candle, no fear, will]",fear
3,Rene Magritte,We must not fear daylight just because it almost always illuminates a miserable world.,"[world, miserable]",fear
4,Ben Jonson,There is no greater hell than to be a prisoner of fear.,"[hell, prisoner, than]",fear
5,Jiddu Krishnamurti,The constant assertion of belief is an indication of fear.,"[belief, constant, assertion]",fear
6,Mel Brooks,"Everything we do in life is based on fear, especially love.","[life, love, everything]",fear
7,Niccolo Machiavelli,Men shrink less from offending one who inspires love than one who inspires fear.,"[love, men, less]",fear
8,Maggie Kuhn,Stand before the people you fear and speak your mind - even if your voice shakes.,"[mind, people, voice]",fear
9,William Shenstone,Jealousy is the fear or apprehension of superiority: envy our uneasiness under it.,"[jealousy, envy, superiority]",fear
10,Khalil Gibran,"March on. Do not tarry. To go forward is to move toward perfection. March on, and fear not the thorns, or the sharp stones on life's path.","[motivational, life, path]",fear
11,Dorothy Thompson,"There is nothing to fear except the persistent refusal to find out the truth, the persistent refusal to analyze the causes of happenings.","[truth, find, nothing]",fear
12,Arianna Huffington,"There's no love more intense than the love we have for our kids - and where there is intense love, there is also intense fear lurking beneath the surface.","[love, kids, no love]",fear
13,D. H. Lawrence,The Christian fear of the pagan outlook has damaged the whole consciousness of man.,"[man, christian]",fear
14,Max Frisch,Jealousy is the fear of comparison.,"[jealousy, comparison]",fear
15,Chanakya,"He who is overly attached to his family members experiences fear and sorrow, for the root of all grief is attachment. Thus one should discard attachment to be happy.","[family, happy, grief]",fear
16,Emma Watson,I've probably earned the right to screw up a few times. I don't want the fear of failure to stop me from doing what I really care about.,"[failure, me, care]",fear
17,David Thewlis,"I don't worry. I'm more stoical. Of course I have insecurities. I fear getting older. I fear death and illness. I'm not prone to depression, but I get depressed because everybody gets depressed. Suddenly I'm away from my family or doing a job I'm not enjoying.","[family, death, depression]",fear
18,Cornel West,"My dear brother Barack Obama has a certain fear of free black men. As a young brother who grows up in a white context, brilliant African father, he's always had to fear being a white man with black skin. All he has known culturally is white. He has a certain rootlessness, a deracination.","[father, man, men]",fear
19,Robin Quivers,Too many people don't do things for fear of falling. You'll never get good unless you fall. Experiences and new accomplishments are feelings we should never lose.,"[good, people, fall]",fear
20,Frank Iero,"These days, all we hear about is that the industry is in trouble. Everybody is so scared, but our mission statement is having no fear.","[no fear, mission, trouble]",fear
21,Jeff Gordon,"I think fear is what keeps us from going over the edge. I mean, as a race car driver, I don't think what makes a good race car driver is a fearless person. I think it's somebody that is comfortable being behind the wheel of something that's somewhat out of control.","[good, car, control]",fear
22,Chaz Bono,"For me, it was never a question of whether or not I was transgender. It was a question of what I'd be able to handle transitioning and having to do it in the public eye. One of the issues that was hard for me to overcome was the fear of that.","[eye, me, question]",fear
23,Julia Child,"I think one of the terrible things today is that people have this deathly fear of food: fear of eggs, say, or fear of butter. Most doctors feel that you can have a little bit of everything.","[food, today, people]",fear
24,Alice Walker,"As you know from school, it's when you have not prepared for the test that you have the fear of failing. And if you have prepared, even if you fail, you've done your best.","[best, school, know]",fear
25,Clint Eastwood,"Whether you like it or not, you're forced to come to the realisation that death is out there. But I don't fear death, I'm a fatalist. I believe when it's your time, that's it. It's the hand you're dealt.","[time, death, believe]",fear
