,0,1,2,3
0,Benjamin Franklin,"In this world nothing can be said to be certain, except death and taxes.","[death, world, nothing]",finance
1,Benjamin Franklin,Beware of little expenses. A small leak will sink a great ship.,"[great, small, ship]",finance
2,William Feather,"One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute.","[funny, time, stock market]",finance
3,John Kenneth Galbraith,"Under capitalism, man exploits man. Under communism, it's just the opposite.","[man, capitalism, communism]",finance
4,"H. Jackson Brown, Jr.",Watch your finances like a hawk.,"[watch, hawk, like]",finance
5,John Locke,"Our incomes are like our shoes; if too small, they gall and pinch us; but if too large, they cause us to stumble and to trip.","[small, shoes, us]",finance
6,Hillary Clinton,"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.","[business, trust, law]",finance
7,E. F. Schumacher,Infinite growth of material consumption in a finite world is an impossibility.,"[growth, world, infinite]",finance
8,Benjamin Franklin,Your net worth to the world is usually determined by what remains after your bad habits are subtracted from your good ones.,"[good, world, bad]",finance
9,John Maynard Keynes,The avoidance of taxes is the only intellectual pursuit that still carries any reward.,"[intellectual, reward, taxes]",finance
10,Richard Branson,"Well, I think that there's a very thin dividing line between success and failure. And I think if you start a business without financial backing, you're likely to go the wrong side of that dividing line.","[success, business, failure]",finance
11,Muhammad Yunus,"Today, if you look at financial systems around the globe, more than half the population of the world - out of six billion people, more than three billion - do not qualify to take out a loan from a bank. This is a shame.","[today, world, people]",finance
12,Mark Cuban,"Being rich is a good thing. Not just in the obvious sense of benefitting you and your family, but in the broader sense. Profits are not a zero sum game. The more you make, the more of a financial impact you can have.","[family, good, impact]",finance
13,T. Harv Eker,"The only way to permanently change the temperature in the room is to reset the thermostat. In the same way, the only way to change your level of financial success 'permanently' is to reset your financial thermostat. But it is your choice whether you choose to change.","[success, change, financial]",finance
14,Gail Collins,I admired the way McCain worked on campaign finance reform. I admired the way Nancy Pelosi stiffened the Democrats' spine during the health care debate. I admire the way Barack Obama has raised a dog in the White House without ever putting it on the roof of the car for a vacation drive.,"[health, car, dog]",finance
15,Jules Renard,I finally know what distinguishes man from the other beasts: financial worries.,"[man, financial, know]",finance
16,Milton Friedman,Inflation is taxation without legislation.,"[without, taxation]",finance
17,Evan Davis,"We all know that Americans love their statistics - in sport, obviously. And in finance too.","[love, statistics, know]",finance
18,Angela Merkel,"I feel sorry sometimes for these sportsmen and women who put in just as much effort as the footballers. For example, athletes train at least as hard as footballers but have to be happy if they can earn enough to finance a decent education.","[education, women, happy]",finance
19,Adam Smith,All money is a matter of belief.,"[money, belief, matter]",finance
20,David Ricardo,There can be no rise in the value of labour without a fall of profits.,"[value, fall, rise]",finance
21,Sanjay Kumar,"Finance is critical. If sufficient investment is made in infrastructure and venture capital is made available, there will be a big improvement in the situation.","[improvement, investment]",finance
22,William Petty,Money is the best rule of commerce.,"[best, money, commerce]",finance
23,Maria Bartiromo,Most women outlive their spouses. Divorce remains at record rates. It's important for a woman to be able to control her finances.,"[women, woman, control]",finance
24,David Ricardo,"Gold and silver, like other commodities, have an intrinsic value, which is not arbitrary, but is dependent on their scarcity, the quantity of labour bestowed in procuring them, and the value of the capital employed in the mines which produce them.","[value, gold, quantity]",finance
25,Ron Lewis,"Financial literacy is an issue that should command our attention because many Americans are not adequately organizing finances for their education, healthcare and retirement.","[education, retirement]",finance
