,0,1,2,3
0,Merton Miller,You only need to make one big score in finance to be a hero forever.,"[hero, you, score]",finance
1,Merton Miller,"My expertise was in public finance, particularly corporate taxation, since I had worked at the US Treasury.","[expertise, taxation, us]",finance
2,Merton Miller,"I had some of the students in my finance class actually do some empirical work on capital structures, to see if we could find any obvious patterns in the data, but we couldn't see any.","[work, find, data]",finance
3,Merton Miller,Arbitrage proof has since been widely used throughout finance and economics.,"[economics, proof, used]",finance
4,F. W. de Klerk,"The government that came into power after the April 1994 elections was going to need a budget. It was drafted by our finance minister, Derek Keys, and he convinced them of the necessity to stay within the free-market principles that had been in force in South Africa for decades.","[power, government, budget]",finance
5,Mathias Rust,I now work for a finance company in Luxembourg with projects in South America and the Caribbean.,"[work, america, company]",finance
6,Scott Cook,"Thirty to 40 years ago, most financial decisions were fairly simple.","[simple, decisions, financial]",finance
7,Tim Jackson,Productivity - the amount of output delivered per hour of work in the economy - is often viewed as the engine of progress in modern capitalist economies. Output is everything. Time is money. The quest for increased productivity occupies reams of academic literature and haunts the waking hours of C.E.O.s and finance ministers.,"[work, time, money]",finance
8,Alfred Marshall,Capital is that part of wealth which is devoted to obtaining further wealth.,"[wealth, which, capital]",finance
9,Alfred Marshall,The price of every thing rises and falls from time to time and place to place; and with every such change the purchasing power of money changes so far as that thing goes.,"[change, time, money]",finance
10,Justin Welby,"The longer I go on, the more I am aware of the power of finance.","[power, i am, go]",finance
11,Joely Richardson,"Everyone knows in the industry that when these great roles come up, every two years, there's a huge number of people up for them. I'm not one of those top five females that can personally finance any film.","[great, people, everyone]",finance
12,Steve Israel,"As you know, Social Security functions under the premise that today's workers will help finance benefits for retirees and that these workers will then be supported by the next generation of workers paying into the same system.","[today, generation, help]",finance
13,Mark Rydell,"It's very difficult to break into motion pictures, but it's oddly easier for directors today because of independent films and cable, who have inherited for the most part those films of substance that the studios are reluctant to finance.","[today, difficult, pictures]",finance
14,Mikhail Khodorkovsky,Large companies cannot finance political parties as their shareholders and employees have different political views.,"[political, employees]",finance
15,Ngozi Okonjo-Iweala,"When I became finance minister, they called me Okonjo-Wahala - or 'Trouble Woman.' It means 'I give you hell.' But I don't care what names they call me. I'm a fighter; I'm very focused on what I'm doing, and relentless in what I want to achieve, almost to a fault. If you get in my way, you get kicked.","[woman, me, care]",finance
16,Kayla Tausche,"I think that, in addition of the intersection of media and technology, there has also been an intersection between technology and finance, which is something I find a little closer to home, seeing as I spend so much time covering Wall Street banks.","[time, technology, home]",finance
17,Allan Savory,"People in all walks of life, and especially business, do not want to experience the collapse of cities like New York along with global finance and economy in chaos, but this is what business faces if we continue to attribute climate change to fossil fuels alone.","[life, change, business]",finance
18,Robert Shapiro,"During my undergraduate training at UCLA, I was studying finance and securities; my particular interest was with mutual funds. Wanting to get into a high position at some of the companies that were doing that, I knew that law would be useful.","[training, law, studying]",finance
19,Elena Kagan,"In fact, corporate and union moneys go overwhelmingly to incumbents, so limiting that money, as Congress did in the campaign finance law, may be the single most self-denying thing that Congress has ever done.","[money, law, may]",finance
20,Rodrigo Rato,Masood Ahmed brings to the position of director of external relations extensive experience gained in a range of senior positions in international finance and development.,"[experience, senior]",finance
21,Carol W. Greider,Students and postdoctoral fellows largely depend on the support of the public sector to finance the training and research that will make them world-renowned scientists.,"[training, support, research]",finance
22,Oliver E. Williamson,The transaction cost approach maintains that some projects are easy to finance by debt and ought to be financed by debt. These are projects for which physical-asset specificity is low to moderate.,"[easy, debt, cost]",finance
23,Robert Graves,"What we now call 'finance' is, I hold, an intellectual perversion of what began as warm human love.","[love, warm, intellectual]",finance
24,Nick Johnson,"I don't plan on going back to legal work. I wanted an international career, and finance seemed to be where some interesting career opportunities were.","[work, opportunities, plan]",finance
25,Lowell McAdam,"We're extremely excited about the assets that Yahoo has in the areas of Sports and Finance and Email and News. You match those up with AOL, and we've just made an exponential leap in capabilities here.","[sports, news, you]",finance
