,0,1,2,3
0,Morihei Ueshiba,"The purpose of training is to tighten up the slack, toughen the body, and polish the spirit.","[training, purpose, body]",fitness
1,Kim Kardashian,"If I don't feel confident about my body, I'm not going to sit at home and feel sorry for myself and not do something about it. It's all about taking action and not being lazy. So you do the work, whether it's fitness or whatever. It's about getting up, motivating yourself and just doing it.","[work, home, myself]",fitness
2,Gene Tunney,"To enjoy the glow of good health, you must exercise.","[health, good, good health]",fitness
3,John F. Kennedy,"Physical fitness is not only one of the most important keys to a healthy body, it is the basis of dynamic and creative intellectual activity.","[creative, body, healthy]",fitness
4,Joseph Addison,Reading is to the mind what exercise is to the body.,"[mind, reading, exercise]",fitness
5,Jim Rohn,Take care of your body. It's the only place you have to live.,"[body, care, live]",fitness
6,Denis Waitley,Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,"[time, health, appreciate]",fitness
7,Steven Wright,"A lot of people are afraid of heights. Not me, I'm afraid of widths.","[people, me, afraid]",fitness
8,Marquis de Sade,Your body is the church where Nature asks to be reverenced.,"[nature, body, church]",fitness
9,Wilhelm von Humboldt,True enjoyment comes from activity of the mind and exercise of the body; the two are ever united.,"[mind, exercise, body]",fitness
10,LL Cool J,I think fitness is important. I think a healthy lifestyle is important. I think putting positive energy out there is important and just staying connected with the people.,"[positive, people, healthy]",fitness
11,Michael Phelps,"Swimming is normal for me. I'm relaxed. I'm comfortable, and I know my surroundings. It's my home.","[home, swimming, me]",fitness
12,Vinoba Bhave,"If a man achieves victory over this body, who in the world can exercise power over him? He who rules himself rules over the whole world.","[power, man, victory]",fitness
13,Ludwig Wittgenstein,The human body is the best picture of the human soul.,"[best, soul, body]",fitness
14,Thomas Jefferson,Walking is the best possible exercise. Habituate yourself to walk very far.,"[best, yourself, walking]",fitness
15,Charlie Kimball,"The typical response from people when I tell them I'm diabetic is, 'Oh, I'm sorry to hear that.' You know, I'm not. I'm a better athlete because of diabetes rather than despite it. I'm more aware of my training, my fitness and more aware of nutrition. I'm more proactive about my health.","[health, training, people]",fitness
16,Jenson Button,Resting for me is fitness training.,"[training, me, resting]",fitness
17,Cesar Millan,"When you have a certain fitness projection, it's going to give you an advantage. Having strength, stamina and speed is important because I'm working with dogs who can kill me.","[strength, me, dogs]",fitness
18,James Thomson,"Health is the vital principle of bliss, and exercise, of health.","[health, exercise, bliss]",fitness
19,Jim Otto,You must also give mental and physical fitness priority.,"[mental, you]",fitness
20,Joan Rivers,"The first time I see a jogger smiling, I'll consider it.","[time, see, smiling]",fitness
21,E. T. Bell,"Guided only by their feeling for symmetry, simplicity, and generality, and an indefinable sense of the fitness of things, creative mathematicians now, as in the past, are inspired by the art of mathematics rather than by any prospect of ultimate usefulness.","[art, mathematics, past]",fitness
22,Arnold Schwarzenegger,"Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.","[training, yourself]",fitness
23,Alan Thicke,"As a father, my first priority is to help my sons set and attain personal goals so they will develop self-confidence and individual strength. Engaging in regular fitness activities with my children helps me fulfill those responsibilities.","[strength, father, children]",fitness
24,Mark Twain,"I have never taken any exercise, except sleeping and resting, and I never intend to take any.","[exercise, never, resting]",fitness
25,George A. Sheehan,Exercise is done against one's wishes and maintained only because the alternative is worse.,"[exercise, wishes, done]",fitness
