,0,1,2,3
0,Mollie King,"On my days off, I like to be outdoors - on my bike or walking the dog or swimming - so it's important anyone I date is also into fitness.","[dog, walking, swimming]",fitness
1,Richard Cobden,I have been particularly struck with the overwhelming evidence which is given as to the fitness of the natives of India for high offices and employments.,"[evidence, india, high]",fitness
2,Bill Vaughan,Muscles come and go; flab lasts.,"[come and go, go, lasts]",fitness
3,MaryJanice Davidson,"I always knew I'd keep at it with the plodding doggedness that I used to master lump-less gravy and wriggle out of fitness classes; I always knew I'd get a zillion rejection slips. I figured I'd write part time while working various full-time office jobs, and maybe, maybe in my 50s, I'd be able to quit and try writing full time.","[time, writing, rejection]",fitness
4,Martha Hunt,"Fitness is very important to me because it helps give me a routine when I travel. It gives me one hour of 'me' time and passes the time when I'm lonely. Living with scoliosis serves as a constant reminder to keep my core and back strong. If I get lazy, I feel it in my back first.","[travel, time, strong]",fitness
5,Sara Rue,You can control what you put in your body - 100 percent. You really can control your level of fitness and how your body looks.,"[control, body, you]",fitness
6,Sloane Stephens,"I train Monday through Saturday. I usually have fitness training for 90 minutes, then I'm on the tennis court for 3 to 4 hours.","[training, monday, tennis]",fitness
7,Charlie Kimball,"Beside the brand-ambassador elements of the modern racing driver, the evolution of the athlete has mandated that as drivers, we are very committed to fitness.","[athlete, evolution, racing]",fitness
8,Gordon Strachan,"Fitness is a curve. You can be Lance Armstrong, or you can be really out of shape at the opposite end. People enter the curve wherever they are and then they can move up the curve, by better nutrition and better exercise.","[end, people, exercise]",fitness
9,David Soul,Once in a while I'll get moved to do some exercise. It's something I long for but the biggest problem is bending down and putting my tennis shoes on. Once I go out I'm OK.,"[shoes, problem, exercise]",fitness
10,Moshe Safdie,"Beauty connotes humanity. We call a natural object beautiful because we see that its form expresses fitness, the perfect fulfillment of function.","[beauty, beautiful, humanity]",fitness
11,Carl Hagelin,"For guys who are into fitness, I think it's important to wear slim-fit stuff that is pretty tight so they can show off the bodies they have been working hard to have. Women are going to appreciate that.","[women, working hard]",fitness
12,Mick Cornett,"We've got to get people out of their cars, out of those drive-thru windows, get them walking, get them in parks and get them more active.","[walking, people, windows]",fitness
13,Cheryl Tiegs,"It's very important to have the right clothing to exercise in. If you throw on an old T-shirt or sweats, it's not inspiring for your workout.","[exercise, important, you]",fitness
14,Deborah Bull,"It's not about weight, it's about fitness, and one component of being fit is to have relatively low body fat, because fat is not very efficient, whereas muscle is.","[body, fat, muscle]",fitness
15,Kerri Walsh Jennings,My job is to be fit and I'm really blessed that I get to go and work out and live a really healthy lifestyle.,"[work, blessed, job]",fitness
16,Charlotte McKinney,"I love fitness, yoga. I love fashion. On the weekends, I try to relax. I have pretty crazy weeks. I like spas and nice dinners. I'm not much of a club person. I like to hang on the beach in Malibu.","[love, relax, beach]",fitness
17,Charlotte McKinney,"I'm really into fitness, so my hobbies are yoga, Pilates, and working out.","[working, hobbies, yoga]",fitness
18,David Ginola,"I have found a flat on Merseyside and am settling down here. If I can keep playing and get back to full match fitness, I know I have a lot to offer still.","[know, down, match]",fitness
19,Fernando Torres,"Fitness is important, but the most important thing is how you adapt and the way you feel physically. To adapt to a new position. To try to change your game.","[change, game, important]",fitness
20,Alan Thicke,"My priority is to turn people - especially kids - on to sports and being active so they don't even have to think about it being good for their health. If people participate for the fun of it, and believe me - it is fun, then fitness programs will be much more successful.","[health, good, sports]",fitness
21,Gene Tunney,Exercise should be regarded as tribute to the heart.,"[heart, exercise, tribute]",fitness
22,Tipper Gore,I have long recognized a link between fitness and mental health and I think we need to encourage young people to take part in sports and team activities because we know it has such positive results.,"[positive, health, sports]",fitness
23,Leonard Lauder,"Every morning, I eat one fat-free yogurt with a sliced peach when peaches are in season, and one thin slice of whole-wheat bread. The same thing. I don't want to get fat. And I want to keep my fitness.","[morning, season, want]",fitness
24,Jill Clayburgh,I love to swim for miles; I could just go back and forth.,"[love, back, go]",fitness
25,Cynthia Erivo,I became a fitness fiend when I was about 17 or 18.,"[about, became, fiend]",fitness
