,0,1,2,3
0,Maria Sharapova,"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content.","[good, happy, good food]",food
1,Tecumseh,"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.","[life, strength, light]",food
2,William Shakespeare,"If music be the food of love, play on.","[love, music, play]",food
3,Luther Burbank,"Flowers always make people better, happier, and more helpful; they are sunshine, food and medicine for the soul.","[flowers, gardening, soul]",food
4,Ban Ki-moon,"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.","[change, health, women]",food
5,George Bernard Shaw,There is no sincerer love than the love of food.,"[love, than]",food
6,Paul Prudhomme,You don't need a silver fork to eat good food.,"[good, good food, you]",food
7,Bethenny Frankel,Your diet is a bank account. Good food choices are good investments.,"[good, choices, good food]",food
8,Kevin James,There's no better feeling in the world than a warm pizza box on your lap.,"[world, pizza, warm]",food
9,Chris Rock,"There are only three things women need in life: food, water, and compliments.","[life, funny, women]",food
10,Mark Twain,Part of the secret of a success in life is to eat what you like and let the food fight it out inside.,"[life, success, fight]",food
11,Thich Nhat Hanh,"If you truly get in touch with a piece of carrot, you get in touch with the soil, the rain, the sunshine. You get in touch with Mother Earth and eating in such a way, you feel in touch with true life, your roots, and that is meditation. If we chew every morsel of our food in that way we become grateful and when you are grateful, you are happy.","[life, happy, rain]",food
12,Virginia Woolf,"One cannot think well, love well, sleep well, if one has not dined well.","[love, sleep, think]",food
13,Jo Brand,Anything is good if it's made of chocolate.,"[good, chocolate, anything]",food
14,Hippocrates,Let food be thy medicine and medicine be thy food.,"[medicine, thy]",food
15,Nikola Tesla,"I do not think there is any thrill that can go through the human heart like that felt by the inventor as he sees some creation of the brain unfolding to success... such emotions make a man forget food, sleep, friends, love, everything.","[love, success, sleep]",food
16,Bertrand Russell,"I believe in using words, not fists. I believe in my outrage knowing people are living in boxes on the street. I believe in honesty. I believe in a good time. I believe in good food. I believe in sex.","[time, good, believe]",food
17,Mark Udall,"Our livelihood is intimately tied to the food we eat, water we drink and places where we recreate. That's why we have to promote responsibility and conservation when it comes to our natural resources.","[water, responsibility, eat]",food
18,Julia Child,"Because of media hype and woefully inadequate information, too many people nowadays are deathly afraid of their food, and what does fear of food do to the digestive system? I am sure that an unhappy or suspicious stomach, constricted and uneasy with worry, cannot digest properly.","[fear, i am, media]",food
19,Joko Beck,"My dog doesn't worry about the meaning of life. She may worry if she doesn't get her breakfast, but she doesn't sit around worrying about whether she will get fulfilled or liberated or enlightened. As long as she gets some food and a little affection, her life is fine.","[life, dog, meaning of life]",food
20,Jamie Oliver,"What I've enjoyed most, though, is meeting people who have a real interest in food and sharing ideas with them. Good food is a global thing and I find that there is always something new and amazing to learn - I love it!","[love, good, amazing]",food
21,Ivanka Trump,"In both business and personal life, I've always found that travel inspires me more than anything else I do. Evidence of the languages, cultures, scenery, food, and design sensibilities that I discover all over the world can be found in every piece of my jewelry.","[life, travel, business]",food
22,Kelis,"I studied to be a chef as a side thing, a little hobby that I enjoyed doing, but I ended up falling madly in love with the food and the lifestyle.","[love, chef, doing]",food
23,Denis Leary,"Not eating meat is a decision, eating meat is an instinct.","[decision, eating, meat]",food
24,W. C. Fields,"Once, during Prohibition, I was forced to live for days on nothing but food and water.","[water, prohibition, live]",food
25,Dorothy Day,Food for the body is not enough. There must be food for the soul.,"[soul, body, enough]",food
