,0,1,2,3
0,Michael Palin,"I am not a great cook, I am not a great artist, but I love art, and I love food, so I am the perfect traveller.","[love, travel, art]",food
1,Thomas Keller,But once in a while you might see me at In and Out Burger; they make the best fast food hamburgers around.,"[best, me, see]",food
2,Jeremy Rifkin,"The public should know that the liability issues here have yet to be resolved, or even raised. If you're a farmer and you're growing a genetically engineering food crop, those genes are going to flow to the other farm.","[engineering, know, flow]",food
3,Jeremy Rifkin,"Back in 1983, the United States government approved the release of the first genetically modified organism. In this case, it was a bacteria that prevents frost on food crops.","[government, genetically]",food
4,Morgan Spurlock,"The food is absolutely atrocious, and parents have no idea. Parents are giving their kids three dollars and saying, 'Okay, see you later. Go off to school and have a good lunch.'","[good, giving, school]",food
5,Giacomo Casanova,"I always made my food congenial to my constitution, and my health was always excellent.","[health, constitution, always]",food
6,Bob Filner,"However, as a parent, as a grandparent, as a former educator, I know that these practices alone when we are dealing with young children are insufficient. We will never control this rising epidemic without greater accountability from the food industry.","[children, alone, control]",food
7,Herman Gorter,"As farmers or owners, the poor peasants possess a piece of land. The excellent means of transport enables them often to sell their goods. At the very worst they can mostly provide their own food.","[poor, farmers, worst]",food
8,Martin Heidegger,"Agriculture is now a motorized food industry, the same thing in its essence as the production of corpses in the gas chambers and the extermination camps, the same thing as blockades and the reduction of countries to famine, the same thing as the manufacture of hydrogen bombs.","[agriculture, same]",food
9,Liv Tyler,"Life excites me-just little, normal, everyday things. Getting out of bed. Getting dressed. Making food. I find it all exciting.","[life, find, bed]",food
10,Norman Borlaug,"Almost certainly, however, the first essential component of social justice is adequate food for all mankind.","[justice, social justice]",food
11,John Ruskin,"The first duty of government is to see that people have food, fuel, and clothes. The second, that they have means of moral and intellectual education.","[education, government]",food
12,Mark Hyman,"I don't need the fillers, additives, excessive amounts of sugars, fats, salts and other measures taken to taint the natural goodness of real food.","[goodness, real, need]",food
13,Mark Hyman,"In the 21st century our tastes buds, our brain chemistry, our biochemistry, our hormones and our kitchens have been hijacked by the food industry.","[brain, chemistry, industry]",food
14,Paula Deen,"I wake up every morning happy for where I am in life. It's not all about the cooking, but the fact that I can contribute by using my influence to help people all over the country. In the last two years, my partners and I have fed more than 10 million hungry people by bringing meat to food banks.","[life, morning, happy]",food
15,Mario Batali,"Shop often, shop hard, and spend for the best stuff available - logic dictates that you can make delicious food only with delicious ingredients.","[best, logic, you]",food
16,Guy Fieri,"Preparing food is one of life's great joys, but a lot of times, parents ask their kids if they want to cook with them and then tell them to go peel a bag of potatoes. That's not cooking - that's working!","[life, cooking, great]",food
17,Mark Hyman,Stay away from milk. It is nature's perfect food - but only if you are a calf.,"[nature, perfect, you]",food
18,Cat Cora,"When I was growing up in Mississippi - it was good Southern food... but I also grew up with a Greek family; when other kids were eating fried okra, we were eating steamed artichokes. So I think it played a big part in my healthy cooking.","[family, good, cooking]",food
19,Ron Ben-Israel,The most successful person is the one who is most inspired. That is true in food and in life.,"[life, successful, true]",food
20,Tyler Florence,"I love food, all food, everything about food. I enjoy going to the market and having what's in front of me - what's fresh, seasonal - tell me what I'm cooking.","[love, cooking, me]",food
21,Heather Mills,I got a fascination with food.,"[fascination, got]",food
22,Tom Vilsack,"The lack of access to proper nutrition is not only fueling obesity, it is leading to food insecurity and hunger among our children.","[children, obesity]",food
23,Florence Griffith Joyner,People want to think that staying in shape costs a lot of money. They couldn't be more wrong. It doesn't cost anything to walk. And it's probably a lot cheaper to go to the corner store and buy vegetables than take a family out for fast food.,"[family, money, people]",food
24,Nina Dobrev,"Even though I'm big on recipes, I love to make up my own dishes and when you take a risk in the kitchen, you learn a lot about food!","[love, risk, learn]",food
25,Kris Allen,"I love really good food and I don't ever want to spend too much for it, but I like hanging out and having really good, tasty, interesting food.","[love, good, good food]",food
