,0,1,2,3
0,Mahatma Gandhi,The weak can never forgive. Forgiveness is the attribute of the strong.,"[strong, forgive, weak]",forgiveness
1,"Martin Luther King, Jr.",Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"[love, light, darkness]",forgiveness
2,Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them.","[courage, mistakes, admit]",forgiveness
3,"Martin Luther King, Jr.","We must develop and maintain the capacity to forgive. He who is devoid of the power to forgive is devoid of the power to love. There is some good in the worst of us and some evil in the best of us. When we discover this, we are less prone to hate our enemies.","[love, best, good]",forgiveness
4,Maya Angelou,"It's one of the greatest gifts you can give yourself, to forgive. Forgive everybody.","[greatest, yourself, forgive]",forgiveness
5,Desmond Tutu,Forgiveness says you are given another chance to make a new beginning.,"[beginning, chance]",forgiveness
6,Bryant H. McGill,"There is no love without forgiveness, and there is no forgiveness without love.","[love, relationship, without]",forgiveness
7,John F. Kennedy,"Forgive your enemies, but never forget their names.","[forgive, never forget]",forgiveness
8,Lex Luger,"Many times, the decisions we make affect and hurt your closest friends and family the most. I have a lot of regrets in that regard. But God has forgiven me, which I am very thankful for. It has enabled me to forgive myself and move forward one day at a time.","[family, time, thankful]",forgiveness
9,Robert Frost,"Forgive me my nonsense, as I also forgive the nonsense of those that think they talk sense.","[forgive, me, think]",forgiveness
10,Honore de Balzac,The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,"[mom, mother, deep]",forgiveness
11,"H. Jackson Brown, Jr.","Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.","[love, prayer, never forget]",forgiveness
12,Sherri Shepherd,"I believe in Jesus Christ as my Lord and savior. I believe that Jesus died for my sins, and rose again, and that's my belief. I still don't know what 'Christian' means. I'm a follower of Christ, but I keep making a whole bunch of mistakes. And I thank God for forgiveness.","[god, mistakes, thank god]",forgiveness
13,Mark Twain,Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.,"[fragrance, heel, violet]",forgiveness
14,Alexander Pope,"To err is human; to forgive, divine.","[forgive, human, divine]",forgiveness
15,Bernard Meltzer,"When you forgive, you in no way change the past - but you sure do change the future.","[change, future, past]",forgiveness
16,Jessica Lange,"Acceptance and tolerance and forgiveness, those are life-altering lessons.","[acceptance, tolerance]",forgiveness
17,Les Brown,Forgive yourself for your faults and your mistakes and move on.,"[mistakes, yourself, forgive]",forgiveness
18,Oscar Wilde,Always forgive your enemies - nothing annoys them so much.,"[forgive, nothing, always]",forgiveness
19,Lewis B. Smedes,To forgive is to set a prisoner free and discover that the prisoner was you.,"[forgive, free, you]",forgiveness
20,Jane Austen,"Selfishness must always be forgiven you know, because there is no hope of a cure.","[hope, know, you]",forgiveness
21,Indira Gandhi,Forgiveness is a virtue of the brave.,"[brave, virtue]",forgiveness
22,Joyce Meyer,"Forgiveness is not a feeling - it's a decision we make because we want to do what's right before God. It's a quality decision that won't be easy and it may take time to get through the process, depending on the severity of the offense.","[time, god, quality]",forgiveness
23,Hillary Clinton,"Forgiveness is a way of opening up the doors again and moving forward, whether it's a personal life or a national life.","[life, moving forward, moving]",forgiveness
24,William Shakespeare,Sweet mercy is nobility's true badge.,"[sweet, mercy, true]",forgiveness
25,Gerald Jampolsky,I can have peace of mind only when I forgive rather than judge.,"[peace, mind, forgive]",forgiveness
