,0,1,2,3
0,Vincent Nichols,"In Christ we see a maturity of love that flowers in self-sacrifice and forgiveness; a maturity of power that never swerves from the ideal of service; a maturity of goodness that overcomes every temptation, and, of course, we see the ultimate victory of life over death itself.","[life, love, death]",forgiveness
1,W. H. Auden,"Murder is unique in that it abolishes the party it injures, so that society has to take the place of the victim and on his behalf demand atonement or grant forgiveness; it is the one crime in which society has a direct interest.","[society, unique, party]",forgiveness
2,William P. Leahy,I would say the hierarchy has made terrible errors in judgment and it has to seek forgiveness by its members.,"[say, judgment, hierarchy]",forgiveness
3,Roberto Assagioli,Without forgiveness life is governed by... an endless cycle of resentment and retaliation.,"[life, resentment, without]",forgiveness
4,Nancy Grace,"Well, of course I think people can be forgiven. But our justice system is not set up to dispense forgiveness. You can go to the local priest for that.","[justice, people, think]",forgiveness
5,Hillary Clinton,I am 100% in the camp that says forgiveness is mostly about the forgiver.,"[i am, about, says]",forgiveness
6,Brie Larson,"I love discussing social issues, but I'm not interested in scare tactics. I believe there is a way to bring awareness in tandem with forgiveness and love.","[love, believe, i believe]",forgiveness
7,Chaim Herzog,"I do not bring forgiveness with me, nor forgetfulness. The only ones who can forgive are dead; the living have no right to forget.","[forgive, me, living]",forgiveness
8,Olin Miller,It's far easier to forgive an enemy after you've got even with him.,"[enemy, forgive, you]",forgiveness
9,Publilius Syrus,How unhappy is he who cannot forgive himself.,"[forgive, unhappy, himself]",forgiveness
10,Janine Turner,"My desire is to be a forgiving, non-judgmental person.","[desire, person, forgiving]",forgiveness
11,Jennifer O'Neill,"Forgiveness really is so misunderstood, as well as the power it can release in an individual.","[power, individual]",forgiveness
12,Dar Williams,"Sometimes I see myself fine, sometimes I need a witness. And I like the whole truth, but there are nights I only need forgiveness.","[truth, myself, see]",forgiveness
13,William Brewster,I discipline churchgoers with godly lessons and sharp words if they do not change their ways. My goal is to open their hearts so that they seek forgiveness.,"[change, goal, discipline]",forgiveness
14,Edward Albert,"On a level of simple personal survival, understanding and forgiveness are crucial... whether in an intimate personal relationship or on a global level.","[relationship, simple]",forgiveness
15,Janine Turner,My desire is to stand up and brush myself off when I make mistakes and ask for forgiveness.,"[myself, stand up, mistakes]",forgiveness
16,Jennifer O'Neill,Forgiveness isn't about condoning what has happened to you or someone else's actions against you.,"[someone, you, actions]",forgiveness
17,Jose Bergamin,To sin offers repentance and forgiveness; not to sin offers only punishment.,"[punishment, sin, only]",forgiveness
18,Mario Batali,I like cast iron coated with enamel for longevity and forgiveness if I happen to take my eyes off the prize while pouring Chianti.,"[eyes, happen, prize]",forgiveness
19,Harlan Coben,"'Caught' is a novel of forgiveness, and the past and the present - who should be and who shouldn't be forgiven. None of my books are ever just about thrills, or it won't work.","[work, past, present]",forgiveness
20,Adam Hamilton,"Jesus' own witness of sacrificial love and forgiveness, and his work to heal the sick and care for those in need, represent God's ways and vision for us.","[love, work, god]",forgiveness
21,Alan Ball,"I believe forgiveness is possible for everybody, for everything, but I'm a Buddhist.","[believe, i believe, possible]",forgiveness
22,Don Lemon,Paula Deen is a human being. She deserves forgiveness and a chance at redemption as much as anyone else. America is about redemption.,"[america, chance, she]",forgiveness
23,Bernard Baruch,One of the secrets of a long and fruitful life is to forgive everybody everything everynight before you go to bed.,"[life, forgive, secrets]",forgiveness
24,Robert Rainy,"The principle that certain sins should not receive the Church's testimony of forgiveness was probably no novelty at all, but had been applied in various churches; perhaps, however, with no strict consistency.","[consistency, church, receive]",forgiveness
25,Kirk Cameron,"I believe the Scriptures teach that there's a literal heaven and a literal hell, just like Jesus said. And without forgiveness of sins that, yeah, the place of punishment is called hell.","[believe, hell, i believe]",forgiveness
