,0,1,2,3
0,Kevyn Aucoin,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.","[inspirational, life, morning]",freedom
1,Johnny Weir,"Love myself I do. Not everything, but I love the good as well as the bad. I love my crazy lifestyle, and I love my hard discipline. I love my freedom of speech and the way my eyes get dark when I'm tired. I love that I have learned to trust people with my heart, even if it will get broken. I am proud of everything that I am and will become.","[love, trust, good]",freedom
2,Jim Morrison,A friend is someone who gives you total freedom to be yourself.,"[friendship, be yourself]",freedom
3,Hans Christian Andersen,"Just living is not enough... one must have sunshine, freedom, and a little flower.","[nature, flower, sunshine]",freedom
4,Soledad O'Brien,"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?","[journey, fear, great]",freedom
5,Nelson Mandela,"Money won't create success, the freedom to make it will.","[success, money, create]",freedom
6,Jim Morrison,"Friends can help each other. A true friend is someone who lets you have total freedom to be yourself - and especially to feel. Or, not feel. Whatever you happen to be feeling at the moment is fine with them. That's what real love amounts to - letting a person be what he really is.","[love, be yourself]",freedom
7,George Orwell,War is peace. Freedom is slavery. Ignorance is strength.,"[strength, peace, war]",freedom
8,John Locke,"The end of law is not to abolish or restrain, but to preserve and enlarge freedom. For in all the states of created beings capable of law, where there is no law, there is no freedom.","[end, law, capable]",freedom
9,Abraham Lincoln,"America will never be destroyed from the outside. If we falter and lose our freedoms, it will be because we destroyed ourselves.","[america, will, outside]",freedom
10,Thomas Jefferson,"We hold these truths to be self-evident: that all men are created equal; that they are endowed by their Creator with certain unalienable rights; that among these are life, liberty, and the pursuit of happiness.","[life, happiness, men]",freedom
11,Voltaire,Man is free at the moment he wishes to be.,"[man, moment, free]",freedom
12,Bob Dylan,A hero is someone who understands the responsibility that comes with his freedom.,"[hero, responsibility]",freedom
13,Jim Morrison,"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.","[fear, power, yourself]",freedom
14,Winston Churchill,"All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.","[hope, great, justice]",freedom
15,Barack Obama,"We, the People, recognize that we have responsibilities as well as rights; that our destinies are bound together; that a freedom which only asks what's in it for me, a freedom without a commitment to others, a freedom without love or charity or duty or patriotism, is unworthy of our founding ideals, and those who died in their defense.","[love, together, patriotism]",freedom
16,Drew Houston,"Instead of trying to make your life perfect, give yourself the freedom to make it an adventure, and go ever upward.","[life, adventure, yourself]",freedom
17,"Martin Luther King, Jr.","Change does not roll in on the wheels of inevitability, but comes through continuous struggle. And so we must straighten our backs and work for our freedom. A man can't ride you unless your back is bent.","[change, work, struggle]",freedom
18,Samuel Adams,"It does not take a majority to prevail... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men.","[men, minority, minds]",freedom
19,George Washington,"Liberty, when it begins to take root, is a plant of rapid growth.","[growth, liberty, plant]",freedom
20,Madonna Ciccone,"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.","[life, love, family]",freedom
21,Nelson Mandela,"Where globalization means, as it so often does, that the rich and powerful now have new means to further enrich and empower themselves at the cost of the poorer and weaker, we have a responsibility to protest in the name of universal freedom.","[responsibility, rich]",freedom
22,Rosa Parks,I would like to be remembered as a person who wanted to be free... so other people would be also free.,"[people, free, remembered]",freedom
23,Soren Kierkegaard,People demand freedom of speech as a compensation for the freedom of thought which they seldom use.,"[people, thought]",freedom
24,Andrea Bocelli,"Singing provides a true sense of lightheartedness. If I sing when I am alone, I feel wonderful. It's freedom.","[alone, i am, singing]",freedom
25,George Washington Carver,Education is the key to unlock the golden door of freedom.,"[education, door, key]",freedom
