,0,1,2,3
0,Rachel Corrie,Death smells like homemade apple sauce as it cooks on the stove. It is not the strangling sense of illness. It is not fear. It is freedom.,"[death, fear, apple]",freedom
1,Victor Pinchuk,Politicians love power. I love freedom. That is why I am not a politician.,"[love, power, i am]",freedom
2,Haile Selassie,"If a strong government finds that it can, with impunity, destroy a weak people, then the hour has struck for that weak people to appeal to the League of Nations to give its judgment in all freedom. God and history will remember your judgment.","[history, god, strong]",freedom
3,Noel Gallagher,"These fledgling democracies in the Middle East, they're actually fighting for their freedom. And what are they rioting for in England? Leisurewear.","[fighting, middle east]",freedom
4,Joyce Meyer,"We're not like robots. God promises to guide us through the Holy Spirit, but He gives us the freedom to make our own decisions.","[god, decisions, promises]",freedom
5,Tullian Tchividjian,"The good news of suffering is that it brings us to the end of ourselves - a purpose it has certainly served in my life. It brings us to the place of honesty, which is the place of desperation, which is the place of faith, which is the place of freedom.","[life, faith, good]",freedom
6,Bayard Rustin,"War is wrong. Conscription for war is inconsistent with freedom of conscience, which is not merely the right to believe but to act on the degree of truth that one receives, to follow a vocation which is God-inspired and God-directed.","[war, truth, believe]",freedom
7,Salman Rushdie,"If you live in free countries, you don't have to spend all your life arguing about freedom because it is all around you. It seems redundant to make a lot of noise about something when, in fact, there it is. But if someone tries to remove it, it becomes important for you to formulate your own defenses of it.","[life, free, live]",freedom
8,Jake Gyllenhaal,I've learned over the years that freedom is just the other side of discipline.,"[discipline, side, over]",freedom
9,Tom Robbins,"Most Americans pay lip service to the idea of freedom, but can't handle real freedom.","[service, real, handle]",freedom
10,Dan Gable,Freedom across the world is a result of many individuals working together.,"[working together, together]",freedom
11,David Suzuki,"We need love, and to ensure love, we need to have full employment, and we need social justice. We need gender equity. We need freedom from hunger. These are our most fundamental needs as social creatures.","[love, justice, gender]",freedom
12,Laura Mvula,"I love my complexion, but like so many of us, in the early years at primary school, I grew up thinking that my dark skin wasn't a great thing. I've found freedom in music and songwriting, which has given me a freedom in how I present myself. I'm glad I've got makeup to celebrate that with.","[love, music, myself]",freedom
13,Brendan Myers,"Our world is utterly saturated with fear. We fear being attacked by religious extremists, both foreign and domestic. We fear the loss of political rights, a loss of privacy, or a loss of freedom. We fear being injured, robbed or attacked, being judged by others, or neglected, or left unloved.","[fear, privacy, loss]",freedom
14,P. J. O'Rourke,"As a nation, Kuwait has been, arguably, free of freedom itself. Claimed in turn by Constantinople, Riyadh, and Baghdad, Kuwait has survived by playing Turks off Persians, Arabs off one another, and the English off everyone.","[free, everyone, nation]",freedom
15,Maya Angelou,"Fighting for one's freedom, struggling towards being free, is like struggling to be a poet or a good Christian or a good Jew or a good Muslim or good Zen Buddhist. You work all day long and achieve some kind of level of success by nightfall, go to sleep and wake up the next morning with the job still to be done. So you start all over again.","[success, work, morning]",freedom
16,Joseph Prince,"It is the truth of grace and not of the law that brings you true freedom. The truth of the law only binds you. In fact, religious bondage is one of the most crippling bondages with which a person can be encumbered. Religious bondage keeps one in constant fear, guilt, and anxiety.","[fear, truth, law]",freedom
17,Wadah Khanfar,"When the Islamic revolution began in 1979 under the leadership of Ayatollah Khomeini, it aroused considerable admiration in the Arab street. It presented a model of organised popular action that deposed one of the region's most tyrannical regimes. The people of the region discerned in this revolution new hope for freedom and change.","[leadership, change, hope]",freedom
18,Eleni Zaude Gabre-Madhin,"Happiness is the freedom of choice. The freedom to choose where to live, what to do, what to buy, what to sell, from whom, to whom, when and how.","[happiness, choice, live]",freedom
19,Matt Mullenweg,"I am an optimist, and I believe that people are inherently good and that if you give everyone a voice and freedom of expression, the truth and the good will outweigh the bad.","[truth, good, believe]",freedom
20,Trieste Kelly Dunn,I definitely want to continue working in independent films - and big budget stuff as well - but there's a freedom you have when you're not getting paid. It's easier to say no and there's no pressure to please the powers that be. Also I don't have to hear 'flirt and smile more.',"[smile, budget, pressure]",freedom
21,Rick Astley,"My dad loved Scotland, so we would pile into his caravan and head for the Highlands, to Fort William and Loch Ness. It was such an adventure - my siblings and I were allowed to roam and explore the local beaches. We loved the freedom of those trips.","[adventure, dad, loved]",freedom
22,Cory Booker,"My generation of Americans, the scions of daring dreamers, the children of the fearlessly faithful and the offspring of many of history's most audacious actors - we, together, drink deeply from wells of freedom, liberty and opportunity that we did not dig.","[history, children, together]",freedom
23,Al Sharpton,"If companies can refuse to provide coverage for women, what other objections to the Affordable Care Act will we see based on 'religious grounds'? For that matter, will 'religious freedom' be used as an excuse to discriminate against other minorities and disenfranchised groups across the board? Where will it end?","[women, end, care]",freedom
24,Patrick Chappatte,We need to defend absolutely the freedom of speech.,"[freedom of speech, speech]",freedom
25,Matt McGorry,A place of freedom is the best place to have the most creativity.,"[best, creativity, place]",freedom
