,0,1,2,3
0,Hubert H. Humphrey,"The greatest gift of life is friendship, and I have received it.","[life, greatest, gift]",friendship
1,Euripides,"Friends show their love in times of trouble, not in happiness.","[love, happiness, friends]",friendship
2,Ralph Waldo Emerson,It is one of the blessings of old friends that you can afford to be stupid with them.,"[old friends, blessings]",friendship
3,Lucius Annaeus Seneca,One of the most beautiful qualities of true friendship is to understand and to be understood.,"[beautiful, most beautiful]",friendship
4,Helen Keller,Walking with a friend in the dark is better than walking alone in the light.,"[light, alone, walking]",friendship
5,Jean de La Fontaine,"Rare as is true love, true friendship is rarer.","[love, true love, true]",friendship
6,Ann Landers,"Love is friendship that has caught fire. It is quiet understanding, mutual confidence, sharing and forgiving. It is loyalty through good and bad times. It settles for less than perfection and makes allowances for human weaknesses.","[love, good, confidence]",friendship
7,Thomas Aquinas,There is nothing on this earth more to be prized than true friendship.,"[earth, nothing, true]",friendship
8,Henry Ford,My best friend is the one who brings out the best in me.,"[best, best friend, me]",friendship
9,Jim Morrison,A friend is someone who gives you total freedom to be yourself.,"[freedom, be yourself]",friendship
10,"Martin Luther King, Jr.",Love is the only force capable of transforming an enemy into a friend.,"[love, love is, enemy]",friendship
11,Hubert H. Humphrey,The greatest healing therapy is friendship and love.,"[love, moving on, greatest]",friendship
12,Mencius,Friends are the siblings God never gave us.,"[god, friends, never]",friendship
13,Henry Van Dyke,A friend is what the heart needs all the time.,"[time, heart, friend]",friendship
14,"H. Jackson Brown, Jr.",Remember that the most valuable antiques are dear old friends.,"[old friends, friends]",friendship
15,Khalil Gibran,"Friendship is always a sweet responsibility, never an opportunity.","[opportunity, sweet]",friendship
16,Charles R. Swindoll,"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.","[life, joy, today]",friendship
17,Walter Winchell,A real friend is one who walks in when the rest of the world walks out.,"[world, friend, rest]",friendship
18,Bill Watterson,Things are never quite as scary when you've got a best friend.,"[best, best friend, friend]",friendship
19,Leo Buscaglia,"A single rose can be my garden... a single friend, my world.","[rose, world, friend]",friendship
20,Orson Welles,"We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.","[love, alone, moment]",friendship
21,John Wooden,"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.","[art, thankful, good]",friendship
22,William Butler Yeats,There are no strangers here; Only friends you haven't yet met.,"[friends, you, strangers]",friendship
23,Baltasar Gracian,"True friendship multiplies the good in life and divides its evils. Strive to have friends, for life without friends is like life on a desert island... to find one real friend in a lifetime is good fortune; to keep him is a blessing.","[life, good, friends]",friendship
24,Albert Camus,Don't walk behind me; I may not lead. Don't walk in front of me; I may not follow. Just walk beside me and be my friend.,"[me, walk, friend]",friendship
25,Muhammad Ali,"Friendship... is not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.","[school, meaning, learn]",friendship
