,0,1,2,3
0,Sebastian Faulks,"I think closeness to death would be pretty exhilarating in a way, and friendship, yeh, and selflessness, a kind of selflessness, a sense of your own worthlessness, I think, is pretty exhilarating.","[death, think, way]",friendship
1,Harry Emerson Fosdick,The steady discipline of intimate friendship with Jesus results in men becoming like Him.,"[men, discipline, results]",friendship
2,Steven Van Zandt,"Rock n' roll as a genre is different from pop and hip hop: it is about bands, and that for me suggests brotherhood, family, friendship and community.","[family, community, me]",friendship
3,Johann Kaspar Lavater,"Neatness begets order; but from order to taste there is the same difference as from taste to genius, or from love to friendship.","[love, genius, same]",friendship
4,Charles Eastman,"Friendship is held to be the severest test of character. It is easy, we think, to be loyal to a family and clan, whose blood is in your own veins.","[family, character, easy]",friendship
5,Andrew Sullivan,"What gay culture is before it is anything else, before it is a culture of desire or a culture of subversion or a culture of pain, is a culture of friendship.","[culture, pain, gay]",friendship
6,Ron Funches,"I think I'd probably be really good friends with Hulk Hogan. I think we'd get along, and I'd, like, chill him out because he'd be all rambunctious and rowdy, and I'd be like, 'Chill out, Hulk Hogan. Everything will be okay.' And he'd be like, 'Thanks, Ron.' And then we'd form a friendship.","[good, friends, thanks]",friendship
7,Richard Attias,Sport is one of the few spaces where people can learn about different cultures in a spirit of trust and friendship.,"[trust, people, learn]",friendship
8,Stephen Pagliuca,"I gave Mitt Romney some donations for his campaign because he was a friend, and friendship came first. I've always been a Democrat, and I've had different views than Mitt Romney. I'm not Mitt Romney, and I think people will realize that when they meet me out there.","[people, me, friend]",friendship
9,Lennon Parham,"From the Twitter responses we got with 'Best Friends Forever' and the small feedback we are getting as the show is meted out, I think people are seeing themselves in the show and enjoying seeing female friendship portrayed in the way it really is.","[best, friends, small]",friendship
10,Unknown,"An insincere and evil friend is more to be feared than a wild beast; a wild beast may wound your body, but an evil friend will wound your mind.","[mind, evil, body]",friendship
11,Mae Whitman,"I had a friend where it turned out that she hated my guts, all through our friendship. I thought she was my best friend, and then, in high school, she turned on me and had sordid affairs with all of the people that I'd dated. It was less hurtful because I was in high school, so it was more like, 'What's wrong with you? Gross!'","[best, school, best friend]",friendship
12,Bidzina Ivanishvili,"Restoration of friendship with Russia, our biggest neighbor, is necessary for our peace and economy.","[peace, neighbor, economy]",friendship
13,Samantha Harvey,It's quite difficult to write about female friendship without it seeming to be a very niche subject. It's a difficult balance.,"[balance, difficult, niche]",friendship
14,Randy West,"That was the day I began cutting classes and returning to TV tapings; it ultimately led to a friendship with Johnny O, and an increasing fascination and respect for what he did.","[respect, day, returning]",friendship
15,Hu Jintao,China has been committed to the independent foreign policy of peace and has developed friendship and cooperation with all countries on the basis of the Five Principles of Peaceful Coexistence.,"[peace, peaceful, cooperation]",friendship
16,James F. Byrnes,"It will give them the opportunity to show themselves worthy of the respect and friendship of peace-loving nations, and in time, to take an honorable place among members of the United Nations.","[time, respect, opportunity]",friendship
17,James F. Byrnes,Friendship without self-interest is one of the rare and beautiful things of life.,"[life, beautiful]",friendship
18,Najib Mikati,"I have a friendship with Hezbollah, and I also have contacts outside of Lebanon, but it doesn't mean I follow anyone's agenda.","[follow, mean, outside]",friendship
19,Steve Capus,"Stretching back nearly three decades, Brian Williams and I have forged an enduring friendship. It all began in 1986 at WCAU-TV in Philadelphia and has resulted in a set of noteworthy experiences, amazing successes, and a bunch of trips to NASCAR speedways.","[amazing, three, philadelphia]",friendship
20,Zhang Ziyi,"When two people first meet, they can only have a very ordinary kind of friendship. But when you begin to understand each other, when you get close to them, you discover that you're suddenly eager to know him or her even better.","[people, know, two people]",friendship
21,Luanne Rice,"'Safe Harbor' is a state of mind... it's the place - in reality or metaphor - to which one goes in times of trouble or worry. It can be a friendship, marriage, church, garden, beach, poem, prayer, or song.","[marriage, prayer, mind]",friendship
22,Jesse Ball,"I probably like being isolated more than many people do, but I'm lucky to have the friendship of many fine people, and they keep me from becoming very isolated. The world of my mind is certainly a populated and warm place, too. It's difficult for me to become too isolated with such resources.","[mind, world, people]",friendship
23,Robin Morgan,Friendship is mutual blackmail elevated to the level of love.,"[love, mutual, level]",friendship
24,Gilbert Parker,"It must be remembered that the sea is a great breeder of friendship. Two men who have known each other for twenty years find that twenty days at sea bring them nearer than ever they were before, or else estrange them.","[great, sea, men]",friendship
25,Carl Hagelin,"I had more friends on my hockey team than I did on my soccer team. I might have been better at soccer, to be honest. But I think it was more the friendship, and my family was more of a hockey family than a soccer family, so when I had to make a decision, I tried hockey, and it turned out to be a good decision.","[family, good, team]",friendship
