,0,1,2,3
0,Elbert Hubbard,Do not take life too seriously. You will never get out of it alive.,"[life, seriously, you]",funny
1,Douglas Adams,I love deadlines. I like the whooshing sound they make as they fly by.,"[love, fly, sound]",funny
2,Margaret Mead,Always remember that you are absolutely unique. Just like everyone else.,"[unique, remember, you]",funny
3,Winston Churchill,"I may be drunk, Miss, but in the morning I will be sober and you will still be ugly.","[morning, drunk, ugly]",funny
4,Isaac Asimov,People who think they know everything are a great annoyance to those of us who do.,"[great, people, know]",funny
5,Anthony Burgess,"Laugh and the world laughs with you, snore and you sleep alone.","[sleep, alone, world]",funny
6,Jim Carrey,Behind every great man is a woman rolling her eyes.,"[great, eyes, woman]",funny
7,Will Rogers,"Everything is funny, as long as it's happening to somebody else.","[humor, long, everything]",funny
8,Abraham Lincoln,No man has a good enough memory to be a successful liar.,"[good, memory, man]",funny
9,Steve Martin,"A day without sunshine is like, you know, night.","[day, sunshine, night]",funny
10,Mitch Hedberg,My fake plants died because I did not pretend to water them.,"[water, fake, plants]",funny
11,Oscar Levant,"Roses are red, violets are blue, I'm schizophrenic, and so am I.","[blue, red, roses]",funny
12,Alice Roosevelt Longworth,"If you haven't got anything nice to say about anybody, come sit next to me.","[me, nice, you]",funny
13,W. H. Auden,We are all here on earth to help others; what on earth the others are here for I don't know.,"[help others, help, earth]",funny
14,Oliver Herford,A woman's mind is cleaner than a man's: She changes it more often.,"[mind, woman, man]",funny
15,George Burns,"Happiness is having a large, loving, caring, close-knit family in another city.","[family, happiness, caring]",funny
16,Mark Twain,"Go to Heaven for the climate, Hell for the company.","[hell, company, heaven]",funny
17,Ron White,"I believe that if life gives you lemons, you should make lemonade... And try to find somebody whose life has given them vodka, and have a party.","[life, believe, party]",funny
18,Zsa Zsa Gabor,I am a marvelous housekeeper. Every time I leave a man I keep his house.,"[time, man, i am]",funny
19,Lana Turner,A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.,"[money, woman, man]",funny
20,Henny Youngman,"If you're going to do something tonight that you'll be sorry for tomorrow morning, sleep late.","[morning, sleep, tomorrow]",funny
21,Robin Williams,"I'm sorry, if you were right, I'd agree with you.","[sorry, agree, you]",funny
22,Lily Tomlin,"I always wanted to be somebody, but now I realize I should have been more specific.","[realize, always, now]",funny
23,Mark Twain,"Get your facts first, then you can distort them as you please.","[facts, you, first]",funny
24,Oscar Wilde,I can resist everything except temptation.,"[temptation, everything]",funny
25,Eminem,Trust is hard to come by. That's why my circle is small and tight. I'm kind of funny about making new friends.,"[trust, friends, small]",funny
