,0,1,2,3
0,Alexis Ohanian,"Being effective at social media, whether for business or personal use, means capturing people who have short attention spans. They're only a click away from a picture of a funny cat, so you have to make your thing more compelling than that cat. And that can be a high bar.","[business, social media]",funny
1,Lana Del Rey,I have kind of a funny relationship with movies. I don't have to see the whole movie to get an impression of it or to let it have an influence on me.,"[relationship, influence, me]",funny
2,Ridley Scott,"When you're in the editing room, the dangerous thing is that it becomes like telling a joke again and again and again. Eventually, the joke starts to not be funny. So you have to be careful that you're not throwing the baby out with the bath water.","[water, baby, you]",funny
3,Margot Robbie,"There's nothing I dislike more than being in a photo shoot where they say, 'Be yourself.' That's not why I became an actress. That's what I find so funny: that you become an actor, and all of a sudden, everyone wants to know about you. But I didn't become an actor so I could show you me.","[be yourself, yourself, me]",funny
4,Terry Bradshaw,"You find out in life that people really like you funny. So what do you give 'em? Humor. And then if you show them the other side, they don't like you as much. I find, too, that I can hide behind the idiot's mask being funny, and you never see the sorrow or the pain.","[life, humor, pain]",funny
5,Kendall Jenner,"My ideal prom date would have to be cute, funny, sweet, nice.","[cute, sweet, nice]",funny
6,Ron Funches,"Being nice can be funny. A lot of my jokes are like, 'Let me take a bad situation and try to put the best spin on it.'","[best, me, situation]",funny
7,Matthew Bourne,My company is known for being funny as well as moving. You get a bit of everything in these shows. I think people know they're going to have a surprising experience.,"[experience, moving, people]",funny
8,Leonard Maltin,Shakespeare wrote great plays that we're still watching all these years later. Charlie Chaplin made great comedies and they are still as funny today as they ever were.,"[today, great, watching]",funny
9,Magic Johnson,"I tell you, it's funny because the only time I think about HIV is when I have to take my medicine twice a day.","[time, day, medicine]",funny
10,Kate O'Brien,"If it bends, it's funny; if it breaks, it's not funny.","[bends, breaks]",funny
11,Jeremy Northam,"The space and light up there in Norfolk is wonderfully peaceful. I find myself doing funny things like gardening, and cooking, which I rarely do in London.","[light, cooking, myself]",funny
12,Julia Louis-Dreyfus,I have no agenda except to be funny. Neither I or the writers profess to offer any worldly wisdom.,"[wisdom, agenda, offer]",funny
13,Leslie Easterbrook,I wish I had a funny story.,"[wish, story, i wish]",funny
14,Nora Dunn,"I never thought I was funny, but I enjoy being funny.","[thought, enjoy, being funny]",funny
15,Laura Bush,"They're great girls. They're very funny, they're very smart, they're fun to be with. They're very lively, as I think people can tell. And you know, they're very confident girls.","[great, smart, fun]",funny
16,Brendan Fraser,I always approach comedy roles pretending they aren't funny.,"[comedy, always, pretending]",funny
17,Maya Lin,"It's funny, as you live through something you're not aware of it.","[live, you, something]",funny
18,Adlai Stevenson,A funny thing happened to me on the way to the White House.,"[me, way, white]",funny
19,John Krasinski,"Being funny is one of my greatest strengths. I can make girls smile when they're down, and when they're having a good time, I can carry on the joke.","[time, smile, good]",funny
20,Julia Roberts,Light and funny has a more compelling quality when you're younger. But I haven't abandoned the genre: I love falling down; I love Lucille Ball. It's just that a lot of those stories revolve around problems that I can't convincingly portray at this age.,"[love, light, age]",funny
21,Maya Rudolph,I've never set out to write a funny movie or be a funny comedian as a woman. I am a woman. I don't really have a choice in the matter. My goal is just to be funny.,"[goal, woman, i am]",funny
22,Charlie Kaufman,"As a writer, or as a filmmaker, you have to present yourself, and part of what yourself is is what you're interested in, or what you think is funny, or what you think is sad, or what you think is horrible.","[sad, yourself, present]",funny
23,Paul Krugman,"But Wall Street people are in fact very smart; they're funny, they're not company men who work their way up the chain.","[work, smart, men]",funny
24,Nancy Meyers,"Movies don't look hard, but figuring it out, getting the shape of it, getting everybody's character right and having it be funny, make sense and be romantic, it's creating a puzzle. Yes, having been a writer for so long, I have an awareness of when things are going awry, but it doesn't mean I know how to fix them.","[romantic, character, puzzle]",funny
25,Ian Hislop,"My mother was a terrific force in my life. Wartime-generation woman, hadn't gone to university but should have done. Was very funny, very verbal, very clever, very witty.","[life, mother, woman]",funny
