,0,1,2,3
0,Emily Giffin,"It's a funny thing - when I'm crazed with work, spending time with my children relaxes me. Yet, at the end of a long weekend with them, the very thing I need to relax is a little work and time away from them!","[work, time, children]",funny
1,Abel Ferrara,"It's funny, the hardest thing to do is to make something look like it's fast, loose and improvised, and get somebody to laugh.","[laugh, look, something]",funny
2,Jimmy Kimmel,I don't really need to be dirty to be funny.,"[need, dirty, really]",funny
3,Lena Dunham,"I mean, I - it's so funny, I am, you know, I am, you know, a working woman out in the world, but I still live with my parents half the time. I've been sort of taking this very long, stuttering period of moving out.","[time, parents, woman]",funny
4,Heath Ledger,"I'm just not one of those naturally funny, relaxed actors who enjoy the spotlight and are so good at it.","[good, enjoy, spotlight]",funny
5,Laurence Fishburne,"It's funny, a lot of people think I take myself seriously because I come off so serious sometimes. But it's not that I take myself seriously, I take what I do seriously.","[myself, people, think]",funny
6,Nate Silver,When human judgment and big data intersect there are some funny things that happen.,"[happen, data, human]",funny
7,R. L. Stine,"I started writing when I was 9 years old. I was like this weird kid who would just stay in my room, typing little funny magazines and drawing comic strips.","[writing, drawing, weird]",funny
8,Carrie Preston,"The heroines in 'That's What She Said' are flawed, messy, damaged, hilarious and culpable and not really concerned about being acceptable to the audience in any traditional sense, which for me is what makes them all the more gorgeous. And the fearless truth of that is what makes it funny.","[truth, me, she]",funny
9,Tracy Morgan,I've been funny my whole life. This is a gift God gave me.,"[life, god, gift]",funny
10,Donald Glover,I think it's a comedian's job to make everything funny. Nothing is off-limits.,"[job, nothing, think]",funny
11,Chris Pratt,"The American audience has really opened up to women being A.) funny and B.) kinda crude. 'Bridesmaids' is R-rated, and I think it was a major coup for women to have an R-rated comedy that did really well. Same as 'Bad Teacher.'","[teacher, women, american]",funny
12,Marlon Wayans,"Gotta stay in the gym, stay funny, stay sharp. I just love working.","[love, gym, working]",funny
13,Seth Grahame-Smith,"My job on 'Dark Shadows' was to make it fun and funny, first and foremost. It can still be dark and it can still even be gory and gothic at times, but it also needed to be fun and it needed to be an experience that people would enjoy having.","[experience, fun, job]",funny
14,John Mulaney,"I like making fun of myself a lot. I like being made fun of, too. I've always enjoyed it. There's just something really, really funny about someone tearing into me.","[myself, fun, me]",funny
15,Psy,"To the U.S. and the world, I'm just known as some funny song and some funny music, some funny video guy. But in Korea I'm doing one of the biggest concerts; it's not a dance music concert. I'm playing with the band, so I change my every song to a rock song.","[change, music, dance]",funny
16,Dylan O'Brien,"With TV, you just have to finish the days and get the episodes out. And it's always going to be an impossible schedule. That's the funny thing with TV that not a lot of people realize.","[finish, people, impossible]",funny
17,Ed Sheeran,"Try to find someone with a sense of humor. That's an important thing to have because when you get into an argument, one of the best ways to diffuse it is to be funny. You don't want to hide away from a point, because some points are serious, but you'd rather have a discussion that was a discussion, rather than an argument.","[best, humor, sense of humor]",funny
18,Cassidy Freeman,"I am such that person that, when I'm working, I'm like, 'Oh, what I wouldn't give for a weekend off!' And then, as soon as I have more that 18 hours without anything to do, I start shaking. It's really funny.","[i am, start, working]",funny
19,Nancy Allen,"The three theater peeps I would love to dine with are Mel Brooks, because he is so funny; Stephen Sondheim, because he is a god-like genius; and Ethel Merman, to compare notes on fabulous belting.","[love, genius, three]",funny
20,John Mellencamp,"It sounds funny, but I always try to keep an open mind about what I'm writing about. Sometimes I squeak my opinions in there, but generally I don't. I try to be objective about things that I'm writing about.","[mind, writing, opinions]",funny
21,Sylvester Stallone,"I know I can't play funny roles in movies. I tried, and it didn't work.","[work, know, movies]",funny
22,Alain de Botton,"Le Corbusier is an outstanding writer. His ideas achieved their impact in large measure because he could write so convincingly. His style is utterly clear, brusque, funny and polemical in the best way.","[best, style, impact]",funny
23,David Hasselhoff,"When I play discos in Belfast or freshers' week in Oxford, there are 1,800 kids dressed as me. It's odd, it's funny, and it pays really well.","[week, me, play]",funny
24,Dolly Parton,"Funny thing is that the poorer people are, the more generous they seem to be.","[people, more, seem]",funny
25,Jonathan Tropper,"Whether I'm writing a novel about a guy mourning the death of his father or whether I'm writing a show about people killing each other, you want to hear characters speak and be funny and witty.","[death, father, writing]",funny
