,0,1,2,3
0,Bradley Whitford,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","[motivational, life, love]",future
1,Jim Rohn,Happiness is not something you postpone for the future; it is something you design for the present.,"[inspirational, happiness]",future
2,Buddha,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.","[life, past, mind]",future
3,Nick Cannon,"Nobody can predict the future. You just have to give your all to the relationship you're in and do your best to take care of your partner, communicate and give them every last drop of love you have. I think one of the most important things in a relationship is caring for your significant other through good times and bad.","[love, best, relationship]",future
4,Rachel Boston,"Keep looking up! I learn from the past, dream about the future and look up. There's nothing like a beautiful sunset to end a healthy day.","[sunset, beautiful, end]",future
5,Earl Nightingale,"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.","[life, family, work]",future
6,Malcolm X,"Education is the passport to the future, for tomorrow belongs to those who prepare for it today.","[education, today, tomorrow]",future
7,William Shakespeare,It is not in the stars to hold our destiny but in ourselves.,"[stars, destiny, hold]",future
8,Eleanor Roosevelt,The future belongs to those who believe in the beauty of their dreams.,"[beauty, dreams, believe]",future
9,John F. Kennedy,Change is the law of life. And those who look only to the past or present are certain to miss the future.,"[life, change, past]",future
10,Peter Drucker,The best way to predict the future is to create it.,"[best, predict, way]",future
11,Abraham Lincoln,You cannot escape the responsibility of tomorrow by evading it today.,"[today, responsibility]",future
12,Confucius,"Study the past, if you would divine the future.","[past, study, you]",future
13,Gary Zukav,"The winter solstice has always been special to me as a barren darkness that gives birth to a verdant future beyond imagination, a time of pain and withdrawal that produces something joyfully inconceivable, like a monarch butterfly masterfully extracting itself from the confines of its cocoon, bursting forth into unexpected glory.","[winter, time, darkness]",future
14,Steve Jobs,"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.","[life, trust, karma]",future
15,Bil Keane,"Yesterday's the past, tomorrow's the future, but today is a gift. That's why it's called the present.","[time, today, gift]",future
16,Lucius Annaeus Seneca,"True happiness is... to enjoy the present, without anxious dependence upon the future.","[happiness, enjoy, true]",future
17,Lewis B. Smedes,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.","[change, hope, moving on]",future
18,George Bernard Shaw,"We are made wise not by the recollection of our past, but by the responsibility for our future.","[wisdom, responsibility, past]",future
19,Robert H. Schuller,"Let your hopes, not your hurts, shape your future.","[hope, hurts, hopes]",future
20,Joel Osteen,"See, when you drive home today, you've got a big windshield on the front of your car. And you've got a little bitty rearview mirror. And the reason the windshield is so large and the rearview mirror is so small is because what's happened in your past is not near as important as what's in your future.","[home, today, car]",future
21,Elie Wiesel,"Without memory, there is no culture. Without memory, there would be no civilization, no society, no future.","[culture, society, memory]",future
22,Thomas Jefferson,I like the dreams of the future better than the history of the past.,"[dreams, history, past]",future
23,John F. Kennedy,"Let us not seek the Republican answer or the Democratic answer, but the right answer. Let us not seek to fix the blame for the past. Let us accept our own responsibility for the future.","[politics, responsibility]",future
24,Corrie Ten Boom,"Memories are the key not to the past, but to the future.","[memories, past, key]",future
25,Jean de La Fontaine,A person often meets his destiny on the road he took to avoid it.,"[road, destiny, person]",future
