,0,1,2,3
0,Cate Blanchett,"All cities do face similar, significant trends in the future... most importantly global warming and climate change.","[change, climate change]",future
1,Barack Obama,"We can choose a future where we export more products and outsource fewer jobs. After a decade that was defined by what we bought and borrowed, we're getting back to basics, and doing what America has always done best: We're making things again.","[best, america, doing]",future
2,Tadao Ando,"I think of the past and the future as well as the present to determine where I am, and I move on while thinking of these things.","[past, i am, thinking]",future
3,Lindsay Lohan,"When I was a kid, I thought movie stars were women and men who were in these great films that we still look at now. But I don't think there are too many films coming out these days that we're going to look at in the future and say, 'This is one of the great ones.'","[women, stars, great]",future
4,LL Cool J,You can't let your past hold your future hostage.,"[past, you, hold]",future
5,John Major,"If we want to deliver opportunity for all, we need an economy that delivers jobs for the future.","[opportunity, want, economy]",future
6,Tony Blair,"In retrospect, the Millennium marked only a moment in time. It was the events of September 11 that marked a turning point in history, where we confront the dangers of the future and assess the choices facing humankind.","[time, history, choices]",future
7,Jane Fonda,"It's about time we make the well-being of our young people more important than ideology and politics. As a country, we benefit from investing in their future by investing in teen pregnancy prevention.","[time, politics, teen]",future
8,John R. Allen,We're pursuing a strategic partnership with Afghanistan on the case of the United States and Afghanistan where we're going to push toward a future. It is the future that the Afghans desire with the United States. It is a future that the Afghans desire with the international community and we desire that as well.,"[community, desire]",future
9,Lewis Thomas,"Doctors, dressed up in one professional costume or another, have been in busy practice since the earliest records of every culture on earth. It is hard to think of a more dependable or enduring occupation, harder still to imagine any future events leading to its extinction.","[culture, busy, earth]",future
10,Huston Smith,"Whether things turn out for the better depends on what we do. We ought not spend our time masterminding the future, but recognize our marching orders: to do the best we can for history and the planet.","[best, time, history]",future
11,Pauline Neville-Jones,"As the BBC approaches the final phase of decisions about its future, it will be important for those involved to be established in post and ready to take responsibility for implementation of the outcome.","[responsibility, decisions]",future
12,Kevin Rudd,"But Australia faces additional regional and global challenges also crucial to our nation's future - climate change, questions of energy and food security, the rise of China and the rise of India. And we need a strong system of global and regional relationships and institutions to underpin stability.","[change, food, strong]",future
13,Ty Burrell,"Everything I do from now on, I'll have a mustache. I can promise you that. I don't care who I have to convince. If you see me with a mustache in a movie or on stage in the future, you'll know that I pitched the idea.","[me, care, know]",future
14,Maggie Q,"Our choices are going to determine the future for our children, our children's children, and their children. I take that responsibility very seriously.","[children, responsibility]",future
15,Denise Juneau,Teachers do the noble work of educating our children. And we can't thank them enough for the hard work they put in every day to ensure a bright future for all of us.,"[work, hard work, children]",future
16,Sissy Spacek,"You know, I don't know what the future will bring, but I'm ready for whatever comes!","[know, you, whatever]",future
17,Bill Kurtis,"Think of it: television producers joining with newspapers to tell stories. It's journalism of the future. Advertising will follow the crowd - the 'crowd' being viewers and readers, of course, which could bring revenue back into journalism.","[journalism, advertising]",future
18,Eckhart Tolle,"People tend to dwell more on negative things than on good things. So the mind then becomes obsessed with negative things, with judgments, guilt and anxiety produced by thoughts about the future and so on.","[good, mind, thoughts]",future
19,Stacy London,"I think that the way to have style is to accept where your body is right now, heavier or skinnier, whether you're going to change in the future and dress it as it is. The fact is you can always find clothes. It may be harder for plus sized people, I completely understand that. But I don't believe that it's impossible to dress with style.","[change, believe, style]",future
20,Blake Mycoskie,The future of TOMS is really creating a whole new business model of this one-for-one giving and expanding the TOMS model from shoes into other products as well.,"[business, giving, shoes]",future
21,Clara Shih,"As entrepreneurs, we must constantly dream and have the conviction and obsession to transform our dreams into reality - to create a future that never existed before.","[dreams, reality, dream]",future
22,Stan Musial,The first principle of contract negotiations is don't remind them of what you did in the past - tell them what you're going to do in the future.,"[past, you, first]",future
23,Zaha Hadid,I really believe in the idea of the future.,"[believe, idea, really]",future
24,Benny Blanco,"Most of the time when people work with an artist, they don't give them what they need for the future, they give them what their last album sounded like. So it's like, 'Oh, One Republic needs a song, why don't we send them 10 that sound like 'Apologize?'","[work, time, people]",future
25,Apolo Ohno,"Broadcasting is definitely in my cards for the future, and I'm determined to work hard at it - to perfect it and create my style and niche.","[work, work hard, style]",future
