,0,1,2,3
0,Luther Burbank,"Flowers always make people better, happier, and more helpful; they are sunshine, food and medicine for the soul.","[food, flowers, soul]",gardening
1,William Blake,To see a world in a grain of sand and heaven in a wild flower Hold infinity in the palms of your hand and eternity in an hour.,"[flower, world, heaven]",gardening
2,William Wordsworth,The flower that smells the sweetest is shy and lowly.,"[flower, shy, smells]",gardening
3,Rabindranath Tagore,"By plucking her petals, you do not gather the beauty of the flower.","[beauty, flower, you]",gardening
4,Ella Wheeler Wilcox,A weed is but an unloved flower.,"[flower, weed, unloved]",gardening
5,Rudyard Kipling,"Gardens are not made by singing 'Oh, how beautiful,' and sitting in the shade.","[beautiful, singing, sitting]",gardening
6,Marcus Tullius Cicero,"If you have a garden and a library, you have everything you need.","[library, garden, you]",gardening
7,Sigmund Freud,Flowers are restful to look at. They have neither emotions nor conflicts.,"[flowers, look, emotions]",gardening
8,A. A. Milne,"Weeds are flowers too, once you get to know them.","[flowers, know, you]",gardening
9,Doug Larson,A weed is a plant that has mastered every survival skill except for learning how to grow in rows.,"[learning, survival, grow]",gardening
10,Luis Barragan,A garden must combine the poetic and the mysterious with a feeling of serenity and joy.,"[joy, serenity, garden]",gardening
11,George Eliot,It will never rain roses: when we want to have more roses we must plant more trees.,"[rain, roses, trees]",gardening
12,Khalil Gibran,And forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,"[earth, hair, feet]",gardening
13,D. H. Lawrence,"Love is the flower of life, and blossoms unexpectedly and without law, and must be plucked where it is found, and enjoyed for the brief hour of its duration.","[life, love, flower]",gardening
14,Andrew Weil,"In the world at large, people are rewarded or punished in ways that are often utterly random. In the garden, cause and effect, labor and reward, are re-coupled. Gardening makes sense in a senseless world. By extension, then, the more gardens in the world, the more justice, the more sense is created.","[justice, world, people]",gardening
15,Caecilius Statius,He plants trees to benefit another generation.,"[generation, trees, plants]",gardening
16,B. C. Forbes,"It is only the farmer who faithfully plants seeds in the Spring, who reaps a harvest in the Autumn.","[autumn, spring, plants]",gardening
17,Margaret Atwood,"In the spring, at the end of the day, you should smell like dirt.","[end, day, spring]",gardening
18,Pablo Neruda,You can cut all the flowers but you cannot keep spring from coming.,"[flowers, spring, you]",gardening
19,William Cowper,Who loves a garden loves a greenhouse too.,"[garden, greenhouse, who]",gardening
20,William Kent,Garden as though you will live forever.,"[live, garden, you]",gardening
21,Douglas Wilson,Use plants to bring life.,"[life, plants, bring]",gardening
22,Peter Zumthor,"Every time I imagine a garden in an architectural setting, it turns into a magical place. I think of gardens I have seen, that I believe I have seen, that I long to see, surrounded by simple walls, columns, arcades or the facades of buildings - sheltered places of great intimacy where I want to stay for a long time.","[time, great, simple]",gardening
23,Tom Hodgkinson,"I could happily lean on a gate all the livelong day, chatting to passers-by about the wind and the rain. I do a lot of gate-leaning while I am supposed to be gardening; instead of hoeing, I lean on the gate, stare at the vegetable beds and ponder.","[rain, day, i am]",gardening
24,Ralph Waldo Emerson,What is a weed? A plant whose virtues have never been discovered.,"[plant, weed, virtues]",gardening
25,Marcelene Cox,Weather means more when you have a garden. There's nothing like listening to a shower and thinking how it is soaking in around your green beans.,"[thinking, listening, weather]",gardening
