,0,1,2,3
0,P. G. Wodehouse,Flowers are happy things.,"[happy, flowers, things]",gardening
1,Michael Pollan,The garden suggests there might be a place where we can meet nature halfway.,"[nature, garden, place]",gardening
2,John Harrison,"If you build up the soil with organic material, the plants will do just fine.","[soil, plants, you]",gardening
3,George Cadbury,"But if each man could have his own house, a large garden to cultivate and healthy surroundings - then, I thought, there will be for them a better opportunity of a happy family life.","[life, family, happy]",gardening
4,Nicholas Culpeper,"The Herbs ought to be distilled when they are in their greatest vigor, and so ought the Flowers also.","[flowers, greatest, herbs]",gardening
5,Jeremy Northam,"The space and light up there in Norfolk is wonderfully peaceful. I find myself doing funny things like gardening, and cooking, which I rarely do in London.","[funny, light, cooking]",gardening
6,Adam Ant,"I got a little house in East L.A. and did the gardening. I was doing some acting here and there, doing my own thing... getting back to reality.","[reality, doing, acting]",gardening
7,Andrew Weil,"Gardening is not trivial. If you believe that it is, closely examine why you feel that way. You may discover that this attitude has been forced upon you by mass media and the crass culture it creates and maintains. The fact is, gardening is just the opposite - it is, or should be, a central, basic expression of human life.","[life, attitude, culture]",gardening
8,Jennifer Saunders,"At home, I relax by gardening, or just pottering.","[home, relax, just]",gardening
9,Alfred Austin,Show me your garden and I shall tell you what you are.,"[me, garden, you]",gardening
10,Doris Day,Well I do find the beauty in animals. I find beauty everywhere. I find beauty in my garden.,"[beauty, animals, find]",gardening
11,Luther Burbank,"The secret of improved plant breeding, apart from scientific knowledge, is love.","[love, knowledge, plant]",gardening
12,Roberto Burle Marx,"A garden is a complex of aesthetic and plastic intentions; and the plant is, to a landscape artist, not only a plant - rare, unusual, ordinary or doomed to disappearance - but it is also a color, a shape, a volume or an arabesque in itself.","[color, artist, plant]",gardening
13,Wendell Berry,We learn from our gardens to deal with the most urgent question of the time: How much is enough?,"[time, learn, question]",gardening
14,Dixie Lee Ray,Well tended garden is better than a neglected wood lot.,"[wood, better, garden]",gardening
15,Carolus Linnaeus,"If a tree dies, plant another in its place.","[tree, plant, place]",gardening
16,J. Carter Brown,"No one will understand a Japanese garden until you've walked through one, and you hear the crunch underfoot, and you smell it, and you experience it over time. Now there's no photograph or any movie that can give you that experience.","[time, experience, smell]",gardening
17,Martin Heidegger,To dwell is to garden.,"[garden, dwell]",gardening
18,Beau Bridges,"I also like to garden. I grow things, vegetables, flowers... I particularly like orchids. I raise orchids.","[flowers, grow, garden]",gardening
19,Gertrude Jekyll,The love of gardening is a seed once sown that never dies.,"[love, seed, never]",gardening
20,Lee Hall,"In many ways, theatre is more rewarding for a writer. I used to think it was like painting a wall - that when the play is finished, it's done - but now I realise it's more like gardening; you plant the thing, then you have to constantly tend it. You're part of a thing that's living.","[theatre, living, painting]",gardening
21,Diane von Furstenberg,"Clarity is the most important thing. I can compare clarity to pruning in gardening. You know, you need to be clear. If you are not clear, nothing is going to happen. You have to be clear. Then you have to be confident about your vision. And after that, you just have to put a lot of work in.","[work, vision, know]",gardening
22,John O'Donohue,"The human soul is hungry for beauty; we seek it everywhere - in landscape, music, art, clothes, furniture, gardening, companionship, love, religion, and in ourselves. No one would desire not to be beautiful. When we experience the beautiful, there is a sense of homecoming.","[love, music, beauty]",gardening
23,Hayley Mills,"I like solitary pursuits, such as reading or pottering about in the garden.","[reading, garden, like]",gardening
24,Robert Smithson,"When a finished work of 20th century sculpture is placed in an 18th century garden, it is absorbed by the ideal representation of the past, thus reinforcing political and social values that are no longer with us.","[work, past, political]",gardening
25,Juliet Mills,"My hobbies are cooking and gardening, especially growing orchids. I love soccer, my husband and I support a British team called Chelsea, and I also enjoy tennis. We have 3 cats.","[love, cooking, team]",gardening
