,0,1,2,3
0,Joel Osteen,"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.","[christmas, love, family]",god
1,Voltaire,God gave us the gift of life; it is up to us to give ourselves the gift of living well.,"[life, birthday, gift]",god
2,DMX,I just find myself happy with the simple things. Appreciating the blessings God gave me.,"[happy, myself, simple]",god
3,Joel Osteen,"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.","[positive, trust, attitude]",god
4,Desmond Tutu,"You don't choose your family. They are God's gift to you, as you are to them.","[family, gift, choose]",god
5,Mencius,Friends are the siblings God never gave us.,"[friendship, friends, never]",god
6,Walt Whitman,"I am as bad as the worst, but, thank God, I am as good as the best.","[best, good, thank god]",god
7,Pope Francis,"God never gives someone a gift they are not capable of receiving. If he gives us the gift of Christmas, it is because we all have the ability to understand and receive it.","[christmas, gift, someone]",god
8,Aeschylus,"He who learns must suffer. And even in our sleep pain that cannot forget falls drop by drop upon the heart, and in our own despair, against our will, comes wisdom to us by the awful grace of God.","[wisdom, sleep, heart]",god
9,Edwin Louis Cole,God never ends anything on a negative; God always ends on a positive.,"[positive, negative, always]",god
10,Lil Wayne,I'm blessed and I thank God for every day for everything that happens for me.,"[day, blessed, thank god]",god
11,Prince,"Every day I feel is a blessing from God. And I consider it a new beginning. Yeah, everything is beautiful.","[morning, beautiful, day]",god
12,Joyce Meyer,"I believe that a trusting attitude and a patient attitude go hand in hand. You see, when you let go and learn to trust God, it releases joy in your life. And when you trust God, you're able to be more patient. Patience is not just about waiting for something... it's about how you wait, or your attitude while waiting.","[life, trust, patience]",god
13,Chantal Sutherland,"So many times, people told me I can't do this or can't do that. My nature is that I don't listen very well. I'm very determined, and I believe in myself. My parents brought me up that way. Thank God for that. I don't let anything stand in my way.","[nature, myself, thank god]",god
14,Lil' Kim,"I am blessed to have so many great things in my life - family, friends and God. All will be in my thoughts daily.","[life, family, daily]",god
15,Joel Osteen,"When you focus on being a blessing, God makes sure that you are always blessed in abundance.","[faith, focus, blessed]",god
16,John Wooden,Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.,"[wisdom, humble, grateful]",god
17,Martin Lawrence,"I'm most proud of the blessings that God has bestowed upon me, in my life. He's given me the vision to truly see that you can fall down, but you can still get back up. Hopefully I'll learn from my mistakes and have the opportunity to strengthen and improve the next thing I do.","[life, learning, opportunity]",god
18,Josie Loren,"God has blessed me with an amazing family, friends and work colleagues that have been my joy, my support, and my sanity. I don't know what I'd do without them.","[family, work, joy]",god
19,Anne Frank,"The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quiet, alone with the heavens, nature and God. Because only then does one feel that all is as it should be.","[best, nature, alone]",god
20,Joyce Meyer,"I may not be where I want to be, but thank God I am not where I used to be.","[thank god, i am, want]",god
21,Jesus Christ,Do not let your hearts be troubled. Trust in God; trust also in me.,"[trust, me, hearts]",god
22,Swami Vivekananda,You cannot believe in God until you believe in yourself.,"[religion, believe]",god
23,Lex Luger,"Many times, the decisions we make affect and hurt your closest friends and family the most. I have a lot of regrets in that regard. But God has forgiven me, which I am very thankful for. It has enabled me to forgive myself and move forward one day at a time.","[family, time, forgiveness]",god
24,Joel Osteen,"Don't ever criticize yourself. Don't go around all day long thinking, 'I'm unattractive, I'm slow, I'm not as smart as my brother.' God wasn't having a bad day when he made you... If you don't love yourself in the right way, you can't love your neighbour. You can't be as good as you are supposed to be.","[love, good, love yourself]",god
25,Leo Buscaglia,Your talent is God's gift to you. What you do with it is your gift back to God.,"[motivational, gift, talent]",god
