,0,1,2,3
0,Nikos Kazantzakis,"May God forgive me, but the letters of the alphabet frighten me terribly. They are sly, shameless demons - and dangerous! You open the inkwell, release them; they run off - and how will you ever get control of them again!","[forgive, control, me]",god
1,Napoleon Bonaparte,"If I had to choose a religion, the sun as the universal giver of life would be my god.","[life, nature, religion]",god
2,Ellen DeGeneres,"In the beginning there was nothing. God said, 'Let there be light!' And there was light. There was still nothing, but you could see it a whole lot better.","[light, beginning, nothing]",god
3,John Lennon,"He didn't come out of my belly, but my God, I've made his bones, because I've attended to every meal, and how he sleeps, and the fact that he swims like a fish because I took him to the ocean. I'm so proud of all those things. But he is my biggest pride.","[ocean, pride, fish]",god
4,Niccolo Machiavelli,"God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us.","[free, free will, everything]",god
5,William Butler Yeats,"You know what the Englishman's idea of compromise is? He says, Some people say there is a God. Some people say there is no God. The truth probably lies somewhere between these two statements.","[truth, people, know]",god
6,Alija Izetbegovic,"I believe that the people, instead of pretty lies, should be told the truth, no matter how ugly it may be. What can we do, destiny hasn't been kind to us; but, with the help of God, we will prevail.","[truth, believe, destiny]",god
7,Charles Wesley,"Faith, mighty faith, the promise sees, And looks to God alone; Laughs at impossibilities, And cries it shall be done.","[faith, alone, done]",god
8,Joan Chen,"The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test.","[love, romantic, together]",god
9,David Brainerd,"Once more, Never think that you can live to God by your own power or strength; but always look to and rely on him for assistance, yea, for all strength and grace.","[strength, power, grace]",god
10,Wallace Stevens,We say God and the imagination are one... How high that highest candle lights the dark.,"[imagination, candle, dark]",god
11,Victor Hugo,Dear God! how beauty varies in nature and art. In a woman the flesh must be like marble; in a statue the marble must be like flesh.,"[nature, beauty, art]",god
12,Stephen Hawking,"God not only plays dice, but also sometimes throws them where they cannot be seen.","[sometimes, dice, where]",god
13,Aldous Huxley,"There's only one effectively redemptive sacrifice, the sacrifice of self-will to make room for the knowledge of God.","[knowledge, sacrifice, room]",god
14,Alfred Adler,"God who is eternally complete, who directs the stars, who is the master of fates, who elevates man from his lowliness to Himself, who speaks from the cosmos to every single human soul, is the most brilliant manifestation of the goal of perfection.","[stars, goal, perfection]",god
15,Alfred Jarry,God is the tangential point between zero and infinity.,"[infinity, point, zero]",god
16,Euripides,He was a wise man who originated the idea of God.,"[wise, man, wise man]",god
17,Francis Bacon,God hangs the greatest weights upon the smallest wires.,"[greatest, weights, wires]",god
18,Peter Marshall,"God will not permit any troubles to come upon us, unless He has a specific plan by which great blessing can come out of the difficulty.","[great, plan, blessing]",god
19,Simone Weil,It is only the impossible that is possible for God. He has given over the possible to the mechanics of matter and the autonomy of his creatures.,"[impossible, matter, possible]",god
20,Francis Quarles,"If thou desire the love of God and man, be humble, for the proud heart, as it loves none but itself, is beloved of none but itself. Humility enforces where neither virtue, nor strength, nor reason can prevail.","[love, strength, heart]",god
21,Menander,Even God lends a hand to honest boldness.,"[honest, boldness, hand]",god
22,Charles Stanley,"Disappointment is inevitable. But to become discouraged, there's a choice I make. God would never discourage me. He would always point me to himself to trust him. Therefore, my discouragement is from Satan. As you go through the emotions that we have, hostility is not from God, bitterness, unforgiveness, all of these are attacks from Satan.","[trust, disappointment, me]",god
23,Jupiter Hammon,"The Bible is a revelation of the mind and will of God to men. Therein we may learn, what God is.","[mind, men, learn]",god
24,James Russell Lowell,"Thank God every morning when you get up that you have something to do that day, which must be done, whether you like it or not.","[morning, day, thank god]",god
25,Nicki Minaj,"People face difficulties, no matter who you are. I faced difficulties with a lot of things. I face opposition every day, but I didn't kill myself and now, thank God, I'm here.","[myself, day, thank god]",god
