,0,1,2,3
0,St. Jerome,"Good, better, best. Never let it rest. 'Til your good is better and your better is best.","[motivational, best, better]",good
1,Bertrand Russell,The good life is one inspired by love and guided by knowledge.,"[life, love, knowledge]",good
2,Ann Landers,"Love is friendship that has caught fire. It is quiet understanding, mutual confidence, sharing and forgiving. It is loyalty through good and bad times. It settles for less than perfection and makes allowances for human weaknesses.","[love, friendship, confidence]",good
3,Johnny Weir,"Love myself I do. Not everything, but I love the good as well as the bad. I love my crazy lifestyle, and I love my hard discipline. I love my freedom of speech and the way my eyes get dark when I'm tired. I love that I have learned to trust people with my heart, even if it will get broken. I am proud of everything that I am and will become.","[love, trust, freedom]",good
4,Caroline Kennedy,"It's true, Christmas can feel like a lot of work, particularly for mothers. But when you look back on all the Christmases in your life, you'll find you've created family traditions and lasting memories. Those memories, good and bad, are really what help to keep a family together over the long haul.","[christmas, life, family]",good
5,Brad Henry,"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.","[love, teacher, hope]",good
6,Dita Von Teese,"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!","[happiness, experience, sad]",good
7,Walt Whitman,"I am as bad as the worst, but, thank God, I am as good as the best.","[best, god, thank god]",good
8,Mother Teresa,We shall never know all the good that a simple smile can do.,"[smile, simple, know]",good
9,Nick Cannon,"Nobody can predict the future. You just have to give your all to the relationship you're in and do your best to take care of your partner, communicate and give them every last drop of love you have. I think one of the most important things in a relationship is caring for your significant other through good times and bad.","[love, best, relationship]",good
10,Buddha,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.","[family, happiness, wisdom]",good
11,Abraham Lincoln,No man has a good enough memory to be a successful liar.,"[funny, memory, man]",good
12,Maria Sharapova,"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content.","[food, happy, good food]",good
13,Benjamin Franklin,A good conscience is a continual Christmas.,"[christmas, conscience]",good
14,Bob Marley,"One good thing about music, when it hits you, you feel no pain.","[music, pain, you]",good
15,Audrey Hepburn,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.","[wisdom, kindness, knowledge]",good
16,John Wooden,"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.","[friendship, art, thankful]",good
17,Baltasar Gracian,"True friendship multiplies the good in life and divides its evils. Strive to have friends, for life without friends is like life on a desert island... to find one real friend in a lifetime is good fortune; to keep him is a blessing.","[life, friendship, friends]",good
18,Gretchen Rubin,"One of the best ways to make yourself happy in the present is to recall happy times from the past. Photos are a great memory-prompt, and because we tend to take photos of happy occasions, they weight our memories to the good.","[best, memories, happy]",good
19,William Shakespeare,There is nothing either good or bad but thinking makes it so.,"[thinking, nothing, bad]",good
20,A. J. McLean,"Music is love, love is music, music is life, and I love my life. Thank you and good night.","[life, love, music]",good
21,Bob Marley,"The good times of today, are the sad thoughts of tomorrow.","[sad, today, thoughts]",good
22,Edmund Burke,The only thing necessary for the triumph of evil is for good men to do nothing.,"[evil, men, nothing]",good
23,Marilyn Monroe,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.","[love, i am, girl]",good
24,Frank A. Clark,A father is a man who expects his son to be as good a man as he meant to be.,"[father, dad, man]",good
25,"Martin Luther King, Jr.","We must develop and maintain the capacity to forgive. He who is devoid of the power to forgive is devoid of the power to love. There is some good in the worst of us and some evil in the best of us. When we discover this, we are less prone to hate our enemies.","[love, best, forgiveness]",good
