,0,1,2,3
0,Paul McCartney,"I think I always had a musicality, and I think I could tell a good song from a bad song. And I would appreciate hearing something that was new to me.","[me, appreciate, song]",good
1,Hugh Jackman,"I lived with a coffee farmer called Dukale on a trip I made with World Vision to Ethiopia, and realised there's no good reason for the disparity in opportunity around the world.","[coffee, opportunity, vision]",good
2,Johnny Cash,"I was wearing black clothes almost from the beginning. I feel comfortable in black. I felt like black looked good onstage, that it was attractive, so I started wearing it all the time.","[time, beginning, black]",good
3,Colbie Caillat,"Bob Marley is a huge influence. I love reggae music, but I also love the purpose of the songs he writes and the style of the music - it takes your worries away and makes you feel good, and I think that's what music is about.","[love, music, style]",good
4,Amy Chua,"I am definitely a Type A personality, always rushing around, trying to do too much, not good at just lying on the beach. But I'm so thankful for everything I have: wonderfully supportive parents and sisters, the best husband in the world, terrific students I love teaching and hanging out with, and above all, my two amazing daughters.","[love, best, thankful]",good
5,Morena Baccarin,"I've had long hair, I've had short hair, and I've had in between hair... and its all good.","[hair, short, long]",good
6,Samantha Power,History is laden with belligerent leaders using humanitarian rhetoric to mask geopolitical aims. History also shows how often ill-informed moralism has led to foreign entanglements that do more harm than good.,"[history, rhetoric, mask]",good
7,Leigh Lezark,I'm very good with sunglasses. There are things like... maybe headphones - either they're stolen or something - but sunglasses I tend to really hold on to.,"[sunglasses, something, hold]",good
8,Geri Halliwell,I just feel that the only power I have is setting a good example.,"[power, feel, good example]",good
9,Carrot Top,"Almost every day, someone asks if I ever flat iron my hair. I say, 'No, because I'm afraid it wouldn't look good and wouldn't come back curly.'","[day, hair, someone]",good
10,Boman Irani,"I don't mind being identified as any character as long as I'm doing a good job as an actor. I have done all kinds of roles - from an editor, judge, police officer, murderer to a corrupt businessman.","[character, mind, job]",good
11,Bertolt Brecht,"What a miserable thing life is: you're living in clover, only the clover isn't good enough.","[life, living, miserable]",good
12,Euripides,The good and the wise lead quiet lives.,"[wise, quiet, lead]",good
13,Mark Twain,Few things are harder to put up with than the annoyance of a good example.,"[good example, example]",good
14,Oliver Herford,Only the young die good.,"[die, young, only]",good
15,Plutarch,The omission of good is no less reprehensible than the commission of evil.,"[evil, commission, less]",good
16,Friedrich Schiller,Nothing leads to good that is not natural.,"[nothing, natural, leads]",good
17,Jack Welch,"Good business leaders create a vision, articulate the vision, passionately own the vision, and relentlessly drive it to completion.","[business, vision, create]",good
18,Anne Frank,Everyone has inside of him a piece of good news. The good news is that you don't know how great you can be! How much you can love! What you can accomplish! And what your potential is!,"[inspirational, love, great]",good
19,Kirsty Gallacher,My idea of a good night has always been having a lovely meal and a proper conversation.,"[night, good night]",good
20,Carl Sandburg,To be a good loser is to learn how to win.,"[motivational, learn, loser]",good
21,Plato,A good decision is based on knowledge and not on numbers.,"[knowledge, decision, numbers]",good
22,Jim Carrey,"I wake up some mornings and sit and have my coffee and look out at my beautiful garden, and I go, 'Remember how good this is. Because you can lose it.'","[morning, coffee, beautiful]",good
23,Baltasar Gracian,Friendship multiplies the good of life and divides the evil.,"[life, friendship, evil]",good
24,Brian Tracy,Teamwork is so important that it is virtually impossible for you to reach the heights of your capabilities or make the money that you want without becoming very good at it.,"[money, teamwork, impossible]",good
25,Hesiod,"For a man wins nothing better than a good wife, and then again nothing deadlier than a bad one.","[man, wife, nothing]",good
