,0,1,2,3
0,Winston Churchill,The best argument against democracy is a five-minute conversation with the average voter.,"[best, democracy]",government
1,Mark Twain,"Loyalty to the Nation all the time, loyalty to the Government when it deserves it.","[time, loyalty, nation]",government
2,Donald Trump,"One of the key problems today is that politics is such a disgrace, good people don't go into government.","[good, today, politics]",government
3,Abraham Lincoln,"This country, with its institutions, belongs to the people who inhabit it. Whenever they shall grow weary of the existing government, they can exercise their constitutional right of amending it, or exercise their revolutionary right to overthrow it.","[people, exercise, grow]",government
4,George Bernard Shaw,Democracy substitutes election by the incompetent many for appointment by the corrupt few.,"[democracy, election, corrupt]",government
5,John Adams,The happiness of society is the end of government.,"[happiness, end, society]",government
6,Tom Clancy,"The control of information is something the elite always does, particularly in a despotic form of government. Information, knowledge, is power. If you can control information, you can control people.","[knowledge, power]",government
7,Alexander Hamilton,"Unless your government is respectable, foreigners will invade your rights; and to maintain tranquillity, it must be respectable - even to observe neutrality, you must have a strong government.","[strong, rights, you]",government
8,Mike Huckabee,"If the Democrats want to insult women by making them believe that they are helpless without Uncle Sugar coming in and providing for them a prescription each month for birth control because they cannot control their libido or their reproductive system without the help of the government, then so be it.","[women, believe, help]",government
9,Albert Einstein,Nationalism is an infantile disease. It is the measles of mankind.,"[nationalism, disease]",government
10,Robert Kiyosaki,"If you or I fail at business, we fail. If we cheat and fail, we go to jail. But if you're rich and politically connected, your incompetence may be protected by a government bailout.","[business, rich, you]",government
11,John Hancock,"The important consequences to the American States from this Declaration of Independence, considered as the ground and foundation of a future government, naturally suggest the propriety of proclaiming it in such a manner as that the people may be universally informed of it.","[future, independence]",government
12,Alexander Hamilton,"It's not tyranny we desire; it's a just, limited, federal government.","[desire, tyranny]",government
13,Margaret Thatcher,The problem with socialism is that you eventually run out of other peoples' money.,"[money, problem, socialism]",government
14,Ronald Reagan,"Government's first duty is to protect the people, not run their lives.","[people, duty, first]",government
15,Mark Twain,"Patriotism is supporting your country all the time, and your government when it deserves it.","[time, patriotism, country]",government
16,Lysander Spooner,"But whether the Constitution really be one thing, or another, this much is certain - that it has either authorized such a government as we have had, or has been powerless to prevent it. In either case, it is unfit to exist.","[constitution, much]",government
17,James Bovard,"People are so docile right now. It is almost as if good government means when the politicians lie to us for our own good, for the public good, and bad government is when politicians lie for their own selfish interests.","[good, selfish, people]",government
18,John Adams,Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other.,"[constitution, people, moral]",government
19,James Madison,"What is government itself but the greatest of all reflections on human nature? If men were angels, no government would be necessary. If angels were to govern men, neither external nor internal controls on government would be necessary.","[nature, greatest, men]",government
20,Moby,"I believe that the role of limited government should be looking after the needs of veterans, the elderly, children and those institutions that improve the quality of life for struggling families - I don't believe that government should bend to serve the needs of subsidized multi-national corporations and entitled billionaires.","[life, children, believe]",government
21,Vladimir Putin,"History proves that all dictatorships, all authoritarian forms of government are transient. Only democratic systems are not transient. Whatever the shortcomings, mankind has not devised anything superior.","[history, whatever]",government
22,Andrew Jackson,It is to be regretted that the rich and powerful too often bend the acts of government to their own selfish purposes.,"[selfish, rich, powerful]",government
23,Thomas Jefferson,"A Bill of Rights is what the people are entitled to against every government, and what no just government should refuse, or rest on inference.","[people, bill of rights]",government
24,Donald Trump,"Our politicians are stupid. And the Mexican government is much smarter, much sharper, much more cunning. And they send the bad ones over because they don't want to pay for them. They don't want to take care of them. Why should they when the stupid leaders of the United States will do it for them?","[stupid, care, want]",government
25,Ted Nugent,The government is so out of control. It is so bloated and infested with fraud and deceit and corruption and abuse of power.,"[power, corruption, control]",government
