,0,1,2,3
0,William J. Clinton,"The new rage is to say that the government is the cause of all our problems, and if only we had no government, we'd have no problems. I can tell you, that contradicts evidence, history, and common sense.","[history, problems]",government
1,Tony Blair,"It is not an arrogant government that chooses priorities, it's an irresponsible government that fails to choose.","[priorities, choose, arrogant]",government
2,Brad Henry,No matter where you stand politically - even if you're unsure of what your political ideology is - it is important to take part in the process of shaping our government.,"[political, stand, important]",government
3,Edward Abbey,A patriot must always be ready to defend his country against his government.,"[patriotism, country, always]",government
4,Jeb Bush,"But without a caring society, without each citizen voluntarily accepting the weight of responsibility, government is destined to grow even larger, taking more of your money, burrowing deeper into your lives.","[money, caring, society]",government
5,Evita Peron,"The nation's government has just handed me the bill that grants us our civil rights. I am receiving it before you, certain that I am accepting this on behalf of all Argentinean women, and I can feel my hands tremble with joy as they grasp the laurel proclaiming victory.","[joy, women, i am]",government
6,Steve Forbes,"There is something fundamentally unfair about a government that takes away so much of people's money, power, and personal control while telling them that life will be better as a result.","[life, money, power]",government
7,Steve Forbes,We must guard against the overreaching hand of big government trying to take away our freedom. And we must always protect the environment in a manner consistent with our values.,"[freedom, environment, trying]",government
8,Gary Webb,"After spending three years of my life looking into this, I am more convinced than ever that the U.S. government's responsibility for the drug problems in South Central Los Angeles and other inner cities is greater than I ever wrote in the newspaper.","[life, responsibility, i am]",government
9,Grover Norquist,"My goal is to cut government in half in twenty-five years, to get it down to the size where we can drown it in the bathtub.","[goal, down, size]",government
10,Sam Houston,"The benefits of education and of useful knowledge, generally diffused through a community, are essential to the preservation of a free government.","[education, knowledge]",government
11,Joseph Story,"A feeble execution is but another phrase for a bad execution; and a government ill executed, whatever may be its theory, must, in practice, be a bad government.","[practice, execution, bad]",government
12,Joseph Story,"A good government implies two things; first, fidelity to the objects of the government; secondly, a knowledge of the means, by which those objects can be best attained.","[best, knowledge, good]",government
13,Richard Mentor Johnson,"What other nations call religious toleration, we call religious rights. They are not exercised in virtue of governmental indulgence, but as rights, of which government cannot deprive any portion of citizens, however small.","[small, rights, virtue]",government
14,Belle Boyd,"If it is a crime to love the South, its cause and its President, then I am a criminal. I would rather lie down in this prison and die than leave it owing allegiance to a government such as yours.","[love, i am, prison]",government
15,Daniel Morgan,"Where you have no religion, you are sure to have no government, for as religion disappears, anarchy takes place and fixes a compleat Hell on earth till religion returns.","[religion, earth, hell]",government
16,Stephen Harper,"We have in this country a federal government that increasingly is engaged in trying to determine which business, which regions, which industries will succeed, which will not through a whole range of economic development, regional development corporate subsidization programs.","[business, trying, succeed]",government
17,Mackenzie King,"Government, in the last analysis, is organized opinion. Where there is little or no public opinion, there is likely to be bad government.","[opinion, bad, analysis]",government
18,Stockwell Day,The same undisciplined government spending and social engineering that has undermined our economy over the past 30 years has also been tearing at the social fabric of this land.,"[past, engineering, economy]",government
19,John Tyler,"So far as it depends on the course of this government, our relations of good will and friendship will be sedulously cultivated with all nations.","[friendship, good, will]",government
20,Charles Maurice de Talleyrand,"Without freedom of the press, there can be no representative government.","[freedom, without, press]",government
21,Amiri Baraka,"If the flag of an armed enemy of the U.S. is allowed to fly over government buildings, then it implies that slavery, or at least the threat of slavery, is sanctioned by that government and can still legally exist.","[slavery, enemy, fly]",government
22,Lawrence Ferlinghetti,Anyone who saw Nagasaki would suddenly realize that they'd been kept in the dark by the United States government as to what atomic bombs can do.,"[dark, realize, united]",government
23,Chris Chocola,"Prior to the PATRIOT Act, the ability of government agencies to share information with each other was limited, which kept investigators from fully understanding what terrorists might be planning and to prevent their attacks.","[planning, information]",government
24,William Lyon Mackenzie King,"Until the control of the issue of currency and credit is restored to government and recognized as its most conspicuous and sacred responsibility, all talks of the sovereignty of Parliament and of democracy is idle and futile.","[democracy, responsibility]",government
25,Joe Baca,Native Americans are the original inhabitants of the land that now constitutes the United States. They have helped develop the fundamental principles of freedom of speech and separation of powers that form the foundation of the United States Government.,"[freedom, foundation]",government
