,0,1,2,3
0,Andrew Shue,"Life is the most exciting opportunity we have. But we have one shot. You graduate from college once, and that's it. You're going out of that nest. And you have to find that courage that's deep, deep, deep in there. Every step of the way.","[life, courage, deep]",graduation
1,Bernie Siegel,"God wants us to know that life is a series of beginnings, not endings. Just as graduations are not terminations, but commencements. Creation is an ongoing process, and when we create a perfect world where love and compassion are shared by all, suffering will cease.","[life, love, god]",graduation
2,Tom Brokaw,You are educated. Your certification is in your degree. You may think of it as the ticket to the good life. Let me ask you to think of an alternative. Think of it as your ticket to change the world.,"[life, change, good]",graduation
3,Plato,For good nurture and education implant good constitutions.,"[education, good, nurture]",graduation
4,Friedrich Nietzsche,The doer alone learneth.,"[alone, doer]",graduation
5,Claire Danes,"I took three years off. I differentiated myself from the industry. Found my identity - sort of... I haven't graduated yet. I'm not legitimately educated yet, but maybe one day.","[myself, day, identity]",graduation
6,Elizabeth Blackwell,"The idea of winning a doctor's degree gradually assumed the aspect of a great moral struggle, and the moral fight possessed immense attraction for me.","[great, winning, struggle]",graduation
7,Taylor Spreitler,"I grew up very differently than a lot of other people in my hometown in Mississippi. But I can't imagine my life any other way. I flew home and surprised my best friend at his graduation, and I remember turning to my mom and saying, 'My graduation was so much cooler than this.' I had Melissa Joan Hart give my commencement speech.","[life, best, home]",graduation
8,Alexis Herman,"Really, the potential for, first of all, any college graduate today is enormously good. These are good times for anyone with a college degree today, particularly African Americans. With a college degree today, you really breach the unemployment rate.","[good, today, college]",graduation
9,John Keegan,"I don't look to find an educated person in the ranks of university graduates, necessarily. Some of the most educated people I know have never been near a university.","[people, know, find]",graduation
10,M. H. Abrams,"When I was a graduate student, the leading spirits at Harvard were interested in the history of ideas.","[history, ideas, student]",graduation
11,Joe Baca,Catholic school graduates exhibit a wide variety of qualities that will not only help them in their careers but also in their family and community lives.,"[family, community, school]",graduation
12,Alan Dundes,"If a student takes the whole series of my folklore courses including the graduate seminars, he or she should learn something about fieldwork, something about bibliography, something about how to carry out library research, and something about how to publish that research.","[research, library, learn]",graduation
13,Hamilton Jordan,"I went to my son's graduation this weekend, and I heard a great quote I've never heard before from Albert Einstein. It was that the greatest danger to the world is not the bad people but it's the good people who don't speak out.","[good, great, greatest]",graduation
14,Robert Anthony,"Some people drink from the fountain of knowledge, others just gargle.","[knowledge, people]",graduation
15,Tobias Wolff,"I teach one semester a year, and this year I'm just teaching one course during that semester, a writing workshop for older students in their late 20s and early 30s, people in our graduate program who are already working on a manuscript and trying to bring it to completion.","[writing, people, year]",graduation
16,Karan Johar,"My mother was keen that I complete my graduation and never ever wanted me to be in the movies, as my father had made five films that lost money. One of the films he made was 'Agneepath,' which was hugely hyped but underwhelming at the box office, and I remember that my dad had to sell my grandmother's flat to pay off the loan.","[money, father, dad]",graduation
17,Elbert Hubbard,"God will not look you over for medals degrees or diplomas, but for scars.","[god, look, you]",graduation
18,T. S. Eliot,Knowledge is invariably a matter of degree: you cannot put your finger upon even the simplest datum and say this we know.,"[knowledge, know, matter]",graduation
19,Bobby Scott,It is virtually impossible to compete in today's global economy without a college degree.,"[today, college, impossible]",graduation
20,Daniel Greenberg,"Some go on to trade schools or get further training for jobs they are interested in. Some go into the arts, some are craftsmen, some take a little time out to travel, and some start their own businesses. But our graduates find and work at what they want to do.","[work, travel, time]",graduation
21,Conan O'Brien,"Earlier today, Arnold Schwarzenegger criticized the California school system, calling it disastrous. Arnold says California's schools are so bad that its graduates are willing to vote for me.","[today, school, me]",graduation
22,Marian Wright Edelman,Being considerate of others will take your children further in life than any college degree.,"[life, children, college]",graduation
23,Robert Orben,A graduation ceremony is an event where the commencement speaker tells thousands of students dressed in identical caps and gowns that 'individuality' is the key to success.,"[success, key to success]",graduation
24,Francis Ford Coppola,"When I was going for my graduate degree, I decided I was going to make a feature film as my thesis. That's what I was famous for-that I had my thesis film be a feature film, which was 'You're a Big Boy Now.'","[you, boy, film]",graduation
25,William Bennett,All real education is the architecture of the soul.,"[education, architecture]",graduation
