,0,1,2,3
0,Scott Hamilton,I graduated a the top of my class in the '84 Olympic Games; I won a gold medal.,"[gold, class, top]",graduation
1,Jim Evans,"My main objective is to prepare candidates for professional baseball; however, the majority of our graduates will go home as much better qualified amateurs.","[home, baseball, better]",graduation
2,Simon Newcomb,"In 1858 I received the degree of D. S. from the Lawrence Scientific School, and thereafter remained on the rolls of the university as a resident graduate.","[school, university, degree]",graduation
3,Patricia Riggen,"When I was in college, my graduation thesis was called 'Female Directors.' I interviewed all of the important female directors from Mexico. There were four. That was it.","[college, important, mexico]",graduation
4,Tim Duncan,I have the loving support of my girlfriend who still attends Wake Forest and is nearing graduation. She helps me cope with the everyday rigors of being an NBA player.,"[support, me, forest]",graduation
5,Irvine Welsh,"I think young writers should get other degrees first, social sciences, arts degrees or even business degrees. What you learn is research skills, a necessity because a lot of writing is about trying to find information.","[business, writing, research]",graduation
6,David Suchet,"I've always been short and stocky. So when I got into repertory theatre after graduation, I found myself doing character roles: because of my deep voice, shape and height, I was playing 40-year-old, 50-year-old roles at the age of 23.","[age, myself, deep]",graduation
7,Gerald Chertavian,"Mentors provide professional networks, outlets for frustration, college and career counseling, general life advice, and most importantly, an extra voice telling a student they are smart enough and capable enough to cross the stage at graduation and land their first paycheck from a career pathway job.","[life, college, smart]",graduation
8,Jim Clyburn,I have no problems with private schools. I graduated from one and so did my mother. Private schools are useful and we often use public funds to pay for their infrastructures and other common needs.,"[mother, problems, pay]",graduation
9,Andy Behrman,"After graduation in June of 1984, I moved to Manhattan. My first stop was a psychiatrist, who in less than our first fifty-minute session again diagnosed me with depression.","[depression, me, june]",graduation
10,Will McDonough,I received $100 per week when I started working at the Globe after graduation.,"[week, working, globe]",graduation
11,Susumu Tonegawa,"I commuted to the prestigious Hibiya High School from my uncle's home in Tokyo. During the high school years, I developed an interest in chemistry, so upon graduation, I chose to take an entrance examination for the Department of Chemistry of the University of Kyoto, the old capital of Japan.","[home, school, high school]",graduation
12,Carol P. Christ,I first became interested in women and religion when I was one of the few women doing graduate work in Religious Studies at Yale University in the late 1960's.,"[work, women, religion]",graduation
13,Julie Taymor,"Americans in particular are myopic. They're not traveling as much. When you were a college student, the next thing you would do on graduation was to take a year off and travel. That's what I did. I went to Indonesia.","[travel, college, year]",graduation
14,Maureen Forrester,I thought I should go to New York because it was the place to go to study. I went and tried to get an application from the Juilliard School but they wouldn't even give me one because I didn't have my high school graduation.,"[school, thought, me]",graduation
15,Alexandra Guarnaschelli,"I woke up on May 15, 1991, the day of my Barnard graduation, and I said to myself, 'By the end of today you will decide what you want to do with the rest of your life.'","[life, today, myself]",graduation
16,James D'arcy,It was only when I finished the course and left my graduation diploma on the bus that I realised I'd become an actor.,"[actor, bus, left]",graduation
17,Ted Nelson,"In my second year in graduate school, I took a computer course and that was like lightening striking.","[school, year, computer]",graduation
18,Ted Nelson,"So in my uncertainty, I went to graduate school and there it all happened.","[school, uncertainty]",graduation
19,David Eddings,"I wrote a novel for my degree, and I'm very happy I didn't submit that to a publisher. I sympathize with my professors who had to read it.","[happy, degree, professors]",graduation
20,Jerry Moran,"One of the most difficult speeches to prepare is an address to a graduation class, which is why I don't often do them.","[difficult, class, why]",graduation
21,Daniel J. Evans,"I think I finally chose the graduate degree in engineering primarily because it only took one year and law school took three years, and I felt the pressure of being a little behind - although I was just 22.","[school, law, engineering]",graduation
22,Peter Jurasik,"At the end of four years' time, at graduation, we were down to 12. At our reunion that we had several years ago, only 1 out of the 52 actually made it to ordination and priesthood. So there you go, there's your numbers.","[time, end, reunion]",graduation
23,Oliver E. Williamson,"My first jobs after graduation in 1955 were as a project engineer for G.E. and later with the U.S. government in Washington, D.C., where I met and married my wife, Dolores Celini.","[government, wife, project]",graduation
24,James Green Somerville,"I dropped out of school for a semester, transferred to another college, switched to an art major, graduated, got married, and for a while worked as a graphic designer.","[art, college, school]",graduation
25,Robert M. Hutchins,The college graduate is presented with a sheepskin to cover his intellectual nakedness.,"[college, intellectual]",graduation
