,0,1,2,3
0,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.","[inspirational, life, love]",great
1,William Barclay,There are two great days in a person's life - the day we are born and the day we discover why.,"[life, birthday, day]",great
2,Socrates,The greatest way to live with honor in this world is to be what we pretend to be.,"[greatest, honor, world]",great
3,Harriet Tubman,"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.","[change, strength, dreams]",great
4,Isaac Asimov,People who think they know everything are a great annoyance to those of us who do.,"[funny, people, know]",great
5,Pindar,"Every gift which is given, even though is be small, is in reality great, if it is given with affection.","[christmas, gift, small]",great
6,Jim Carrey,Behind every great man is a woman rolling her eyes.,"[funny, eyes, woman]",great
7,Steve Jobs,Great things in business are never done by one person. They're done by a team of people.,"[business, team, people]",great
8,Alyssa Milano,"First, accept sadness. Realize that without losing, winning isn't so great.","[sad, winning, losing]",great
9,Bonnie Blair,"It's sad to know I'm done. But looking back, I've got a lot of great memories.","[memories, sad, looking]",great
10,Gretchen Rubin,"One of the best ways to make yourself happy in the present is to recall happy times from the past. Photos are a great memory-prompt, and because we tend to take photos of happy occasions, they weight our memories to the good.","[best, memories, good]",great
11,Lil' Kim,"I am blessed to have so many great things in my life - family, friends and God. All will be in my thoughts daily.","[life, family, god]",great
12,Soledad O'Brien,"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?","[journey, freedom, fear]",great
13,Jake Owen,"I was given such a great gift. It's a miracle that never stops amazing me and reminding me to give thanks, every day. Having a wife and daughter gives me a lot more purpose. I was much more selfish before, but now I think about what kind of role model I'll be. I just want to be a better man.","[thankful, daughter, gift]",great
14,Eleanor Roosevelt,Great minds discuss ideas; average minds discuss events; small minds discuss people.,"[small, people, ideas]",great
15,H. L. Mencken,"On some great and glorious day the plain folks of the land will reach their heart's desire at last, and the White House will be adorned by a downright moron.","[heart, day, desire]",great
16,Nicole Scherzinger,"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.","[love, time, smile]",great
17,A. P. J. Abdul Kalam,"Never stop fighting until you arrive at your destined place - that is, the unique you. Have an aim in life, continuously acquire knowledge, work hard, and have perseverance to realise the great life.","[life, work, knowledge]",great
18,Vincent Van Gogh,Great things are done by a series of small things brought together.,"[together, small]",great
19,Herbert Spencer,The great aim of education is not knowledge but action.,"[education, knowledge, action]",great
20,Ralph Waldo Emerson,To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,"[greatest, be yourself]",great
21,William Shakespeare,"Some are born great, some achieve greatness, and some have greatness thrust upon them.","[greatness, achieve, born]",great
22,Lao Tzu,Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,"[motivational, journey, small]",great
23,Edward de Bono,Creativity is a great motivator because it makes people interested in what they are doing. Creativity gives hope that there can be a worthwhile idea. Creativity gives the possibility of some sort of achievement to everyone. Creativity makes life more fun and more interesting.,"[life, hope, creativity]",great
24,Napoleon Hill,"Great achievement is usually born of great sacrifice, and is never the result of selfishness.","[achievement, sacrifice]",great
25,Henry Beston,"The three great elemental sounds in nature are the sound of rain, the sound of wind in a primeval wood, and the sound of outer ocean on a beach.","[nature, rain, ocean]",great
