,0,1,2,3
0,Lucius Annaeus Seneca,It is a rough road that leads to the heights of greatness.,"[greatness, road, heights]",great
1,Vince Lombardi,"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.","[good, greatest, heart]",great
2,Walter Bagehot,A great pleasure in life is doing what people say you cannot do.,"[life, people, doing]",great
3,Florence Scovel Shinn,"Every great work, every big accomplishment, has been brought into manifestation through holding to the vision, and often just before the big achievement, comes apparent failure and discouragement.","[work, failure, achievement]",great
4,Abraham Lincoln,"I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts.","[truth, i am, people]",great
5,Mick Jagger,"The past is a great place and I don't want to erase it or to regret it, but I don't want to be its prisoner either.","[past, regret, want]",great
6,Aesop,We hang the petty thieves and appoint the great ones to public office.,"[politics, office, petty]",great
7,Theodore Roosevelt,"The boy who is going to make a great man must not make up his mind merely to overcome a thousand obstacles, but to win in spite of a thousand repulses and defeats.","[mind, obstacles, man]",great
8,F. Scott Fitzgerald,A great social success is a pretty girl who plays her cards as carefully as if she were plain.,"[success, girl, cards]",great
9,Helen Keller,"Until the great mass of the people shall be filled with the sense of responsibility for each other's welfare, social justice can never be attained.","[justice, responsibility]",great
10,Orison Swett Marden,Don't wait for extraordinary opportunities. Seize common occasions and make them great. Weak men wait for opportunities; strong men make them.,"[strength, strong, men]",great
11,Jan Peter Balkenende,"The horrors of the Second World War, the chilling winds of the Cold War and the crushing weight of the Iron Curtain are little more than fading memories. Ideals that once commanded great loyalty are now taken for granted.","[war, memories, loyalty]",great
12,Whitney Houston,"From the beginning, the camera and I were great friends. It loves me, and I love it.","[love, beginning, friends]",great
13,Peter Marshall,Small deeds done are better than great deeds planned.,"[motivational, small, better]",great
14,Soren Kierkegaard,"The paradox is really the pathos of intellectual life and just as only great souls are exposed to passions it is only the great thinker who is exposed to what I call paradoxes, which are nothing else than grandiose thoughts in embryo.","[life, thoughts, intellectual]",great
15,Letitia Elizabeth Landon,Society is like a large piece of frozen water; and skating well is the great art of social life.,"[life, art, water]",great
16,Ruby Wax,You have to be great friends and make each other laugh. We laugh a lot and neither is jealous of the other.,"[friends, laugh, jealous]",great
17,Nick Rahall,Today we thank God for all the blessings He has bestowed upon this great Country and ask Him to continue to heal our land and meet our needs - and we do so through the power of prayer.,"[god, power, today]",great
18,Naveen Jain,Success doesn't necessarily come from breakthrough innovation but from flawless execution. A great strategy alone won't win a game or a battle; the win comes from basic blocking and tackling.,"[success, innovation, alone]",great
19,Emmanuelle Chriqui,"I look at my father. He is one of my heroes. He is such an incredible, classy man. He was such a great father and such a great husband in so many ways, and we lived through some pretty tough times losing my mom. When I see all that he did, I think, 'Wow, that's a really wonderful man.'","[father, mom, tough times]",great
20,Gary Oldman,Wanting to be a good actor is not good enough. You must want to be a great actor. You just have to have that.,"[good, not good enough, want]",great
21,Vicente Fox,"On one side, citizens have great respect for the United States; they have a great feeling of friendship. That is solid. But in the opposition and in the political arena I often find criticism of the closeness of relations with the United States. That is a reality.","[friendship, respect]",great
22,Charles Spurgeon,"However great may be the work for which we are responsible, we will always do well if we pause to spend time in sacred praise.","[work, time, praise]",great
23,P. J. O'Rourke,"If you are young and you drink a great deal it will spoil your health, slow your mind, make you fat - in other words, turn you into an adult.","[new year's, health, mind]",great
24,Marjorie Holmes,"I find the great thing in this world is not so much where we stand, as in what direction we are moving: To reach the port of heaven, we must sail sometimes with the wind and sometimes against it, but we must sail, and not drift, nor lie at anchor.","[moving, world, stand]",great
25,Lewis Carroll,"While the laughter of joy is in full harmony with our deeper life, the laughter of amusement should be kept apart from it. The danger is too great of thus learning to look at solemn things in a spirit of mockery, and to seek in them opportunities for exercising wit.","[life, learning, joy]",great
