,0,1,2,3
0,George Sand,"There is only one happiness in this life, to love and be loved.","[life, love, loved]",happiness
1,Thomas S. Monson,Christmas is the spirit of giving without a thought of getting. It is happiness because we see joy in people. It is forgetting self and finding time for others. It is discarding the meaningless and stressing the true values.,"[christmas, time, joy]",happiness
2,"H. Jackson Brown, Jr.",Love is when the other person's happiness is more important than your own.,"[love, love is, important]",happiness
3,Euripides,"Friends show their love in times of trouble, not in happiness.","[love, friendship, friends]",happiness
4,Jim Rohn,Happiness is not something you postpone for the future; it is something you design for the present.,"[inspirational, future]",happiness
5,Omar Khayyam,Be happy for this moment. This moment is your life.,"[life, happy, moment]",happiness
6,Kevyn Aucoin,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.","[inspirational, life, morning]",happiness
7,Robert Baden-Powell,The most worth-while thing is to try to put happiness into the lives of others.,"[try, others, most]",happiness
8,Albert Schweitzer,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.","[love, success]",happiness
9,Dita Von Teese,"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!","[experience, sad, good]",happiness
10,Tom Wilson,A smile is happiness you'll find right under your nose.,"[smile, find, you]",happiness
11,Ausonius,"Let us never know what old age is. Let us know the happiness time brings, not count the years.","[birthday, time, age]",happiness
12,Richard Bach,The best way to pay for a lovely moment is to enjoy it.,"[best, moment, enjoy]",happiness
13,Buddha,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.","[family, wisdom, peace]",happiness
14,Joel Osteen,"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you.","[power, giving, day]",happiness
15,Franklin D. Roosevelt,Happiness lies in the joy of achievement and the thrill of creative effort.,"[success, joy, achievement]",happiness
16,Valerie Bertinelli,"Happiness is a choice. You can choose to be happy. There's going to be stress in life, but it's your choice whether you let it affect you or not.","[life, happy, stress]",happiness
17,Mahatma Gandhi,"Happiness is when what you think, what you say, and what you do are in harmony.","[harmony, think, you]",happiness
18,George Burns,"Happiness is having a large, loving, caring, close-knit family in another city.","[funny, family, caring]",happiness
19,Charles Spurgeon,"It is not how much we have, but how much we enjoy, that makes happiness.","[enjoy, much, makes]",happiness
20,Dalai Lama,Happiness is not something ready made. It comes from your own actions.,"[something, actions, ready]",happiness
21,Helen Keller,"Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties.","[success, new year's, joy]",happiness
22,Buddha,"Thousands of candles can be lighted from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared.","[inspirational, life, candle]",happiness
23,Martha Washington,I am determined to be cheerful and happy in whatever situation I may find myself. For I have learned that the greater part of our misery or unhappiness is determined not by our circumstance but by our disposition.,"[happy, myself, i am]",happiness
24,Leo Tolstoy,"If you want to be happy, be.","[happy, be happy, want]",happiness
25,Carrie Underwood,"Every day is a new day, and you'll never be able to find happiness if you don't move on.","[moving on, day, new day]",happiness
