,0,1,2,3
0,Alastair Campbell,"So here is one of my theories on happiness: we cannot know if we have lived a truly happy life until the very end. This view of life and death was reinforced by my close witnessing of the buildup to the death of Philip Gould. Philip was without doubt my closest friend in politics. When he died, I felt like I had lost a limb.","[life, death, happy]",happiness
1,Nicki Minaj,My happiness doesn't come from money or fame. My happiness comes from seeing life without struggle.,"[life, money, struggle]",happiness
2,Kim Cattrall,"I wanted to understand pain and the human condition, which is full of pain and regret and sadness - and some happiness, if you're lucky.","[pain, regret, sadness]",happiness
3,Marianne Williamson,"For many, many people, getting married is one of the most important things they will ever do in the pursuit of happiness.","[people, important]",happiness
4,John Dewey,"To find out what one is fitted to do, and to secure an opportunity to do it, is the key to happiness.","[work, opportunity, find]",happiness
5,Paul Sweeney,How often we fail to realize our good fortune in living in a country where happiness is more than a lack of tragedy.,"[good, living, tragedy]",happiness
6,V. S. Pritchett,The secret of happiness is to find a congenial monotony.,"[find, secret, monotony]",happiness
7,Maxim Gorky,"Happiness always looks small while you hold it in your hands, but let it go, and you learn at once how big and precious it is.","[small, hands, learn]",happiness
8,Johnny Carson,Happiness is your dentist telling you it won't hurt and then having him catch his hand in the drill.,"[hurt, you, dentist]",happiness
9,Henry St. John,"Liberty is to the collective body, what health is to every individual body. Without health no pleasure can be tasted by man; without liberty, no happiness can be enjoyed by society.","[health, society, man]",happiness
10,Dale Carnegie,The person who seeks all their applause from outside has their happiness in another's keeping .,"[outside, person, another]",happiness
11,Virginia Woolf,"The man who is aware of himself is henceforward independent; and he is never bored, and life is only too short, and he is steeped through and through with a profound yet temperate happiness.","[life, man, independence]",happiness
12,Louis D. Brandeis,"America has believed that in differentiation, not in uniformity, lies the path of progress. It acted on this belief; it has advanced human happiness, and it has prospered.","[progress, path, america]",happiness
13,Laura Schlessinger,"Values are principles and ideas that bring meaning to the seemingly mundane experience of life. A meaningful life that ultimately brings happiness and pride requires you to respond to temptations as well as challenges with honor, dignity, and courage.","[life, courage, experience]",happiness
14,Fanny Burney,Traveling is the ruin of all happiness! There's no looking at a building after seeing Italy.,"[travel, looking, building]",happiness
15,John Mason Brown,The only true happiness comes from squandering ourselves for a purpose.,"[purpose, true]",happiness
16,Greg Anderson,Only one thing has to change for us to know happiness in our lives: where we focus our attention.,"[change, focus, attention]",happiness
17,Martha Washington,The greater part of our happiness or misery depends on our dispositions and not our circumstances.,"[circumstances, misery]",happiness
18,Joseph Addison,"Three grand essentials to happiness in this life are something to do, something to love, and something to hope for.","[life, love, hope]",happiness
19,John Ruskin,"Man's only true happiness is to live in hope of something to be won by him. Reverence something to be worshipped by him, and love something to be cherished by him, forever.","[love, hope, man]",happiness
20,Edward Gibbon,"I understand by this passion the union of desire, friendship, and tenderness, which is inflamed by a single female, which prefers her to the rest of her sex, and which seeks her possession as the supreme or the sole happiness of our being.","[friendship, passion, sex]",happiness
21,William Feather,One of the indictments of civilizations is that happiness and intelligence are so rarely found in the same person.,"[intelligence, same, person]",happiness
22,Leigh Hunt,The groundwork of all happiness is health.,"[health, groundwork]",happiness
23,Wilhelm von Humboldt,I am more and more convinced that our happiness or our unhappiness depends far more on the way we meet the events of life than on the nature of those events themselves.,"[life, nature, i am]",happiness
24,Lucius Annaeus Seneca,Wisdom allows nothing to be good that will not be so forever; no man to be happy but he that needs no other happiness than what he has within himself; no man to be great or powerful that is not master of himself.,"[wisdom, good, happy]",happiness
25,Malcolm Muggeridge,"I can say that I never knew what joy was like until I gave up pursuing happiness, or cared to live until I chose to die. For these two discoveries I am beholden to Jesus.","[joy, i am, die]",happiness
