,0,1,2,3
0,Buddha,"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.","[inspirational, best]",health
1,Buddha,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.","[family, happiness, wisdom]",health
2,Joyce Meyer,I believe that the greatest gift you can give your family and the world is a healthy you.,"[family, greatest, gift]",health
3,Dalai Lama,"Calm mind brings inner strength and self-confidence, so that's very important for good health.","[strength, good, mind]",health
4,Buddha,Without health life is not life; it is only a state of langour and suffering - an image of death.,"[life, death, suffering]",health
5,Ban Ki-moon,"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.","[change, food, women]",health
6,Eric Idle,I have been very blessed in my life and rewarded with good friends and good health. I am grateful and happy to be able to share this.,"[life, good, happy]",health
7,Benjamin Franklin,"Early to bed and early to rise makes a man healthy, wealthy and wise.","[wise, man, healthy]",health
8,Thomas Fuller,Health is not valued till sickness comes.,"[sickness, valued, till]",health
9,Gene Tunney,"To enjoy the glow of good health, you must exercise.","[good, fitness, good health]",health
10,Christopher Hitchens,"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.","[history, faith, religion]",health
11,Gustave Flaubert,"To be stupid, selfish, and have good health are three requirements for happiness, though if stupidity is lacking, all is lost.","[happiness, good, stupidity]",health
12,John Locke,"All mankind... being all equal and independent, no one ought to harm another in his life, health, liberty or possessions.","[life, liberty, equal]",health
13,Mahatma Gandhi,It is health that is real wealth and not pieces of gold and silver.,"[wealth, gold, real]",health
14,Tom Stoppard,A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,"[attitude, healthy, wait]",health
15,Buddha,To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,"[good, mind, strong]",health
16,Joyce Meyer,"It's so important to realize that every time you get upset, it drains your emotional energy. Losing your cool makes you tired. Getting angry a lot messes with your health.","[time, cool, losing]",health
17,Josh Fox,"The problem is that everywhere the gas drilling industry goes, a trail of water contamination, air pollution, health concerns and betrayal of basic American civic and community values follows.","[community, water, american]",health
18,Audrey Hepburn,"Water is life, and clean water means health.","[life, water, clean water]",health
19,Ralph Waldo Emerson,The first wealth is health.,"[wealth, first]",health
20,Marilu Henner,"Being in control of your life and having realistic expectations about your day-to-day challenges are the keys to stress management, which is perhaps the most important ingredient to living a happy, healthy and rewarding life.","[life, happy, stress]",health
21,William Hazlitt,"Look up, laugh loud, talk big, keep the color in your cheek and the fire in your eye, adorn your person, maintain your health, your beauty and your animal spirits.","[positive, beauty, fire]",health
22,Denis Waitley,Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,"[time, fitness, appreciate]",health
23,Thomas Jefferson,"Our greatest happiness does not depend on the condition of life in which chance has placed us, but is always the result of a good conscience, good health, occupation, and freedom in all just pursuits.","[life, happiness, freedom]",health
24,Brennan Manning,"My trust in God flows out of the experience of his loving me, day in and day out, whether the day is stormy or fair, whether I'm sick or in good health, whether I'm in a state of grace or disgrace. He comes to me where I live and loves me as I am.","[trust, god, experience]",health
25,Joel Osteen,"God can cause opportunity to find you. He has unexpected blessings where you suddenly meet the right person, or suddenly your health improves, or suddenly you're able to pay off your house. That's God shifting things in your favor.","[god, opportunity, blessings]",health
