,0,1,2,3
0,Jeremy Rifkin,"In this country, the health concerns and the environmental concerns are as deep as in Europe. All the surveys show that. But here, we didn't have the cultural dimension. This is a fast-food culture.","[environmental, culture, deep]",health
1,Paul Gillmor,"The American economy has always been driven by the entrepreneurial nature of its citizens, and blocking access to affordable health care will only suffocate growth within the small business sector of our economy.","[nature, business, growth]",health
2,John Hawley,We have to be thankful considering our number as a family we enjoy very good health generally but you may be sure me and my partner have quite enough to exercise our minds and occupy our attention.,"[family, thankful, good]",health
3,Bob Filner,"With more than 1,300 sites of care, VA operates the largest integrated health care system in the county.","[care, health care]",health
4,Patrick MacGill,"Save for minor ailments and accident, my battalion is practically immune from sickness; colds come and go as a matter of course, sprains and cuts claim momentary attention, but otherwise the health of the battalion is perfect.","[sickness, perfect, attention]",health
5,A. R. Ammons,"Even if you walk exactly the same route each time - as with a sonnet - the events along the route cannot be imagined to be the same from day to day, as the poet's health, sight, his anticipations, moods, fears, thoughts cannot be the same.","[time, day, thoughts]",health
6,Andrew von Eschenbach,We will continue to do all we can to protect the public health against these dietary supplements that have been found to cause serious illness and injury.,"[serious, will, public health]",health
7,Paul Krugman,I admit it: I had fun watching right-wingers go wild as health reform finally became law.,"[fun, law, watching]",health
8,Meg Whitman,"Because what happens is, as the economy suffers, tax revenues go down. But unlike businesses, where at least your variable costs go down, in government your variable costs go up: unemployment insurance, workmen's compensation, health care benefits, welfare, you name it.","[government, care, tax]",health
9,Barack Obama,"But if you - if what - the reports are true, what they're saying is, is that as a consequence of us getting 30 million additional people health care, at the margins that's going to increase our costs, we knew that.","[people, care, true]",health
10,Audrey Hepburn,"I heard a definition once: Happiness is health and a short memory! I wish I'd invented it, because it is very true.","[happiness, memory, short]",health
11,Jennie Garth,It's never too late to take your heart health seriously and make it a priority.,"[heart, late, never too late]",health
12,Cynthia Nixon,"The idea of making access to safe abortions harder and more expensive and more difficult, having to travel across state lines - that puts women's health and lives in jeopardy, which is something I think no one wants.","[travel, women, difficult]",health
13,David Alan Grier,I try to make my bed every day for mental health. Coming home to an unmade bed or a room with clothes all over will depress me.,"[home, day, me]",health
14,Mario Lemieux,"I have two main reasons for retiring. The first is I can no longer play at a level I was accustomed to in the past. That has been very, very frustrating to me throughout this past year. The second one is realizing my health, along with my family, is the most important thing in the world.","[family, past, world]",health
15,Duff Goldman,I'm not on a mission. I'm not a paragon of health for anybody. I'm not going to run a marathon or model for 'Men's Health' or go on bike rides with Lance Armstrong. I'm not. Trust me.,"[trust, men, me]",health
16,Ted Cruz,I don't think it's government's job to find health care for people. I think it's the individual's job to find health care.,"[government, job, people]",health
17,P. J. O'Rourke,"Positive rights are the right to shelter, the right to education, the right to health care, the right to a living wage. These things are - these are, I would call them, more properly, political rights rather than positive rights. And they are extremely tricky, because now we are dealing with things that are zero sum.","[positive, education]",health
18,Linda McMahon,"While they're in WWE, we absolutely have a health and wellness policy. I'll probably always say 'we,' even though I've resigned as the CEO. It's kind of hard to break a 30-year habit.","[wellness, kind, habit]",health
19,Sandra Fluke,"Because we spoke so loudly, opponents of reproductive health access demonized and smeared me and others on the public airwaves. These smears are obvious attempts to distract from meaningful policy discussions and to silence women's voices regarding their own health care.","[women, silence, me]",health
20,Cathy McMorris Rodgers,"Women oftentimes are the ones making those economic decisions, sitting around the kitchen table and trying to figure out how to pay for rising gas prices or food prices or the health insurance costs.","[food, women, decisions]",health
21,Bev Perdue,"President Obama is also standing up for women in North Carolina and across our country. He has helped women fight for equal pay for equal work; he has fought to guarantee that women have access to quality, affordable health care, including making sure that insurance plans cover birth control with no out-of-pocket cost.","[work, women, quality]",health
22,Cory Booker,"You should be able to afford health care for your family. You should be able to retire with dignity and respect. And you should be able to give your children the kind of education that allows them to dream even bigger, go even farther and accomplish even more than you could ever imagine.","[family, education, respect]",health
23,Dee Dee Myers,"As women slowly gain power, their values and priorities are reshaping the agenda. A multitude of studies show that when women control the family funds, they generally spend more on health, nutrition, and education - and less on alcohol and cigarettes.","[family, education, women]",health
24,Hillary Clinton,"I've had extraordinary good luck with my health, other than a broken elbow.","[good, luck, good luck]",health
25,John Salazar,"I always am a firm believer in you compensate people for their job, and so I did give them bonuses. We accomplished a lot in Congress, we passed health care reform. There were threats against their lives; they had a tough two years. They'd forgone any cost-of-living increase or any bonus before.","[job, people, care]",health
