,0,1,2,3
0,Confucius,"Our greatest glory is not in never falling, but in rising every time we fall.","[time, greatest, fall]",history
1,Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"[love, hope, death]",history
2,Marcus Garvey,"A people without the knowledge of their past history, origin and culture is like a tree without roots.","[knowledge, culture, past]",history
3,Thomas Jefferson,I like the dreams of the future better than the history of the past.,"[future, dreams, past]",history
4,Christopher Hitchens,"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.","[health, faith, religion]",history
5,Michelle Obama,You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.,"[life, hope, courage]",history
6,"Martin Luther King, Jr.",We are not makers of history. We are made by history.,"[made, makers]",history
7,Winston Churchill,History will be kind to me for I intend to write it.,"[be kind, me, kind]",history
8,Julius Caesar,"I came, I saw, I conquered.","[conquered, came, saw]",history
9,George Santayana,Those who do not remember the past are condemned to repeat it.,"[past, remember, repeat]",history
10,Karl Marx,"History repeats itself, first as tragedy, second as farce.","[tragedy, first]",history
11,Kanye West,I feel like I'm too busy writing history to read it.,"[busy, writing, feel]",history
12,Elayne Boosler,"I am thankful the most important key in history was invented. It's not the key to your house, your car, your boat, your safety deposit box, your bike lock or your private community. It's the key to order, sanity, and peace of mind. The key is 'Delete.'","[peace, thankful, community]",history
13,George Washington,Observe good faith and justice toward all nations. Cultivate peace and harmony with all.,"[peace, faith, good]",history
14,Dwight D. Eisenhower,Neither a wise man nor a brave man lies down on the tracks of history to wait for the train of the future to run over him.,"[future, wise, man]",history
15,Haile Selassie,"History teaches us that unity is strength, and cautions us to submerge and overcome our differences in the quest for common goals, to strive, with all our combined strength, for the path to true African brotherhood and unity.","[strength, goals, path]",history
16,Haile Selassie,"Throughout history, it has been the inaction of those who could have acted; the indifference of those who should have known better; the silence of the voice of justice when it mattered most; that has made it possible for evil to triumph.","[justice, silence, evil]",history
17,Lord Acton,History is not a burden on the memory but an illumination of the soul.,"[memory, soul, burden]",history
18,Ferdinand Marcos,I often wonder what I will be remembered in history for. Scholar? Military hero? Builder?,"[hero, military, wonder]",history
19,James Howard Kunstler,"Neurologically, people have a need to feel oriented, to know where they are, not just in terms of a compass and not just in terms of geography, but in terms of their culture and history. To be informed about where they're coming from and to have some glimpse towards a hopeful future.","[future, culture, people]",history
20,Maya Angelou,"You may write me down in history with your bitter, twisted lines. You may trod me in the very dirt, but still, like dust, I'll rise.","[me, rise, down]",history
21,Dan Quayle,The Holocaust was an obscene period in our nation's history. I mean in this century's history. But we all lived in this century. I didn't live in this century.,"[live, holocaust, nation]",history
22,Philippa Gregory,The moment that changed me for ever was when I had my first seminar with my history professor at the University of Sussex. I realised that history would answer all the questions I had spent my life asking. It was an extraordinary moment.,"[life, moment, me]",history
23,Tariq Ramadan,"Malaysia is a country unlike any other: Full of promise and fragility. Its history, cultural and religious diversity make it a rich, compelling and surprising land.","[diversity, rich, country]",history
24,George Orwell,The very concept of objective truth is fading out of the world. Lies will pass into history.,"[truth, world, will]",history
25,James Nasmyth,"OUR history begins before we are born. We represent the hereditary influences of our race, and our ancestors virtually live in us.","[live, ancestors, race]",history
