,0,1,2,3
0,Coretta Scott King,"There is a spirit and a need and a man at the beginning of every great human advance. Every one of these must be right for that particular moment of history, or nothing happens.","[great, man, beginning]",history
1,Noam Chomsky,The Bible is one of the most genocidal books in history.,"[bible, most, books]",history
2,Bo Bennett,"Value people on their potential, not on their history.","[people, value, potential]",history
3,Harold Rosenberg,"The aim of every authentic artist is not to conform to the history of art, but to release himself from it in order to replace it with his own history.","[art, artist, aim]",history
4,John Hersey,Journalism allows its readers to witness history; fiction gives its readers an opportunity to live it.,"[opportunity, journalism]",history
5,Dirk Kempthorne,"You have it within your grasp to be regarded as one of the greatest legislative sessions in the history of the state. If you're bold and if you're ready to aggressively reach for our future, all the ingredients are here. The opportunities are waiting for us.","[future, greatest, waiting]",history
6,Anders Fogh Rasmussen,More than forty years of Communist rule in Central and Eastern Europe resulted in an unhappy and artificial division of Europe. It is this dark chapter of European history that we now have the opportunity to close.,"[opportunity, dark, unhappy]",history
7,Buchi Emecheta,Black women all over the world should re-unite and re-examine the way history has portrayed us.,"[women, black, world]",history
8,Strom Thurmond,"If I had been elected president in 1948, history would be vastly different. I believe we would have stemmed the growth of Big Government, which had begun with the New Deal and culminated with the Great Society.","[growth, great, society]",history
9,Adam Ferguson,"The history of mankind is confined within a limited period, and from every quarter brings an intimation that human affairs have had a beginning.","[beginning, within, human]",history
10,Allan Sherman,"When the great history of trouble is written, my family will stand extremely high in the table of contents.","[family, great, stand]",history
11,Robert Walpole,"Oh, do not read history, for that I know must be false.","[know, false, read]",history
12,Jared Diamond,"We study the injustices of history for the same reason that we study genocide, and for the same reason that psychologists study the minds of murderers and rapists... to understand how those evil things came about.","[evil, study, genocide]",history
13,Jared Diamond,"Introspection and preserved writings give us far more insight into the ways of past humans than we have into the ways of past dinosaurs. For that reason, I'm optimistic that we can eventually arrive at convincing explanations for these broadest patterns of human history.","[past, reason, insight]",history
14,Peter Cooper,A true history of human events would show that a far larger proportion of our acts are the result of sudden impulse and accident than of that reason of which we so much boast.,"[true, reason, human]",history
15,Iris Chang,It is very difficult to hang onto the relics of history.,"[difficult, hang, onto]",history
16,Sue Kelly,The War on Terror is one of the most critical national security efforts in our history.,"[war, security]",history
17,Anita Desai,The book begins and ends with the visits to give the impression of a tunnel into their ancestors and family history. I believe in going backwards into the past - I felt I was digging a tunnel back to the past.,"[family, past, book]",history
18,Richard Serra,And certainly the history of public sculpture has been disastrous but that doesn't mean it ought not to continue and the only way it even has a chance to continue is if the work gets out into the public.,"[work, chance, way]",history
19,Horatio Alger,The institution of chivalry forms one of the most remarkable features in the history of the Middle Ages.,"[chivalry, middle ages, most]",history
20,Francis William Aston,"The cosmical importance of this conclusion is profound and the possibilities it opens for the future very remarkable, greater in fact than any suggested before by science in the whole history of the human race.","[future, science, race]",history
21,Gordon Parks,"People in millenniums ahead will know what we were like in the 1930's and the thing that, the important major things that shaped our history at that time. This is as important for historic reasons as any other.","[time, people, know]",history
22,Robert Smithson,"Art history is less explosive than the rest of history, so it sinks faster into the pulverized regions of time.","[time, art, rest]",history
23,Ken Burns,"You can learn as much about the history from reading about the present as you can vice versa, that is learning about the present through history, which is what I do for a living.","[learning, reading, living]",history
24,Walter Ulbricht,"When has there ever been a government in German history that came to the people and revealed its detailed plans for the coming years? That could not happen before, since German governments planned war and conquest.","[war, government, people]",history
25,Cybill Shepherd,"You know, women have a history of just being - we've been told all our lives not to say - in the fifties you couldn't say birth or even be pregnant hardly on television - and then gradually things have changed.","[women, know, television]",history
