,0,1,2,3
0,Charles Dickens,"Happy, happy Christmas, that can win us back to the delusions of our childhood days, recall to the old man the pleasures of his youth, and transport the traveler back to his own fireside and quiet home!","[christmas, happy, childhood]",home
1,Freya Stark,"Christmas... is not an external event at all, but a piece of one's home that one carries in one's heart.","[christmas, heart, event]",home
2,Matsuo Basho,"Every day is a journey, and the journey itself is home.","[travel, journey, day]",home
3,Melody Beattie,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more. It turns denial into acceptance, chaos to order, confusion to clarity. It can turn a meal into a feast, a house into a home, a stranger into a friend.","[life, gratitude, thankful]",home
4,George A. Moore,A man travels the world over in search of what he needs and returns home to find it.,"[travel, man, world]",home
5,Mother Teresa,Love begins by taking care of the closest ones - the ones at home.,"[love, care, taking]",home
6,Kim Kardashian,"If I don't feel confident about my body, I'm not going to sit at home and feel sorry for myself and not do something about it. It's all about taking action and not being lazy. So you do the work, whether it's fitness or whatever. It's about getting up, motivating yourself and just doing it.","[work, fitness, myself]",home
7,Martin Luther,"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.","[marriage, wife, sorry]",home
8,Joel Osteen,"See, when you drive home today, you've got a big windshield on the front of your car. And you've got a little bitty rearview mirror. And the reason the windshield is so large and the rearview mirror is so small is because what's happened in your past is not near as important as what's in your future.","[future, today, car]",home
9,Mother Teresa,"Love begins at home, and it is not how much we do... but how much love we put in that action.","[love, action, begins]",home
10,Darell Hammond,"Growing up in a group home, and with an undiagnosed learning disability to boot, the odds of success were not on my side. But when I joined the high school football team, I learned the value of discipline, focus, persistence, and teamwork - all skills that have proven vital to my career as a C.E.O. and social entrepreneur.","[success, learning, teamwork]",home
11,Tecumseh,"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.","[time, death, fear]",home
12,"Oliver Wendell Holmes, Sr.","Where we love is home - home that our feet may leave, but not our hearts.","[love, love is, feet]",home
13,Confucius,The strength of a nation derives from the integrity of the home.,"[strength, integrity, nation]",home
14,Margaret D. Nadauld,"We are each one on a road going toward home, but we're not trying to get there for Christmas. We're trying to get there for eternity. We want to arrive home safely to our loving Father in Heaven. He wants us to make it safely there, so He has sent a guiding light for us to follow: a Savior, the Lord Jesus Christ, the perfect example.","[christmas, light, father]",home
15,Paul Walker,"I live by 'Go big or go home.' That's with everything. It's like either commit and go for it or don't do it at all. I apply that to everything. I apply that to relationships, I apply that to like sports, I apply that to everything. That's what I live by. That's how I like it.","[sports, live, relationships]",home
16,Billy Graham,Nothing can bring a real sense of security into the home except true love.,"[love, true love, security]",home
17,Stephen Gardiner,"Land is the secure ground of home, the sea is like life, the outside, the unknown.","[life, sea, unknown]",home
18,William E. Gladstone,"Remember the rights of the savage, as we call him. Remember that the happiness of his humble home, remember that the sanctity of life in the hill villages of Afghanistan, among the winter snows, is as inviolable in the eye of Almighty God, as can be your own.","[life, happiness, winter]",home
19,Garry Moore,"Christmas is, of course, the time to be home - in heart as well as body.","[christmas, time, heart]",home
20,Hugh Jackman,"When I come home, my daughter will run to the door and give me a big hug, and everything that's happened that day just melts away.","[dad, daughter, day]",home
21,Drew Barrymore,"There's a tremendous difference between alone and lonely. You could be lonely in a group of people. I like being alone. I like eating by myself. I go home at night and just watch a movie or hang out with my dog. I have to exert myself and really say, oh God, I've got to see my friends 'cause I'm too content being by myself.","[god, alone, myself]",home
22,Dale Carnegie,"If you want to conquer fear, don't sit home and think about it. Go out and get busy.","[motivational, fear, busy]",home
23,William Temple,The most influential of all educational factors is the conversation in a child's home.,"[education, child]",home
24,Joseph Conrad,Going home must be like going to render an account.,"[going home, going, like]",home
25,Lily Tomlin,I like a teacher who gives you something to take home to think about besides homework.,"[teacher, homework, think]",home
