,0,1,2,3
0,Keeley Hawes,"I've nothing against stay-at-home mums, but I love going to work, I love what I do and I wouldn't want to start resenting my home life if I was staying home 365 days a year.","[life, love, work]",home
1,Rafael Nadal,"I have the same bedroom I've always had. It's clean and tidy when I get home, and after two or three days it gets messy and my mother nags me.","[mother, me, clean]",home
2,Rafael Nadal,"I started to travel like this at the age of 15 so for me, it's normal. Some days you get tired and you feel, 'I want to stay at home a little bit more,' but it's only the moment.","[travel, age, moment]",home
3,Maria Bamford,"In L.A., a lot of comics live here, but we don't get to spend that much time together because we've got to drive 45 minutes home, or do another set. So in San Francisco we can hang out, go for dinner - the community aspect of it is really lovely, as well as seeing people's shows that you don't normally get to see a longer version of.","[time, community, together]",home
4,Mark Gatiss,"Europe is so much the home of Horror, with its myths of vampires, werewolves, witchcraft and the undead, yet it's like those myths were exported to Hollywood, leaving Europe the room to develop a new tradition as a way of processing its traumas, particularly the two world wars.","[world, leaving, way]",home
5,Alber Elbaz,"For me, the sketching of dresses was about fantasy and dreams. In my little room at home, I felt that I was somewhere else. In Paris, for instance.","[dreams, me, dresses]",home
6,Genelia D'Souza,"At home, a T-shirt and something loose like harem pants would do. If I'm stepping out, a pair of blue jeans and a white tee are just fine.","[blue, jeans, something]",home
7,Cassie Scerbo,Push-ups are seriously the best way to tone your arms - and they tone your abs at the same time! I like to do them when I'm home watching TV or listening to music.,"[music, best, time]",home
8,Michael Trucco,"I was talking on the phone in my trailer, and I looked in the mirror and I saw the badge clipped to my belt, a gun with a holster, and the suit and the tie with the jacket off, and it was just deja vu. I remember that image so clearly from growing up. My dad would come home for lunch, take off his jacket, have the gun and the badge.","[dad, mirror, lunch]",home
9,Robert Smith,"Whenever I'm home, I haven't got any makeup on. But even in the studio, before I do vocals, I put makeup on.","[makeup, even, before]",home
10,Gisele Bundchen,"Because I had my family, I felt like I could be a bird and fly and experience and do. Because I had roots somewhere, I knew that they would love me no matter what, and I could always go back home and they were going to love me.","[love, family, experience]",home
11,Oriana Fallaci,"I don't hide. I never have. I stay at home because I like to stay at home, and at home I work.","[work, hide, never]",home
12,Kim Cattrall,I feel so much at home onstage and so comfortable in my body.,"[body, feel, comfortable]",home
13,Clint Eastwood,"I hate to see anybody sink. I hate to see anybody lose their dream, lose their home, something like that.","[hate, dream, see]",home
14,Joe Torre,"'Million Dollar Arm' touches on many of the Safe At Home Foundation's core values, such as children, teamwork and family.","[family, children, teamwork]",home
15,Benigno Aquino III,"When my father returned home on the twenty-first of August 1983, he had a speech prepared. Filipinos never got to hear it, because he was murdered right on the tarmac.","[father, speech, hear]",home
16,Tim Walberg,"It's been said that members of Congress love receiving pats on the back weekdays in Washington, D.C., but they would benefit greatly from going home regularly to receive valuable slaps on the back of the head in their districts.","[love, said, going home]",home
17,Rhea Perlman,"My first and most loved real novel was 'Little Women.' I identified with the Jo character even though we were opposites. Jo was very strong-minded and brave, and I was shy and kind of a wuss, everyplace but in my own home. I wanted to be Jo. She was my alter ego. I think reading that book gave me courage.","[courage, women, character]",home
18,Martha Beck,"If I tell a man he needs to quit his soul-sucking job, he has to go home and fight with his wife or fight with his parents and fight with his in-laws and fight with everybody, because men aren't supposed to be happy; they're supposed to do well.","[happy, parents, man]",home
19,Malala Yousafzai,"Outside of my home, I look like a very obedient, very serious, very good kind of girl, but nobody knows what happens inside the house.","[good, girl, look]",home
20,Troian Bellisario,"I was definitely a tomboy. My mother liked to dress me differently, but it was her loss when I came home with mud in my hair every day. I've always been more comfortable with guys; I don't know why.","[mother, day, loss]",home
21,Ted Danson,"I was at our beautiful home in Martha's Vineyard, near Boston, sitting on the porch looking at the ocean when I got a phone called and was asked, 'Would I like to do 'CSI'?' A week later, I'm at a coroner's office in Las Vegas, participating in a quadruple autopsy.","[beautiful, week, ocean]",home
22,Isabella Rossellini,"I always have parmigiano-reggiano, olive oil and pasta at home. When people get sick, they want chicken soup; I want spaghetti with parmesan cheese, olive oil and a bit of lemon zest. It makes me feel better every time.","[time, people, me]",home
23,Orlando Bloom,"If you think of the ice caps as the fridge of our planet, if your fridge at home died, the food you eat would go rotten, and you'd starve.","[food, think, you]",home
24,Peter Dinklage,"Sometimes, when the material is really good, you put expectations on yourself to make it the best possible show. You're not just serving up the regular hash and doing your job and going home.","[best, good, yourself]",home
25,Margaret Thatcher,"It's passionately interesting for me that the things that I learned in a small town, in a very modest home, are just the things that I believe have won the election.","[believe, election, small]",home
