,0,1,2,3
0,Bradley Whitford,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","[motivational, life, love]",hope
1,Helen Keller,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,"[motivational, faith]",hope
2,Desmond Tutu,Hope is being able to see that there is light despite all of the darkness.,"[light, darkness, see]",hope
3,Brad Henry,"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.","[love, teacher, learning]",hope
4,Bernard Williams,There was never a night or a problem that could defeat sunrise or hope.,"[morning, sunrise, night]",hope
5,Neil Gaiman,"I hope that in this year to come, you make mistakes. Because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. You're doing things you've never done before, and more importantly, you're doing something.","[new year's, learning]",hope
6,"Martin Luther King, Jr.","We must accept finite disappointment, but never lose infinite hope.","[disappointment, accept]",hope
7,Abraham Lincoln,"All that I am, or hope to be, I owe to my angel mother.","[mother, i am, angel]",hope
8,Alfred Lord Tennyson,"Hope smiles from the threshold of the year to come, whispering, 'It will be happier.'","[new year's, year, will]",hope
9,Tena Desae,"Stay positive and happy. Work hard and don't give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.","[positive, work, learning]",hope
10,Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"[love, death, knowledge]",hope
11,Samuel Smiles,"Hope is like the sun, which, as we journey toward it, casts the shadow of our burden behind us.","[journey, sun, shadow]",hope
12,Maya Angelou,"Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.","[love, romantic, destination]",hope
13,Albert Einstein,"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning.","[today, tomorrow, learn]",hope
14,Napoleon Bonaparte,A leader is a dealer in hope.,"[leadership, leader, dealer]",hope
15,John Lennon,"Imagine all the people living life in peace. You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us, and the world will be as one.","[life, peace, world]",hope
16,Abraham Lincoln,My dream is of a place and a time where America will once again be seen as the last best hope of earth.,"[best, time, patriotism]",hope
17,Bernie Siegel,"Feelings aroused by the touch of someone's hand, the sound of music, the smell of a flower, a beautiful sunset, a work of art, love, laughter, hope and faith - all work on both the unconscious and the conscious aspects of the self, and they have physiological consequences as well.","[love, music, work]",hope
18,Lewis B. Smedes,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.","[change, future, moving on]",hope
19,Edward de Bono,Creativity is a great motivator because it makes people interested in what they are doing. Creativity gives hope that there can be a worthwhile idea. Creativity gives the possibility of some sort of achievement to everyone. Creativity makes life more fun and more interesting.,"[life, creativity, great]",hope
20,J. Cole,I'm here to spread a message of hope. Follow your heart. Don't follow what you've been told you're supposed to do.,"[heart, you, follow]",hope
21,Robert H. Schuller,"Let your hopes, not your hurts, shape your future.","[future, hurts, hopes]",hope
22,Robert Frank,Black and white are the colors of photography. To me they symbolize the alternatives of hope and despair to which mankind is forever subjected.,"[black and white, black]",hope
23,Michelle Obama,You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.,"[life, courage, history]",hope
24,Marie Curie,"You cannot hope to build a better world without improving the individuals. To that end, each of us must work for his own improvement and, at the same time, share a general responsibility for all humanity, our particular duty being to aid those to whom we think we can be most useful.","[work, time, end]",hope
25,John Piper,"Darkness comes. In the middle of it, the future looks blank. The temptation to quit is huge. Don't. You are in good company... You will argue with yourself that there is no way forward. But with God, nothing is impossible. He has more ropes and ladders and tunnels out of pits than you can conceive. Wait. Pray without ceasing. Hope.","[future, god, good]",hope
