,0,1,2,3
0,Judy Garland,"I've seen the ticket, and I still can't believe it. When I see the money, I hope I don't hit the floor.","[money, believe, see]",hope
1,B. H. Liddell Hart,"Helplessness induces hopelessness, and history attests that loss of hope and not loss of lives is what decides the issue of war.","[war, history, loss]",hope
2,David Attenborough,"I had a huge advantage when I started 50 years ago - my job was secure. I didn't have to promote myself. These days there's far more pressure to make a mark, so the temptation is to make adventure television or personality shows. I hope the more didactic approach won't be lost.","[adventure, myself]",hope
3,Rod Parsley,"The secular world looks to the church and to its chagrin, finds no love, no life, no laughter, no hope and no happiness.","[life, love, happiness]",hope
4,Jonathan Winters,"I find painting a much slower process than comedy, where you can go a mile a minute verbally and hope to God that some of the people out there understand you.","[god, people, painting]",hope
5,Troy Baker,"I'm always nervous! Especially when it comes to a series like 'Disgaea', where you do have such a devoted fan base, the last thing you want to do is disappoint. But I love playing bad guys and just always hope that fans will be forgiving if I miss the mark.","[love, want, you]",hope
6,Trent Reznor,"My music, I hope, takes 100% of your concentration. I know how to do that.","[music, know, concentration]",hope
7,Juliana Hatfield,"For a long time, music was hope. Now it seems music isn't enough to make me happy. It used to be that's all I needed to keep going. Now I need other things to take up the other parts of my life.","[life, music, time]",hope
8,Maya Angelou,"If I'm the people's poet, then I ought to be in people's hands - and, I hope, in their heart.","[heart, people, hands]",hope
9,Ursula K. Le Guin,It is above all by the imagination that we achieve perception and compassion and hope.,"[imagination, compassion]",hope
10,Michelle Dockery,"'Expect nothing and hope for the best' is my mantra. A drama teacher called Joseph Blatchley told me that, and it's the best advice I've had. If you keep an open mind and don't expect too much, then you won't be disappointed.","[best, teacher, mind]",hope
11,Paul Bloom,"Our best hope for the future is not to get people to think of all humanity as family - that's impossible. It lies, instead, in an appreciation of the fact that, even if we don't empathize with distant strangers, their lives have the same value as the lives of those we love.","[love, family, best]",hope
12,Corazon Aquino,"Reconciliation should be accompanied by justice, otherwise it will not last. While we all hope for peace it shouldn't be peace at any cost but peace based on principle, on justice.","[peace, justice]",hope
13,William J. Clinton,"When I think about the world I would like to leave to my daughter and the grandchildren I hope to have, it is a world that moves away from unequal, unstable, unsustainable interdependence to integrated communities - locally, nationally and globally - that share the characteristics of all successful communities.","[daughter, grandchildren]",hope
14,Rigoberta Menchu,"Let there be freedom for the Indians, wherever they may be in the American Continent or elsewhere in the world, because while they are alive, a glow of hope will be alive as well as a true concept of life.","[life, freedom, world]",hope
15,Thomas Merton,"Solitude is not something you must hope for in the future. Rather, it is a deepening of the present, and unless you look for it in the present you will never find it.","[future, solitude, find]",hope
16,Penn Jillette,Behaving morally because of a hope of reward or a fear of punishment is not morality. Morality is not bribery or threats. Religion is bribery and threats. Humans have morality. We don't need religion.,"[fear, religion, morality]",hope
17,Anne Frank,"I simply can't build my hopes on a foundation of confusion, misery and death... I think... peace and tranquillity will return again.","[death, peace, foundation]",hope
18,Aristotle,Youth is easily deceived because it is quick to hope.,"[youth, deceived, because]",hope
19,Friedrich Nietzsche,Hope in reality is the worst of all evils because it prolongs the torments of man.,"[man, reality, worst]",hope
20,Orison Swett Marden,"There is no medicine like hope, no incentive so great, and no tonic so powerful as expectation of something tomorrow.","[great, tomorrow, medicine]",hope
21,Janis Ian,"At the end of the day, all you can hope for is to go on. The older I get, the more I realize that just keeping on keeping on is what life's all about.","[life, end, day]",hope
22,Friedrich Durrenmatt,The world is bad but not without hope. It is only hopeless when you look at it from an ideal viewpoint.,"[world, look, you]",hope
23,John Dryden,"When I consider life, it is all a cheat. Yet fooled with hope, people favor this deceit.","[life, people, fooled]",hope
24,Richard M. DeVos,Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,"[positive, smile]",hope
25,Chloe Sevigny,"The other day I got a text from a boy, but it wasn't hot. I mean, if you're going to text me every day, you haven't seen me for months and you're trying to seduce me, you'd better spice up that text and make it more exciting than 'How was your day? I hope you're having a beautiful one.' Sadly, I haven't been doing a lot of kissing lately.","[beautiful, day, me]",hope
