,0,1,2,3
0,Maya Angelou,"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.","[inspirational, life, passion]",humor
1,Will Rogers,"Everything is funny, as long as it's happening to somebody else.","[funny, long, everything]",humor
2,Allen Klein,"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.","[positive, attitude, color]",humor
3,Nicole Scherzinger,"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.","[love, time, smile]",humor
4,Dr. Seuss,"From there to here, and here to there, funny things are everywhere.","[funny, things, here]",humor
5,Langston Hughes,"Like a welcome summer rain, humor may suddenly cleanse and cool the earth, the air and you.","[rain, cool, welcome]",humor
6,Milton Berle,Laughter is an instant vacation.,"[laughter, vacation, instant]",humor
7,Madonna Ciccone,"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.","[life, love, family]",humor
8,J. Tillman,"My humor is my creativity, and my skepticism is a gift.","[creativity, gift, skepticism]",humor
9,Rashida Jones,"Smiling is definitely one of the best beauty remedies. If you have a good sense of humor and a good approach to life, that's beautiful.","[life, best, smile]",humor
10,Ellen DeGeneres,"Most comedy is based on getting a laugh at somebody else's expense. And I find that that's just a form of bullying in a major way. So I want to be an example that you can be funny and be kind, and make people laugh without hurting somebody else's feelings.","[funny, be kind, bullying]",humor
11,Mahatma Gandhi,"If I had no sense of humor, I would long ago have committed suicide.","[suicide, sense of humor]",humor
12,Mark Twain,Humor is mankind's greatest blessing.,"[greatest, blessing, mankind]",humor
13,Audrey Hepburn,"I love people who make me laugh. I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.","[love, people, me]",humor
14,Elizabeth Gillies,"A strong sense of humor, a really awesome personality, and maturity is also really important in a boyfriend. I tend to only be attracted to older guys for that reason. I just love guys who have a really strong sense of who they are.","[love, strong, personality]",humor
15,Steven Wright,Everywhere is within walking distance if you have the time.,"[time, walking, you]",humor
16,Peter Ustinov,Comedy is simply a funny way of being serious.,"[funny, way, serious]",humor
17,Sam Walton,Celebrate your successes. Find some humor in your failures.,"[celebrate, find, failures]",humor
18,Erma Bombeck,"There is a thin line that separates laughter and pain, comedy and tragedy, humor and hurt.","[laughter, pain, tragedy]",humor
19,Paul Simon,"If you can get humor and seriousness at the same time, you've created a special little thing, and that's what I'm looking for, because if you get pompous, you lose everything.","[time, looking, special]",humor
20,Rick Riordan,"I think kids want the same thing from a book that adults want - a fast-paced story, characters worth caring about, humor, surprises, and mystery. A good book always keeps you asking questions, and makes you keep turning pages so you can find out the answers.","[good, caring, book]",humor
21,Charlie Chaplin,A day without laughter is a day wasted.,"[laughter, day, without]",humor
22,Stan Laurel,Humor is the truth; wit is an exaggeration of the truth.,"[truth, wit, exaggeration]",humor
23,Paul McCartney,"And I loved Fats Waller. I love his instrumental abilities, his vocal abilities and his sense of humor.","[love, sense of humor, loved]",humor
24,Kate Walsh,"I don't need someone with a hot body. He can be fat or overweight and have a belly. It's very much about style and substance and humor, interest, curiosity and really being smart.","[smart, curiosity, style]",humor
25,Groucho Marx,Humor is reason gone mad.,"[reason, mad, gone]",humor
