,0,1,2,3
0,Stephan Pastis,"Brits have a better sense of humor in most ways. It's darker, more cutting.","[sense of humor, better, ways]",humor
1,Stephan Pastis,"Thomas, my 15-year-old, is effectively my editor, I've always trusted his voice, more than anybody, on the strip for years. He has one of those ears that's just tuned to the rhythm of humor, so if he says something's not funny, my stomach just hurts because I know he's right, and it's already been drawn.","[funny, voice, know]",humor
2,Scott Aukerman,I came into the 'Comedy Bang! Bang!' TV show with a level of confidence that I don't think I would've had if I hadn't been doing the podcast for three years already. I certainly had to figure out in those three years the sense of humor I wanted to do and the way to talk to celebrities without being incredibly intimidated by them.,"[confidence, sense of humor]",humor
3,Stephen Graham Jones,"The way humor's usually used in horror, it's as a pressure-release valve; without it, the drama would escalate out of all control almost immediately.","[control, way, drama]",humor
4,Ian MacKaye,"I think sometimes my humor is extremely dry, and a lot of times I would say things that I thought were very funny but... I have a reputation of - people think of me as a very fundamentalist, humorless fellow.","[funny, people, thought]",humor
5,Walter Isaacson,"I visited Jobs for the last time in his Palo Alto, Calif., home. He had moved to a downstairs bedroom because he was too weak to go up and down stairs. He was curled up in some pain, but his mind was still sharp and his humor vibrant.","[time, home, mind]",humor
6,Anne Morrow Lindbergh,"Don't wish me happiness - I don't expect to be happy it's gotten beyond that, somehow. Wish me courage and strength and a sense of humor - I will need them all.","[happiness, strength, courage]",humor
7,Robert Orben,"In prehistoric times, mankind often had only two choices in crisis situations: fight or flee. In modern times, humor offers us a third alternative; fight, flee - or laugh.","[choices, fight, laugh]",humor
8,Robert Orben,"I remember when humor was gentle pokes. I used to call it 'arm around the shoulder' humor. Now they go for the jugular and they take no prisoners. It's mean, mean stuff.","[remember, mean, shoulder]",humor
9,Robert Orben,"Humor starts like a wildfire, but then continues on, smoldering, smoldering for years.","[wildfire, like, years]",humor
10,Robert Orben,President Ford used humor a great deal.,"[great, president, used]",humor
11,Garry Trudeau,"Well, it's a humor strip, so my first responsibility has always been to entertain the reader... But if, in addition, I can help move readers to thought and judgment about issues that concern me, so much the better.","[responsibility, help]",humor
12,Garry Trudeau,"Humor can inform and break down stigma, which is a huge issue in the military.","[down, military, break]",humor
13,Allen Klein,"You may not be able to change a situation, but with humor you can change your attitude about it.","[change, attitude, situation]",humor
14,Allen Klein,"A little perspective, like a little humor, goes a long way.","[perspective, way, long]",humor
15,Allen Klein,Humor does not diminish the pain - it makes the space around it get bigger.,"[pain, space, bigger]",humor
16,Allen Klein,Advertisers also know that humor can help bond us to their product.,"[help, know, bond]",humor
17,Allen Klein,When we are dealing with death we are constantly being dragged down by the event: Humor diverts our attention and lifts our sagging spirits.,"[death, attention, down]",humor
18,Allen Klein,"Whether planned or not, humor takes our mind off of our troubles.","[mind, planned, troubles]",humor
19,Allen Klein,Any attempts at humor immediately after September 11th were deemed tasteless.,"[september, after, were]",humor
20,Allen Klein,"Since the goal of my programs is to show audiences how humor can both help them heal as well as deal with not-so-funny stuff, I decided to discuss the events of the previous week, the pain all of us were feeling, and how humor and some laughter might be beneficial.","[laughter, goal, week]",humor
21,Allen Klein,"In looking for humor, keep in mind this guideline: Sometimes it takes a little time to see the humor in your upsets; you may not find something to laugh about immediately.","[time, mind, looking]",humor
22,Allen Klein,"Sometimes it takes ten seconds to see some humor in your dilemmas, sometimes ten years.","[see, sometimes, years]",humor
23,Allen Klein,"When you do find humor in trying times, one of the first and most important changes you experience is that you see your perplexing problems in a new way - you suddenly have a new perspective on them.","[experience, perspective]",humor
24,Allen Klein,"Throughout history, great leaders have known the power of humor.","[history, power, great]",humor
25,Allen Klein,Humor can be one of our best survival tools.,"[best, survival, tools]",humor
