,0,1,2,3
0,Brad Henry,"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.","[love, teacher, hope]",imagination
1,Plato,"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.","[life, music, mind]",imagination
2,Albert Einstein,The true sign of intelligence is not knowledge but imagination.,"[knowledge, intelligence]",imagination
3,Henry David Thoreau,This world is but a canvas to our imagination.,"[art, world, canvas]",imagination
4,Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"[love, hope, death]",imagination
5,Albert Einstein,Logic will get you from A to B. Imagination will take you everywhere.,"[logic, you, will]",imagination
6,Gary Zukav,"The winter solstice has always been special to me as a barren darkness that gives birth to a verdant future beyond imagination, a time of pain and withdrawal that produces something joyfully inconceivable, like a monarch butterfly masterfully extracting itself from the confines of its cocoon, bursting forth into unexpected glory.","[winter, time, future]",imagination
7,Mark Twain,You can't depend on your eyes when your imagination is out of focus.,"[eyes, focus, you]",imagination
8,John Muir,The power of imagination makes us infinite.,"[inspirational, power]",imagination
9,Harry S Truman,"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.","[courage, fear, determination]",imagination
10,Edgar Allan Poe,They who dream by day are cognizant of many things which escape those who dream only by night.,"[day, night, dream]",imagination
11,Michelangelo,I saw the angel in the marble and carved until I set him free.,"[angel, free, him]",imagination
12,Dr. Seuss,I like nonsense; it wakes up the brain cells.,"[brain, nonsense, cells]",imagination
13,Walt Disney,Disneyland will never be completed. It will continue to grow as long as there is imagination left in the world.,"[world, grow, long]",imagination
14,Deepak Chopra,"Many scientists think that philosophy has no place, so for me it's a sad time because the role of reflection, contemplation, meditation, self inquiry, insight, intuition, imagination, creativity, free will, is in a way not given any importance, which is the domain of philosophers.","[time, sad, reflection]",imagination
15,Carl Sagan,Imagination will often carry us to worlds that never were. But without it we go nowhere.,"[will, carry, without]",imagination
16,John Lennon,Reality leaves a lot to the imagination.,"[reality, lot, leaves]",imagination
17,Jean-Jacques Rousseau,The world of reality has its limits; the world of imagination is boundless.,"[world, reality, limits]",imagination
18,Walt Disney,I only hope that we don't lose sight of one thing - that it was all started by a mouse.,"[hope, sight, mouse]",imagination
19,Michelangelo,Every block of stone has a statue inside it and it is the task of the sculptor to discover it.,"[stone, inside, task]",imagination
20,Robin Williams,You're only given a little spark of madness. You mustn't lose it.,"[madness, spark, you]",imagination
21,Muhammad Ali,The man who has no imagination has no wings.,"[man, wings, who]",imagination
22,Edgar Allan Poe,"All religion, my friend, is simply evolved out of fraud, fear, greed, imagination, and poetry.","[fear, poetry, religion]",imagination
23,Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!","[think, try, you]",imagination
24,Stephen Covey,"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.","[change, freedom, power]",imagination
25,George Bernard Shaw,"Imagination is the beginning of creation. You imagine what you desire, you will what you imagine and at last you create what you will.","[beginning, desire, creation]",imagination
