,0,1,2,3
0,Albert Einstein,"To raise new questions, new possibilities, to regard old problems from a new angle, requires creative imagination and marks real advance in science.","[science, creative, problems]",imagination
1,William Blake,"The tree which moves some to tears of joy is in the eyes of others only a green thing that stands in the way. Some see nature all ridicule and deformity... and some scarce see nature at all. But to the eyes of the man of imagination, nature is imagination itself.","[nature, joy, eyes]",imagination
2,Yann Martel,Reality is how we interpret it. Imagination and volition play a part in that interpretation. Which means that all reality is to some extent a fiction.,"[reality, fiction, play]",imagination
3,Walt Disney,"When you're curious, you find lots of interesting things to do.","[find, you, interesting]",imagination
4,C. S. Lewis,Reason is the natural order of truth; but imagination is the organ of meaning.,"[truth, meaning, reason]",imagination
5,Albert Einstein,Imagination is everything. It is the preview of life's coming attractions.,"[life, everything, coming]",imagination
6,Robert Collier,"Visualize this thing that you want, see it, feel it, believe in it. Make your mental blue print, and begin to build.","[believe, blue, want]",imagination
7,Samuel Ullman,"Youth is not a time of life; it is a state of mind; it is not a matter of rosy cheeks, red lips and supple knees; it is a matter of the will, quality of the imagination, a vigor of the emotions; it is the freshness of the deep springs of life.","[life, time, deep]",imagination
8,Alan Watts,"The reason we have poverty is that we have no imagination. There are a great many people accumulating what they think is vast wealth, but it's only money... they don't know how to enjoy it, because they have no imagination.","[money, great, poverty]",imagination
9,Derek Walcott,The English language is nobody's special property. It is the property of the imagination: it is the property of the language itself.,"[language, english language]",imagination
10,Albert Einstein,I cannot imagine a God who rewards and punishes the objects of his creation and is but a reflection of human frailty.,"[god, reflection, creation]",imagination
11,Charlie Chaplin,The saddest thing I can imagine is to get used to luxury.,"[luxury, imagine, i can]",imagination
12,George Orwell,"Each generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after it.","[generation, intelligent]",imagination
13,Pablo Picasso,Everything you can imagine is real.,"[you, real, imagine]",imagination
14,Orison Swett Marden,All men who have achieved great things have been great dreamers.,"[great, men, great things]",imagination
15,Ben Okri,"When you can imagine you begin to create and when you begin to create you realize that you can create a world that you prefer to live in, rather than a world that you're suffering in.","[suffering, world, live]",imagination
16,B. R. Ambedkar,Men are mortal. So are ideas. An idea needs propagation as much as a plant needs watering. Otherwise both will wither and die.,"[men, ideas, die]",imagination
17,David Bailey,It takes a lot of imagination to be a good photographer. You need less imagination to be a painter because you can invent things. But in photography everything is so ordinary; it takes a lot of looking before you learn to see the extraordinary.,"[good, photography, looking]",imagination
18,Jeffrey Katzenberg,"What I love most about animation is, it's a team sport, and everything we do is about pure imagination.","[love, team, animation]",imagination
19,Charles de Gaulle,"You may be sure that the Americans will commit all the stupidities they can think of, plus some that are beyond imagination.","[think, you, may]",imagination
20,Ralph Waldo Emerson,Science does not know its debt to imagination.,"[science, know, debt]",imagination
21,Eddie Rickenbacker,"The four cornerstones of character on which the structure of this nation was built are: Initiative, Imagination, Individuality and Independence.","[character, independence]",imagination
22,Marcello Mastroianni,"Woman is the sun, an extraordinary creature, one that makes the imagination gallop.","[sun, woman, extraordinary]",imagination
23,Whoopi Goldberg,I used my imagination to make the grass whatever color I wanted it to be.,"[color, whatever, grass]",imagination
24,Robinson Jeffers,"Imagination, the traitor of the mind, has taken my solitude and slain it.","[mind, solitude, traitor]",imagination
25,Victor Hugo,"Intelligence is the wife, imagination is the mistress, memory is the servant.","[intelligence, memory, wife]",imagination
