,0,1,2,3
0,"Martin Luther King, Jr.","Violence as a way of achieving racial justice is both impractical and immoral. I am not unmindful of the fact that violence often brings about momentary results. Nations have frequently won their independence in battle. But in spite of temporary victories, violence never brings permanent peace.","[peace, justice, achieving]",independence
1,B. R. Ambedkar,"Unlike a drop of water which loses its identity when it joins the ocean, man does not lose his being in the society in which he lives. Man's life is independent. He is born not for the development of the society alone, but for the development of his self.","[life, alone, water]",independence
2,Malcolm Forbes,Diversity: the art of thinking independently together.,"[art, diversity, together]",independence
3,John Hancock,"The important consequences to the American States from this Declaration of Independence, considered as the ground and foundation of a future government, naturally suggest the propriety of proclaiming it in such a manner as that the people may be universally informed of it.","[future, government]",independence
4,Stephen Covey,"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.","[change, freedom, power]",independence
5,Denis Waitley,The greatest gifts you can give your children are the roots of responsibility and the wings of independence.,"[birthday, children, greatest]",independence
6,Charlotte Bronte,I am no bird; and no net ensnares me; I am a free human being with an independent will.,"[bird, i am, me]",independence
7,William J. Clinton,"Work is about more than making a living, as vital as that is. It's fundamental to human dignity, to our sense of self-worth as useful, independent, free people.","[work, people, living]",independence
8,Eddie Rickenbacker,"The four cornerstones of character on which the structure of this nation was built are: Initiative, Imagination, Individuality and Independence.","[character, imagination]",independence
9,Louis D. Brandeis,Those who won our independence... valued liberty as an end and as a means. They believed liberty to be the secret of happiness and courage to be the secret of liberty.,"[happiness, courage, end]",independence
10,Ludwig Wittgenstein,The world is independent of my will.,"[world, will, independent]",independence
11,Marcus Tullius Cicero,What then is freedom? The power to live as one wishes.,"[freedom, power, live]",independence
12,Stephen Breyer,Independence doesn't mean you decide the way you want.,"[want, way, you]",independence
13,Cory Booker,"In America we have a Declaration of Independence, but our history, our advancements, our global strength all point to an American declaration of interdependence.","[strength, history, america]",independence
14,Howard Zinn,"In the United States today, the Declaration of Independence hangs on schoolroom walls, but foreign policy follows Machiavelli.","[today, foreign policy, walls]",independence
15,Stephen Hunter,"The director of 'Independence Day,' 'Godzilla' and 'The Patriot' has certain attributes, all of which are given full vent in 'The Day After Tomorrow.' He's crude, stupid, slick, cornball, predictable, laughable, relentless, trivial and, the sum of all these, ridiculous. He's never made a movie you could believe and he still hasn't.","[day, believe, stupid]",independence
16,Mercy Otis Warren,"A declaration of the independence of America, and the sovereignty of the United States was drawn by the ingenious and philosophic pen of Thomas Jefferson, Esquire, a delegate from the state of Virginia.","[america, pen, sovereignty]",independence
17,Caroline Kennedy,"The bedrock of our democracy is the rule of law and that means we have to have an independent judiciary, judges who can make decisions independent of the political winds that are blowing.","[democracy, decisions, law]",independence
18,Bob Ney,"Louis Braille created the code of raised dots for reading and writing that bears his name and brings literacy, independence, and productivity to the blind.","[writing, reading, blind]",independence
19,Abraham Lincoln,"Repeal the Missouri Compromise - repeal all compromises - repeal the Declaration of Independence - repeal all past history, you still cannot repeal human nature. It will be the abundance of man's heart that slavery extension is wrong; and out of the abundance of his heart, his mouth will continue to speak.","[nature, history, heart]",independence
20,Candice Bergen,"Men say they love independence in a woman, but they don't waste a second demolishing it brick by brick.","[love, woman, men]",independence
21,Walt Whitman,"The beauty of independence, departure, actions that rely on themselves.","[beauty, actions, themselves]",independence
22,Muhammad Ali Jinnah,"Pakistan not only means freedom and independence but the Muslim Ideology which has to be preserved, which has come to us as a precious gift and treasure and which, we hope other will share with us.","[hope, freedom, gift]",independence
23,Ferdinand Marcos,"Filipinos are not worse than any other colonized people except that our colonization was a little longer, and the independence movement was always dictated in political terms, never in social ones. We borrowed terms, but we didn't understand them.","[political, people]",independence
24,Calvin Coolidge,"There is no dignity quite so impressive, and no one independence quite so important, as living within your means.","[living, important, dignity]",independence
25,Marianne Moore,"Impatience is the mark of independence, not of bondage.","[mark, impatience, bondage]",independence
