,0,1,2,3
0,Kenneth Grahame,"Independence is all very well, but we animals never allow our friends to make fools of themselves beyond a certain limit; and that limit you've reached.","[friends, animals, limit]",independence
1,Ingrid Bergman,"I have grown up alone. I've taken care of myself. I worked, earned money and was independent at 18.","[money, alone, myself]",independence
2,George Woodcock,I was allowed to wander where I could. Here is a case in which you search for your independence and allow something creative to come out of that.,"[creative, search, you]",independence
3,Eric Massa,"Look, half the men who signed the Declaration of Independence were either in debt or bankrupt. The remaining half, most of them lost all their possessions. The only reason Monticello didn't get burned to the ground was that the British patrol missed the road.","[road, men, lost]",independence
4,Ted Ligety,I think it is important to let your kids have independence and ownership. Let your kids do what they have a passion for.,"[passion, important, think]",independence
5,Kevin Bleyer,"To research my book 'Me the People' - in which I have rewritten the entire Constitution of the United States - I flew to Greece, the birthplace of democracy. I bused to Philly, the home of independence. I even, if you can believe it, read the Constitution of the United States.","[home, democracy, book]",independence
6,Thomas Brodie-Sangster,"I like living at home: I've been making films since I was 12, when I played Sam in 'Love Actually', and if you spend as much time away on set as I have done, you get your independence young, so it's nice to come back home.","[love, time, home]",independence
7,Milos Zeman,The only holiday of independence which I can never leave out is the celebration of the independence of the Jewish State of Israel.,"[holiday, celebration, leave]",independence
8,Richard Lugar,"Ethanol is a premier, high performance fuel. It has tremendous environmental benefits and is a key component to energy independence for our country.","[environmental, performance]",independence
9,Monique Roffey,'The White Woman on the Green Bicycle' is a love story mapped onto an unfolding political tragedy: that of the failure of the Independence era in Trinidad.,"[love, failure, woman]",independence
10,Beverly Sills,A primary function of art and thought is to liberate the individual from the tyranny of his culture in the environmental sense and to permit him to stand beyond it in an autonomy of perception and judgment.,"[art, environmental, culture]",independence
11,John Avlon,"First, I think more Americans need to declare their independence from partisan politics on both sides. The more that Americans declare their independence, the more the parties will have to compete for their votes using reason rather than the hateful appeals.","[politics, think, reason]",independence
12,Joe Mansueto,"To me, money is independence. It gives you freedom to do what you really want to do. It allows you to not be dependent on anyone or anything, and so you can be yourself and follow your passion.","[money, freedom, passion]",independence
13,Gavyn Davies,"As long as the appointment process is transparent and there is a broad mix of political views among the governors of the BBC, I think the public can feel confident that impartiality and independence are just as important to me as they have been to previous incumbents.","[political, me, important]",independence
14,"Douglas Fairbanks, Jr.","In my day, the only people who achieved real independence were my father, Mary Pickford and Charles Chaplin, who, with D. W. Griffith, formed United Artists. Other than that, everybody belonged to the big studios. They had no say in their own careers.","[father, day, people]",independence
15,Valerie Trierweiler,I built my entire life on the idea of independence.,"[life, idea, built]",independence
16,Valerie Trierweiler,My feeling is that maintaining financial independence is also a healthy way to keep my feet on the ground.,"[financial, healthy, feet]",independence
17,Mike Crapo,"In January 1776, Thomas Paine issued 'Common Sense,' advocating independence from Great Britain.","[great, january, common sense]",independence
18,Liz Williams,"There are a few people who are, let's say, personality-challenged, who would like to set up a cult, but in large part they fail due to the innate stroppiness and independence of their fellow pagans.","[people, fail, say]",independence
19,James W. Black,"The Wellcome Foundation offered me the chance to establish a small academic research unit, modestly funded, but with total independence. The real opportunity, however, came from King's College, London.","[college, opportunity]",independence
20,Nicolas Maduro,Fidel Castro represents the dignity of the South American continent against empires. He's a living legend: an icon of independence and freedom across the continent.,"[freedom, american, living]",independence
21,Blanka Vlasic,"I believe the reason for my early independence is sport, through which I learnt at an early stage to take care of myself and be disciplined.","[myself, believe, care]",independence
22,Jakaya Kikwete,"At independence, Tanzania had 350,000 elephants... in 1987, there were only 55,000 elephants left.","[left, only, elephants]",independence
23,Rowan Ricardo Phillips,"When we celebrate American independence, we are celebrating the best sense of an idea, a process in process.","[best, celebrate, american]",independence
24,Ian Smith,Declaring independence was the most traumatic decision I had to live up to. Because I didn't want to do it.,"[decision, live, want]",independence
25,Samuel Dash,I've always wanted to be my own person and stand by the things I believe in and I thought I might lose that independence if I ran for political office.,"[believe, political, thought]",independence
