,0,1,2,3
0,"H. Jackson Brown, Jr.",The best preparation for tomorrow is doing your best today.,"[best, today, preparation]",inspirational
1,Joseph Campbell,"We must let go of the life we have planned, so as to accept the one that is waiting for us.","[life, waiting, accept]",inspirational
2,Helen Keller,The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,"[best, beautiful, heart]",inspirational
3,Swami Sivananda,"Put your heart, mind, and soul into even your smallest acts. This is the secret of success.","[success, heart, mind]",inspirational
4,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.","[life, love, work]",inspirational
5,Jim Rohn,Happiness is not something you postpone for the future; it is something you design for the present.,"[happiness, future, design]",inspirational
6,Kevyn Aucoin,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.","[life, happiness, morning]",inspirational
7,Jimmy Dean,"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.","[change, destination, wind]",inspirational
8,Walt Whitman,Keep your face always toward the sunshine - and shadows will fall behind you.,"[sunshine, face, shadows]",inspirational
9,Audrey Hepburn,"Nothing is impossible, the word itself says 'I'm possible'!",[nothing is impossible],inspirational
10,Maya Angelou,"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.","[life, passion, humor]",inspirational
11,Norman Vincent Peale,Change your thoughts and you change your world.,"[change, thoughts, world]",inspirational
12,Buddha,"What we think, we become.","[think, become]",inspirational
13,Buddha,"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.","[best, relationship, health]",inspirational
14,John F. Kennedy,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.","[gratitude, appreciation]",inspirational
15,Joseph Campbell,A hero is someone who has given his or her life to something bigger than oneself.,"[life, hero, someone]",inspirational
16,Rabindranath Tagore,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.","[life, sunset, rain]",inspirational
17,Theodore Roosevelt,Believe you can and you're halfway there.,"[believe, you, halfway]",inspirational
18,Aristotle Onassis,It is during our darkest moments that we must focus to see the light.,"[light, focus, moments]",inspirational
19,Malala Yousafzai,"Let us remember: One book, one pen, one child, and one teacher can change the world.","[change, teacher]",inspirational
20,Vince Lombardi,"Perfection is not attainable, but if we chase perfection we can catch excellence.","[excellence, perfection]",inspirational
21,William Shakespeare,"We know what we are, but know not what we may be.","[know, may]",inspirational
22,Milton Berle,"If opportunity doesn't knock, build a door.","[opportunity, door, build]",inspirational
23,Maya Angelou,Try to be a rainbow in someone's cloud.,"[rainbow, someone, cloud]",inspirational
24,Aesop,"No act of kindness, no matter how small, is ever wasted.","[kindness, small, matter]",inspirational
25,A. P. J. Abdul Kalam,Let us sacrifice our today so that our children can have a better tomorrow.,"[children, today, sacrifice]",inspirational
