,0,1,2,3
0,George Lucas,"'Star Wars' is fun, its exciting, its inspirational, and people respond to that. It's what they want.","[fun, people, want]",inspirational
1,Mindy Kaling,Almost every college playwright or sketch or improv comedian was sort of aware of Christopher Durang - even kids in high school. His short plays were so accessible to younger people and I think that was inspirational to me.,"[college, school, people]",inspirational
2,Arlen Specter,It's inspirational to see someone who is dying smile.,"[smile, someone, see]",inspirational
3,Neill Blomkamp,A lot of America is kind of done. People have been making films about it for 100 years. Everything to me feels used up. But Jo-Burg feels unbelievably inspirational to me.,"[america, people, me]",inspirational
4,Bruce Dickinson,Teachers need to be more inspirational. But it's also up to engineering to make itself more interesting.,"[engineering, interesting]",inspirational
5,Marianne Williamson,"Just as you wouldn't leave the house without taking a shower, you shouldn't start the day without at least 10 minutes of sacred practice: prayer, meditation, inspirational reading.","[prayer, day, reading]",inspirational
6,Ban Ki-moon,"Like the United Nations, there is something inspirational about New York as a great melting pot of different cultures and traditions. And if this is the city that never sleeps, the United Nations works tirelessly, around the clock around the world.","[great, world, city]",inspirational
7,Soledad O'Brien,"There are thousands of inspirational stories waiting to be told about young women who yearn for a great education. They are stories of struggle and stories of success, and they will inspire others to take action and work to change lives.","[success, education, change]",inspirational
8,Jamie Johnson,"Personally, I can't see the appeal in trekking down to D.C. for a networking extravaganza, even if it is built around a special moment in American history. While I find the election of Barack Obama inspirational, I don't have a desire to memorialize it with overly effusive celebration.","[history, election, american]",inspirational
9,Fred Hammond,"We sing inspirational songs, songs of praise and worship, and about how good and how big God is. We are magnifying the Lord.","[god, good, praise]",inspirational
10,Lydia Lunch,"If someone says 'grunge' or 'punk,' you know what the sound is, but if you say 'No Wave,' it's kind of mysterious. That was the most interesting part and should have been the most inspirational thing about it... here's this collective sonic insanity, and none of it sounds anything alike.","[know, someone, punk]",inspirational
11,Henry Van Dyke,There is a loftier ambition than merely to stand high in the world. It is to stoop down and lift mankind a little higher.,"[ambition, world, stand]",inspirational
12,Khalil Gibran,"Yesterday we obeyed kings and bent our necks before emperors. But today we kneel only to truth, follow only beauty, and obey only love.","[love, beauty, truth]",inspirational
13,Robert Louis Stevenson,"Every heart that has beat strongly and cheerfully has left a hopeful impulse behind it in the world, and bettered the tradition of mankind.","[heart, world, tradition]",inspirational
14,Thomas Paine,We have it in our power to begin the world over again.,"[power, world, again]",inspirational
15,William Ellery Channing,Faith is love taking the form of aspiration.,"[love, faith, aspiration]",inspirational
16,Max Lucado,You change your life by changing your heart.,"[life, change, heart]",inspirational
17,Christa McAuliffe,Reach for the stars.,"[stars, reach for the stars]",inspirational
18,Sylvester Stallone,I believe there's an inner power that makes winners or losers. And the winners are the ones who really listen to the truth of their hearts.,"[truth, power, believe]",inspirational
19,Michelangelo,"Lord, grant that I may always desire more than I can accomplish.","[desire, accomplish, may]",inspirational
20,Guru Nanak,From its brilliancy everything is illuminated.,"[everything, illuminated]",inspirational
21,Ken Hensley,"I know why I am here and my only real focused goal is to live each day to the fullest and to try and honor God and be an encouragement to others. What the future holds is firmly in God's hands, and I am very happy about that!","[future, god, happy]",inspirational
22,Marlee Matlin,The handicap of deafness is not in the ear; it is in the mind.,"[mind, ear, deafness]",inspirational
23,Malala Yousafzai,"Let us make our future now, and let us make our dreams tomorrow's reality.","[future, dreams, tomorrow]",inspirational
24,Peter Diamandis,Space is an inspirational concept that allows you to dream big.,"[space, dream, you]",inspirational
25,Chris Brown,I would say I'm an inspirational guidelines book. You can take my life story or scenarios or songs and relate to them and apply them to your everyday life.,"[life, book, my life]",inspirational
