,0,1,2,3
0,Albert Einstein,Joy in looking and comprehending is nature's most beautiful gift.,"[nature, joy, beautiful]",intelligence
1,Albert Einstein,The true sign of intelligence is not knowledge but imagination.,"[knowledge, imagination, true]",intelligence
2,"Martin Luther King, Jr.",The function of education is to teach one to think intensively and to think critically. Intelligence plus character - that is the goal of true education.,"[education, character, goal]",intelligence
3,Albert Einstein,The difference between stupidity and genius is that genius has its limits.,"[stupidity, limits, genius]",intelligence
4,Winston Churchill,Continuous effort - not strength or intelligence - is the key to unlocking our potential.,"[strength, effort, potential]",intelligence
5,Henry Ford,"Failure is simply the opportunity to begin again, this time more intelligently.","[time, failure, opportunity]",intelligence
6,Michael Jordan,"Talent wins games, but teamwork and intelligence wins championships.","[teamwork, talent, games]",intelligence
7,Ernest Hemingway,An intelligent man is sometimes forced to be drunk to spend time with his fools.,"[time, man, drunk]",intelligence
8,Salvador Dali,Intelligence without ambition is a bird without wings.,"[bird, ambition, wings]",intelligence
9,Roy H. Williams,"A smart man makes a mistake, learns from it, and never makes that mistake again. But a wise man finds a smart man and learns from him how to avoid the mistake altogether.","[wise, man, smart]",intelligence
10,Socrates,"I know that I am intelligent, because I know that I know nothing.","[i am, intelligent, know]",intelligence
11,Stephen Hawking,Intelligence is the ability to adapt to change.,"[change, adapt, ability]",intelligence
12,George S. Patton,"If everyone is thinking alike, then somebody isn't thinking.","[thinking, everyone, alike]",intelligence
13,Aristotle,There is no great genius without some touch of madness.,"[great, madness, genius]",intelligence
14,Oscar Wilde,To expect the unexpected shows a thoroughly modern intellect.,"[unexpected, expect]",intelligence
15,Franklin D. Roosevelt,"I'm not the smartest fellow in the world, but I can sure pick smart colleagues.","[smart, world, colleagues]",intelligence
16,Voltaire,Common sense is not so common.,"[common sense, common, sense]",intelligence
17,Albert Camus,The modern mind is in complete disarray. Knowledge has stretched itself to the point where neither the world nor our intelligence can find any foot-hold. It is a fact that we are suffering from nihilism.,"[knowledge, mind, suffering]",intelligence
18,Albert Camus,An intellectual is someone whose mind watches itself.,"[mind, intellectual, someone]",intelligence
19,Stephen Hawking,"I believe alien life is quite common in the universe, although intelligent life is less so. Some say it has yet to appear on planet Earth.","[life, believe, universe]",intelligence
20,Edgar Allan Poe,Science has not yet taught us if madness is or is not the sublimity of the intelligence.,"[science, madness, us]",intelligence
21,Arthur Schopenhauer,Talent hits a target no one else can hit; Genius hits a target no one else can see.,"[talent, genius, see]",intelligence
22,Mireille Guiliano,"Intelligence, knowledge or experience are important and might get you a job, but strong communication skills are what will get you promoted.","[knowledge, communication]",intelligence
23,Malcolm X,I don't even call it violence when it's in self defense; I call it intelligence.,"[violence, self, defense]",intelligence
24,Henry Ford,"Thinking is the hardest work there is, which is probably the reason why so few engage in it.","[work, thinking, reason]",intelligence
25,A. A. Milne,"Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.","[believe, me, remember]",intelligence
