,0,1,2,3
0,Saxby Chambliss,"The security of the United States, which is so dependent on having accurate and timely intelligence, is not a Republican or a Democratic issue.","[security, republican, united]",intelligence
1,Andrew Eldritch,People have taught me not to look for intelligence in rockmusic.,"[people, me, look]",intelligence
2,Michael Hayden,"When asked if I miss being in government, I usually try to lighten the moment by responding that I awake most days, read the paper, and then observe that, 'It's yet another great day to be the former director of the Central Intelligence Agency.'","[great, day, government]",intelligence
3,Michael Hayden,"An intelligence analyst may attribute an attack to al Qaeda, whereas a policy maker could opt for the more general 'extremist.'","[attack, may, policy]",intelligence
4,Michael Hayden,"There's this movie, 'Zero Dark Thirty' about the hunt for Osama bin Laden. Some have complained that too many 'secrets' were dished out by the intelligence and special operations communities to director Kathryn Bigelow, screenwriter Mark Boal and their crew, part of a broader pattern of using intelligence for political effect.","[political, dark, secrets]",intelligence
5,Michael Hayden,"When I was at the CIA I asked my civilian advisory board to tackle some tough questions. Among the toughest: In a political culture that every day demands more transparency and more public accountability from every aspect of national life, could American intelligence continue to survive and succeed? That jury is still out.","[life, culture, day]",intelligence
6,Alan Lightman,"I consider myself a spiritual atheist. I certainly believe there are forces bigger than ourselves, and that we should be searching, individually, for meaning in our lives. But I don't believe there's a supreme being, an intelligence that created everything.","[myself, spiritual, believe]",intelligence
7,Ben Schwartz,"A lot of the time, you're supposed to play to the top of your intelligence, as truthful as possible. But when you're on stage making people laugh, you're still acting. I think it helped me a bunch to go on stage two or three times a week.","[time, week, people]",intelligence
8,Michael Hayden,"There is no part of the executive branch that more exists on the outer edge of executive prerogative than the American intelligence community - the intelligence community, CIA, covert action. My literal responsibility as director of CIA with regard to covert action was to inform the Congress - not to seek their approval, to inform.","[community, responsibility]",intelligence
9,John Mica,"We're not trying to harass the average American. We need to convert this now to a risk-based system, with TSA concentrating and focusing on intelligence, on security, setting up again the parameters of which we do this.","[security, american, trying]",intelligence
10,Eriq La Salle,"So that, to me, is important that audiences are treated with an amount of respect toward their intelligence. Most Hollywood films don't respect their intelligence.","[respect, me, important]",intelligence
11,Daniel Hannan,"The 'Robben Island Bible' has arrived at the British Museum. It's a garish thing, its cover plastered with pink and gold Hindu images, designed to hide its contents. Within is the finest collection of words generated by human intelligence: the complete works of William Shakespeare.","[words, gold, bible]",intelligence
12,George Woodcock,I began even as a boy to realize how wide the world can be for a man of free intelligence.,"[man, world, free]",intelligence
13,Michael Polanyi,Human beings exercise responsibilities within a social setting and a framework of obligations which transcend the principle of intelligence.,"[exercise, within, human]",intelligence
14,Paul Bremer,"If you look back today over the last 25 years, it is a fact that we have had a progressive degeneration of our intelligence community in general; in particular in the field of human intelligence.","[community, today, look]",intelligence
15,Matt Apuzzo,"We're a country that allowed waterboarding and indefinite detention, and we're a country where the NYPD Intelligence Division has police files on what Muslims think of the State of the Union address.","[police, think, country]",intelligence
16,Matt Apuzzo,"We interviewed many, many men and women from the NYPD and the NYPD Intelligence Division, specifically, and they're really good, dedicated people who want to keep the city safe.","[women, good, men]",intelligence
17,Timothy Leary,The universe is an intelligence test.,"[universe, test]",intelligence
18,Robert Jarvik,"This idea that clumsy, stumbling people are real bright is ridiculous, because intelligence is related to neurologic function, and really intelligent people are very well-coordinated.","[people, intelligent, real]",intelligence
19,Christine Ebersole,"I experience psychic phenomena, so people think I must be crazy. But you have to be accessible and intelligent to be a good actor. I might not have gotten the best grades in school, but I have a very high level of emotional intelligence. You have to be open to receive.","[best, experience, good]",intelligence
20,Terry Hayes,"Movie studios could learn a thing or two from British publishers. There is an intelligence, and a respect for writers; things that you hope for and never get in Hollywood.","[hope, respect, learn]",intelligence
21,George William Curtis,"Reputation is favorable notoriety as distinguished from fame, which is permanent approval of great deeds and noble thoughts by the best intelligence of mankind.","[best, great, thoughts]",intelligence
22,John Fowles,There are only two races on this planet - the intelligent and the stupid.,"[stupid, intelligent, planet]",intelligence
23,Katherine Boo,There's some way in which we would prefer not to see very clearly the immense gifts and intelligence of some of the people who live in our most abject conditions. Maybe there are some things at work in deciding who gets to be society's winners and who gets to be society's losers that don't have to do with merit.,"[work, society, people]",intelligence
24,Ilyasah Shabazz,"Betty Shabazz was the wife of a man who challenged a government that was historically unjust. She was harassed and placed under surveillance by the Nation of Islam (NOI), the Federal Bureau of Investigation (FBI), and the Central Intelligence Agency (CIA).","[man, government, wife]",intelligence
25,Jeff Hawkins,"Prediction is not just one of the things your brain does. It is the primary function of the neo-cortex, and the foundation of intelligence.","[brain, foundation]",intelligence
