,0,1,2,3
0,Bob Marley,"Life is one big road with lots of signs. So when you riding through the ruts, don't complicate your mind. Flee from hate, mischief and jealousy. Don't bury your thoughts, put your vision to reality. Wake Up and Live!","[life, mind, hate]",jealousy
1,Taylor Swift,"Red is such an interesting color to correlate with emotion, because it's on both ends of the spectrum. On one end you have happiness, falling in love, infatuation with someone, passion, all that. On the other end, you've got obsession, jealousy, danger, fear, anger and frustration.","[love, happiness, fear]",jealousy
2,Gary Allan,You can be the moon and still be jealous of the stars.,"[stars, moon, jealous]",jealousy
3,William Penn,"The jealous are troublesome to others, but a torment to themselves.","[jealous, others, themselves]",jealousy
4,Robert A. Heinlein,"Love is that condition in which the happiness of another person is essential to your own... Jealousy is a disease, love is a healthy condition. The immature mind often mistakes one for the other, or assumes that the greater the love, the greater the jealousy.","[love, happiness, love is]",jealousy
5,Heidi Klum,"I think it's important to get your surroundings as well as yourself into a positive state - meaning surround yourself with positive people, not the kind who are negative and jealous of everything you do.","[positive, yourself]",jealousy
6,"Oliver Wendell Holmes, Sr.","Love is the master key that opens the gates of happiness, of hatred, of jealousy, and, most easily of all, the gate of fear.","[love, happiness, fear]",jealousy
7,Johann Kaspar Lavater,The jealous are possessed by a mad devil and a dull spirit at the same time.,"[time, devil, jealous]",jealousy
8,Robert A. Heinlein,A competent and self-confident person is incapable of jealousy in anything. Jealousy is invariably a symptom of neurotic insecurity.,"[insecurity, person, anything]",jealousy
9,Mary Schmich,"Don't waste time on jealousy. Sometimes you're ahead, sometimes you're behind.","[time, ahead, waste time]",jealousy
10,George Washington,It will be found an unjust and unwise jealousy to deprive a man of his natural liberty upon the supposition he may abuse it.,"[man, liberty, abuse]",jealousy
11,Aaron Carter,"Love shouldn't be about jealousy or anything like that. It should be about commitment and being able to trust that person. If you can't have that from the get-go, there's a problem.","[love, trust, commitment]",jealousy
12,John Wayne,"In westerns, you meet a hardy bunch of characters. There is no jealousy on such pictures.","[pictures, you, meet]",jealousy
13,Alexis Carrel,"Like hatred, jealousy is forbidden by the laws of life because it is essentially destructive.","[life, hatred, laws]",jealousy
14,Jeff Foxworthy,I have never been jealous. Not even when my dad finished fifth grade a year before I did.,"[dad, year, jealous]",jealousy
15,Marie de France,"If one of two lovers is loyal, and the other jealous and false, how may their friendship last, for Love is slain!","[love, friendship, love is]",jealousy
16,Antisthenes,"As iron is eaten away by rust, so the envious are consumed by their own passion.","[passion, rust, away]",jealousy
17,Fulton J. Sheen,Jealousy is the tribute mediocrity pays to genius.,"[mediocrity, genius, tribute]",jealousy
18,H. G. Wells,Moral indignation is jealousy with a halo.,"[moral, indignation, halo]",jealousy
19,Joseph P. Kennedy,More men die of jealousy than of cancer.,"[men, die, cancer]",jealousy
20,Max Frisch,Jealousy is the fear of comparison.,"[fear, comparison]",jealousy
21,Oliver Stone,Never underestimate the power of jealousy and the power of envy to destroy. Never underestimate that.,"[power, underestimate, envy]",jealousy
22,Washington Irving,There is never jealousy where there is not strong regard.,"[strong, never, where]",jealousy
23,William Shenstone,Jealousy is the fear or apprehension of superiority: envy our uneasiness under it.,"[fear, envy, superiority]",jealousy
24,Mary Baker Eddy,Jealousy is the grave of affection.,"[affection, grave]",jealousy
25,Gene Tierney,"Jealousy is, I think, the worst of all faults because it makes a victim of both parties.","[victim, think, worst]",jealousy
