,0,1,2,3
0,Bertrand Russell,The good life is one inspired by love and guided by knowledge.,"[life, love, good]",knowledge
1,Benjamin Franklin,An investment in knowledge pays the best interest.,"[education, best, investment]",knowledge
2,Albert Einstein,The true sign of intelligence is not knowledge but imagination.,"[intelligence, imagination]",knowledge
3,Audrey Hepburn,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.","[wisdom, kindness, good]",knowledge
4,Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"[love, hope, death]",knowledge
5,Bruce Lee,"Knowledge will give you power, but character respect.","[respect, power, character]",knowledge
6,Marcus Garvey,"A people without the knowledge of their past history, origin and culture is like a tree without roots.","[history, culture, past]",knowledge
7,Albert Einstein,It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,"[teacher, art, joy]",knowledge
8,Albert Einstein,The only source of knowledge is experience.,"[experience, source, only]",knowledge
9,A. P. J. Abdul Kalam,"Never stop fighting until you arrive at your destined place - that is, the unique you. Have an aim in life, continuously acquire knowledge, work hard, and have perseverance to realise the great life.","[life, work, perseverance]",knowledge
10,Kofi Annan,"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.","[family, education, power]",knowledge
11,Herbert Spencer,The great aim of education is not knowledge but action.,"[education, great, action]",knowledge
12,Benjamin Franklin,"We are all born ignorant, but one must work hard to remain stupid.","[work, work hard, stupid]",knowledge
13,Aristotle,The one exclusive sign of thorough knowledge is the power of teaching.,"[teacher, power, teaching]",knowledge
14,Plato,"Human behavior flows from three main sources: desire, emotion, and knowledge.","[behavior, desire]",knowledge
15,Carl Sagan,Science is a way of thinking much more than it is a body of knowledge.,"[science, thinking, body]",knowledge
16,Confucius,Real knowledge is to know the extent of one's ignorance.,"[ignorance, know, real]",knowledge
17,Ariana Grande,"Love is a really scary thing, and you never know what's going to happen. It's one of the most beautiful things in life, but it's one of the most terrifying. It's worth the fear because you have more knowledge, experience, you learn from people, and you have memories.","[life, love, experience]",knowledge
18,David Bailey,The best advice I ever got was that knowledge is power and to keep reading.,"[best, power]",knowledge
19,Calvin Coolidge,"Knowledge comes, but wisdom lingers. It may not be difficult to store up in the mind a vast quantity of facts within a comparatively short time, but the ability to form judgments requires the severe discipline of hard work and the tempering heat of experience and maturity.","[work, time, hard work]",knowledge
20,Princess Diana,"Carry out a random act of kindness, with no expectation of reward, safe in the knowledge that one day someone might do the same for you.","[kindness, day, someone]",knowledge
21,Socrates,"To know, is to know that you know nothing. That is the meaning of true knowledge.","[meaning, know, nothing]",knowledge
22,Socrates,True knowledge exists in knowing that you know nothing.,"[wisdom, know, nothing]",knowledge
23,Confucius,"To know what you know and what you do not know, that is true knowledge.","[know, true, you]",knowledge
24,Immanuel Kant,Science is organized knowledge. Wisdom is organized life.,"[life, wisdom, science]",knowledge
25,Ludwig van Beethoven,"Don't only practice your art, but force your way into its secrets; art deserves that, for it and knowledge can raise man to the Divine.","[art, man, practice]",knowledge
