,0,1,2,3
0,Benjamin Disraeli,"Where knowledge ends, religion begins.","[religion, begins, where]",knowledge
1,Benjamin Disraeli,"The more extensive a man's knowledge of what has been done, the greater will be his power of knowing what to do.","[power, man, done]",knowledge
2,Samuel Butler,"A little knowledge is a dangerous thing, but a little want of knowledge is also a dangerous thing.","[want, dangerous, little]",knowledge
3,Samuel Butler,"The youth of an art is, like the youth of anything else, its most interesting period. When it has come to the knowledge of good and evil it is stronger, but we care less about it.","[art, good, evil]",knowledge
4,Shia LaBeouf,"Knowledge about the economy, ideas about capitalism and government, the future of the world and geopolitics were things I was never really interested in.","[future, government, world]",knowledge
5,Ambrose Bierce,"Faith: Belief without evidence in what is told by one who speaks without knowledge, of things without parallel.","[faith, belief, evidence]",knowledge
6,Ambrose Bierce,The small part of ignorance that we arrange and classify we give the name of knowledge.,"[ignorance, small, name]",knowledge
7,Ambrose Bierce,"Ardor, n. The quality that distinguishes love without knowledge.","[love, quality, without]",knowledge
8,Joel Edgerton,"Every job leaves its residue, a bit of extra knowledge, a new skill-set.","[job, new, every]",knowledge
9,Zooey Deschanel,"I think my knowledge of music theory is rooted in jazz theory, and a lot of the writers of standards - Rodgers and Hart, and Gershwin.","[music, jazz, think]",knowledge
10,Francis Bacon,He that hath knowledge spareth his words.,"[words, hath, he]",knowledge
11,Francis Bacon,The great end of life is not knowledge but action.,"[life, great, end]",knowledge
12,Francis Bacon,The desire of excessive power caused the angels to fall; the desire of knowledge caused men to fall.,"[power, men, angels]",knowledge
13,Jesse Ventura,"Patriotism is voluntary. It is a feeling of loyalty and allegiance that is the result of knowledge and belief. A patriot shows their their patriotism through their actions, by their choice.","[loyalty, patriotism, choice]",knowledge
14,Jesse Ventura,I believe patriotism comes from the heart. Patriotism is voluntary. It is a feeling of loyalty and allegiance that is the result of knowledge and belief.,"[loyalty, patriotism, heart]",knowledge
15,Blaise Pascal,"Vanity of science. Knowledge of physical science will not console me for ignorance of morality in time of affliction, but knowledge of morality will always console me for ignorance of physical science.","[time, science, ignorance]",knowledge
16,Anne Wojcicki,"As the knowledge around personalized medicine continues to grow, consumers should expect their healthcare providers to begin to incorporate genetic information into their treatments and preventative care.","[information, care, medicine]",knowledge
17,Monica Johnson,"God knows and sees all. His wisdom and knowledge far outweighs mankind, and whether or not people ever recognize it - He is the creator. He is the giver of life, and only He has the power to take it away. That's why its imperative to submit to Him.","[life, wisdom, god]",knowledge
18,Shakira,"I thank God that I'm a product of my parents. That they infected me with their intelligence and energy for life, with their thirst for knowledge and their love. I'm grateful that I know where I come from.","[life, love, god]",knowledge
19,Michael Leunig,"The child who has no need to feign empirical knowledge about life can wonder and fantasise with great ease. The world is his oyster, or any other thing he wants it to be.","[life, great, world]",knowledge
20,Sophocles,How dreadful knowledge of the truth can be when there's no help in the truth.,"[truth, help, how]",knowledge
21,Nancy Gibbs,"Right now, doctors can test for about 2,500 medical conditions, but they only can treat about 500 of those. So what do you do with the knowledge about the others?","[medical, treat, you]",knowledge
22,Robert Gottlieb,We all need each other in publishing to make publishing work for authors in a variety of formats now and in the future. Anyone who thinks publishers don't bring anything to the table has a very narrow view and lack of knowledge about the industry as a whole.,"[work, future, publishing]",knowledge
23,Henry Ford,"The only real security that a man can have in this world is a reserve of knowledge, experience and ability.","[experience, man, world]",knowledge
24,Angela Merkel,"We need... to say to people that this is a temporary residential status, and we expect that, once there is peace in Syria again, once IS has been defeated in Iraq, that you go back to your home country with the knowledge that you have gained.","[peace, home, people]",knowledge
25,T. S. Eliot,Where is the Life we have lost in living? Where is the wisdom we have lost in knowledge? Where is the knowledge we have lost in information?,"[life, wisdom, living]",knowledge
