,0,1,2,3
0,John C. Maxwell,"A leader is one who knows the way, goes the way, and shows the way.","[leader, way, knows]",leadership
1,John Quincy Adams,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.","[leader, inspire, learn]",leadership
2,Chris Hadfield,"Ultimately, leadership is not about glorious crowning acts. It's about keeping your team focused on a goal and motivated to do their best to achieve it, especially when the stakes are high and the consequences really matter. It is about laying the groundwork for others' success, and then standing back and letting them shine.","[success, best, goal]",leadership
3,Alexander the Great,I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.,"[i am, lion, army]",leadership
4,Robin S. Sharma,"Leadership is not about a title or a designation. It's about impact, influence and inspiration. Impact involves getting results, influence is about spreading the passion you have for your work, and you have to inspire team-mates and customers.","[work, passion, influence]",leadership
5,Donald Trump,"You have to think anyway, so why not think big?","[think, you, think big]",leadership
6,Ray Kroc,The quality of a leader is reflected in the standards they set for themselves.,"[leader, quality, themselves]",leadership
7,Napoleon Bonaparte,A leader is a dealer in hope.,"[hope, leader, dealer]",leadership
8,Warren Bennis,Leadership is the capacity to translate vision into reality.,"[vision, reality, translate]",leadership
9,Ronald Reagan,"When you can't make them see the light, make them feel the heat.","[light, see, you]",leadership
10,Arnold H. Glasow,"A good leader takes a little more than his share of the blame, a little less than his share of the credit.","[good, leader, blame]",leadership
11,John F. Kennedy,Leadership and learning are indispensable to each other.,"[learning, indispensable]",leadership
12,Jean-Paul Sartre,Only the guy who isn't rowing has time to rock the boat.,"[time, boat, rock]",leadership
13,Theodore Roosevelt,"People ask the difference between a leader and a boss. The leader leads, and the boss drives.","[leader, boss, people]",leadership
14,"Martin Luther King, Jr.",A genuine leader is not a searcher for consensus but a molder of consensus.,"[leader, genuine, consensus]",leadership
15,Andrew Carnegie,No man will make a great leader who wants to do it all himself or get all the credit for doing it.,"[great, leader, man]",leadership
16,Steve Jobs,Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.,"[excellence, quality]",leadership
17,Steve Jobs,Innovation distinguishes between a leader and a follower.,"[innovation, leader, follower]",leadership
18,Dwight D. Eisenhower,"The supreme quality for leadership is unquestionably integrity. Without it, no real success is possible, no matter whether it is on a section gang, a football field, in an army, or in an office.","[success, integrity, football]",leadership
19,Peter Drucker,Management is doing things right; leadership is doing the right things.,"[management, doing, right]",leadership
20,Harold S. Geneen,Leadership is practiced not so much in words as in attitude and in actions.,"[attitude, words, actions]",leadership
21,Henry Ford,"Don't find fault, find a remedy.","[find, fault, remedy]",leadership
22,Thomas Aquinas,"If the highest aim of a captain were to preserve his ship, he would keep it in port forever.","[ship, aim, captain]",leadership
23,Simon Sinek,"Leadership is not about the next election, it's about the next generation.","[election, generation, next]",leadership
24,Colin Powell,Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,"[failure, confidence, day]",leadership
25,David Joseph Schwartz,Think little goals and expect little achievements. Think big goals and win big success.,"[success, goals, win]",leadership
