,0,1,2,3
0,Anna Maria Chavez,Research shows that girls look at leadership differently than boys.,"[research, look, differently]",leadership
1,Alexis Herman,The public sector certainly includes the Department of Labor. Those are jobs that are available. They are open and they are good paying jobs. The government as a whole has been actually retrenching under President Clinton's leadership.,"[good, government, labor]",leadership
2,Charles Williams,"The Divine Thing that made itself the foundation of the Church does not seem, to judge by his comments on the religious leadership of his day, to have hoped much from officers of a church.","[day, foundation, judge]",leadership
3,Chris Patten,"But the ability to articulate what you are doing, to be clear about it, and to stick to it is, I think, the essence of political leadership.","[political, doing, think]",leadership
4,Erskine Bowles,Leadership is the key to 99 percent of all successful efforts.,"[successful, key, percent]",leadership
5,Joe Miller,"I believe that it is irresponsible, it is basically part of the crisis of leadership in D.C. to not look at Social Security and understand that there has got to be a solution posed. We've got to take a look at it and make sure that we create a solution so our seniors aren't left out in the cold.","[believe, security, i believe]",leadership
6,Mildred S. Dresselhaus,All the leadership positions that I have had have one common denominator: none has required that I give up my science work.,"[work, science, positions]",leadership
7,Chesty Puller,"If you want to get the most out of your men, give them a break! Don't make them work completely in the dark. If you do, they won't do a bit more than they have to. But if they comprehend, they'll work like mad.","[work, men, dark]",leadership
8,An Wang,You have to have your heart in the business and the business in your heart.,"[business, heart, you]",leadership
9,Scott McNealy,Get the best people and train them well.,"[best, people, train]",leadership
10,Ken Olsen,The nicest thing about standards is that there are so many of them to choose from.,"[choose, standards, many]",leadership
11,Cyril Falls,The very exercise of leadership fosters capacity for it.,"[exercise, capacity, very]",leadership
