,0,1,2,3
0,Pele,"Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.","[love, success, work]",learning
1,Colin Powell,"Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.","[success, work, hard work]",learning
2,Brad Henry,"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.","[love, teacher, hope]",learning
3,Neil Gaiman,"I hope that in this year to come, you make mistakes. Because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. You're doing things you've never done before, and more importantly, you're doing something.","[new year's, hope, mistakes]",learning
4,Earl Nightingale,"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.","[life, family, work]",learning
5,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.","[success, work, hard work]",learning
6,Tena Desae,"Stay positive and happy. Work hard and don't give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.","[positive, work, hope]",learning
7,Benjamin Franklin,Tell me and I forget. Teach me and I remember. Involve me and I learn.,"[me, learn, remember]",learning
8,Albert Einstein,Education is what remains after one has forgotten what one has learned in school.,"[education, school, forgotten]",learning
9,Leo Buscaglia,Change is the end result of all true learning.,"[education, change, end]",learning
10,Mahatma Gandhi,Live as if you were to die tomorrow. Learn as if you were to live forever.,"[tomorrow, learn, die]",learning
11,Martin Lawrence,"I'm most proud of the blessings that God has bestowed upon me, in my life. He's given me the vision to truly see that you can fall down, but you can still get back up. Hopefully I'll learn from my mistakes and have the opportunity to strengthen and improve the next thing I do.","[life, god, opportunity]",learning
12,Chantal Kreviazuk,"I'm learning a lot about myself being alone, and doing what I'm doing.","[alone, myself, being alone]",learning
13,Bruce Lee,A wise man can learn more from a foolish question than a fool can learn from a wise answer.,"[wise, man, fool]",learning
14,Jiddu Krishnamurti,"There is no end to education. It is not that you read a book, pass an examination, and finish with education. The whole of life, from the moment you are born to the moment you die, is a process of learning.","[life, education, end]",learning
15,Anthony J. D'Angelo,"Develop a passion for learning. If you do, you will never cease to grow.","[education, passion, grow]",learning
16,John F. Kennedy,Leadership and learning are indispensable to each other.,"[leadership, indispensable]",learning
17,Maya Angelou,"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.","[people, never forget, forget]",learning
18,Isaac Watts,Learning to trust is one of life's most difficult tasks.,"[life, trust, difficult]",learning
19,Margaret Mead,I learned the value of hard work by working hard.,"[work, hard work]",learning
20,Elisabeth Kubler-Ross,"Learning lessons is a little like reaching maturity. You're not suddenly more happy, wealthy, or powerful, but you understand the world around you better, and you're at peace with yourself. Learning life's lessons is not about making your life perfect, but about seeing life as it was meant to be.","[life, peace, happy]",learning
21,Darell Hammond,"Growing up in a group home, and with an undiagnosed learning disability to boot, the odds of success were not on my side. But when I joined the high school football team, I learned the value of discipline, focus, persistence, and teamwork - all skills that have proven vital to my career as a C.E.O. and social entrepreneur.","[success, home, teamwork]",learning
22,Richard Branson,"You don't learn to walk by following rules. You learn by doing, and by falling over.","[rules, walk, learn]",learning
23,Douglas Adams,Flying is learning how to throw yourself at the ground and miss.,"[yourself, flying, miss]",learning
24,Daniel J. Boorstin,Education is learning what you didn't even know you didn't know.,"[education, know, you]",learning
25,Queen Latifah,"I made decisions that I regret, and I took them as learning experiences... I'm human, not perfect, like anybody else.","[experience, decisions]",learning
