,0,1,2,3
0,John Wooden,"If I am through learning, I am through.","[i am, through, am]",learning
1,Karen Armstrong,"We have domesticated God's transcendence. We often learn about God at about the same time as we are learning about Santa Claus; but our ideas about Santa Claus change, mature and become more nuanced, whereas our ideas of God can remain at a rather infantile level.","[change, time, god]",learning
2,Danica Patrick,"Take those chances and you can achieve greatness, whereas if you go conservative, you'll never know. I truly believe what doesn't kill you makes you stronger. Even if you fail, learning and moving on is sometimes the best thing.","[best, moving on, greatness]",learning
3,John Irving,"With every book, you go back to school. You become a student. You become an investigative reporter. You spend a little time learning what it's like to live in someone else's shoes.","[time, school, book]",learning
4,Samuel Butler,Life is like playing a violin solo in public and learning the instrument as one goes on.,"[life, experience, violin]",learning
5,Lyndon B. Johnson,Poverty must not be a bar to learning and learning must offer an escape from poverty.,"[poverty, escape, bar]",learning
6,Joseph Joubert,He who has imagination without learning has wings but no feet.,"[imagination, feet, wings]",learning
7,Robert Byrne,Learning to dislike children at an early age saves a lot of expense and aggravation later in life.,"[life, age, children]",learning
8,Joseph Joubert,One who has imagination without learning has wings without feet.,"[imagination, feet, wings]",learning
9,P. J. O'Rourke,"I like to think of my behavior in the sixties as a 'learning experience.' Then again, I like to think of anything stupid I've done as a 'learning experience.' It makes me feel less stupid.","[experience, stupid, me]",learning
10,Donald Rumsfeld,Secretary Powell and I agree on every single issue that has ever been before this administration except for those instances where Colin's still learning.,"[agree, single, secretary]",learning
11,W. Edwards Deming,Learning is not compulsory... neither is survival.,"[survival, compulsory]",learning
12,Ray Charles,Learning to read music in Braille and play by ear helped me develop a damn good memory.,"[music, good, memory]",learning
13,Carl Levin,"If we have a chance of succeeding and bringing stability and democracy to Iraq, it will mean learning from our mistakes, not denying them and not ignoring them.","[democracy, mistakes, chance]",learning
14,Gregory Bateson,"In the transmission of human culture, people always attempt to replicate, to pass on to the next generation the skills and values of the parents, but the attempt always fails because cultural transmission is geared to learning, not DNA.","[culture, parents, generation]",learning
15,B. B. King,"Jazz is the big brother of the blues. If a guy's playing blues like we play, he's in high school. When he starts playing jazz it's like going on to college, to a school of higher learning.","[college, school, brother]",learning
16,Richard Price,"I'd love to be a saxophonist. I don't know why, but I pretend I'm the saxophonist when I listen to music. I have about as much chance playing the sax as I do learning how to fly.","[love, music, chance]",learning
17,Chuck Close,"I wanted to translate from one flat surface to another. In fact, my learning disabilities controlled a lot of things. I don't recognize faces, so I'm sure it's what drove me to portraits in the first place.","[me, place, portraits]",learning
18,Bubba Sparxxx,Deliverance is about what I went through the first time. And I chalk it up as a learning experience.,"[time, experience, first]",learning
19,Steve Irwin,"The only animals I'm not comfortable with are parrots, but I'm learning as I go. I'm getting better and better at 'em. I really am.","[animals, getting better]",learning
20,Tom Clancy,"Life is about learning; when you stop learning, you die.","[life, die, you]",learning
21,Helen Frankenthaler,"Whatever the medium, there is the difficulty, challenge, fascination and often productive clumsiness of learning a new method: the wonderful puzzles and problems of translating with new materials.","[challenge, problems, new]",learning
22,Henry Reed,"People are learning to feel more comfortable hearing one another's dreams. It used to be that if you told a dream in public, someone had to make a joke to relieve the tension introduced by that alternative reality.","[dreams, people, reality]",learning
23,Archibald MacLeish,There is only one thing more painful than learning from experience and that is not learning from experience.,"[experience, painful, more]",learning
24,Herb Ritts,"Even though I didn't get a business degree, I enjoyed learning about economics.","[business, graduation]",learning
25,Drew Carey,"There's no way I can justify my salary level, but I'm learning to live with it.","[live, way, salary]",learning
