,0,1,2,3
0,Sugar Ray Leonard,"When I was fighting, I would look to excite the crowds with a bolo punch or something taunting. Looking back, they were legal - but not sportsmanlike. I don't recommend another boxer try them. But we looked more to make the robot fights dramatic first and realistic second.","[looking, looking back, look]",legal
1,Sergei Lavrov,Russia has every reason to dispose of its nuclear arsenal... to suit its interests and international legal obligations.,"[reason, nuclear, arsenal]",legal
2,Marvin Ammori,"'Network neutrality' is sometimes called 'Internet freedom' or 'Internet openness' and is a legal principle that would forbid cable and phone companies like AT&T, Verizon, and Comcast from blocking some websites or providing special priority to others.","[freedom, internet, special]",legal
3,Marvin Ammori,"The FCC can't enforce press-statement principles without adopting official rules, and those rules must be based on the legal theory of reclassification.","[rules, principles, without]",legal
4,Marvin Ammori,The Open Internet principles were not legal rules adopted by the FCC; they were effectively a press statement posted on the FCC website.,"[internet, rules, website]",legal
5,Martin Jacques,"Sport is increasingly played according to the tune, and rules, of those with the biggest bucks, whether their practices be legal or illegal.","[rules, practices]",legal
6,Annie Besant,"It is not monogamy when there is one legal wife, and mistresses out of sight.","[wife, sight, monogamy]",legal
7,Lynn Coady,"I spent so many years in terror of 'making it legal' because the expression rang all too true - the wedding ritual struck me as nothing but a flowery front for the fulfilment of countless, tedious contracts and obligations.","[wedding, me, nothing]",legal
8,John Mackey,"We should all have the legal right to purchase health insurance from any insurance company in any state, and we should be able use that insurance wherever we live. Health insurance should be portable.","[health, company, live]",legal
9,Yair Lapid,"The settlers, as we know, are the only people in Israel who take the Left seriously. When you read the settlers' publications, you think that the leftists are everywhere: The leftists infiltrate the government, the leftists run the Defense Ministry, the leftists dominate the legal establishment, and the leftists control the media, of course.","[government, media, people]",legal
10,Philippe Petit,"If you see how carefully I prepare for any kind of walk, legal or illegal, small or big, you will see that, actually, I narrow the unknown to virtually nothing. And that's when I am ready to walk on the wire.","[i am, small, walk]",legal
11,Tim Kaine,"I believe all people, regardless of sexual orientation, should be guaranteed the full rights to the legal benefits and responsibilities of marriage under the Constitution.","[marriage, believe, people]",legal
12,Rick Perlstein,"Look at liberty's greatest historic advances: ending slavery. Giving women the vote. Outlawing legal segregation. Each and every time, the people at the forefront of advancing those reforms - often putting their lives on the line - called themselves liberals.","[time, women, giving]",legal
13,John Fleming,"If a woman chooses to have an abortion, it is legal to do that in this country, but I don't think taxpayers should be put in a position to have to pay for those abortions.","[woman, abortion, think]",legal
14,Enda Kenny,"We have a very long legal system with the European Union, and we're English speaking.","[long, european union, system]",legal
15,Enda Kenny,"Public confidence in, and support for, the euro - and, indeed, the European Union - will ultimately be determined by how well we deliver on growth and jobs rather than on institutional wrangling and complex legal or technical negotiations.","[confidence, growth, support]",legal
16,Rachel Sklar,"I wrote small stories here and there, then bigger ones. Some were even written for money. I signed up for a writing class and snuck my first assignment on a yellow legal pad in a partner's office while he read through my memo.","[money, writing, small]",legal
17,Walter Kirn,"In America, to be ID'd - sorted, tagged, and permanently filed - is to lose a bit of one's soul. To die a little. This sounds like a subtle, poetic notion. It's not. In American legal and cultural tradition, one essential privilege of citizenship is not having to prove it on demand.","[soul, america, american]",legal
18,Ron DeSantis,"I look forward to taking on issues regarding the Constitution, intellectual property, terrorism, and other legal and regulatory reforms.","[constitution, forward]",legal
19,Ron DeSantis,"We must enforce the laws we have on the books, secure our borders, and deny special benefits to illegal immigrants such as in-state tuition rates. This approach is best for American citizens and is fair to those who have taken the time and effort to go through the legal immigration process.","[best, time, effort]",legal
20,Pete Rose,"I still gamble, but it's all legal. I own horses, and I go to watch my horse. I don't go daily.","[daily, horse, watch]",legal
21,Paul Gosar,"The EPA has no legal authority to expand the definition of navigable waters under the Clean Water Act, as the Supreme Court has repeatedly made clear.","[water, supreme court]",legal
22,Bill Flores,I think what we need to do is to have an immigration system where legal immigration is easier.,"[immigration, think, need]",legal
23,Bill Flores,"If we build the legal immigration system better, then they come here, and we'll have a whole lot less illegal immigration.","[immigration, better]",legal
24,Bill Flores,It is indefensible that IRS Commissioner Koskinen has not been held accountable for failing to meet his legal obligations. This is exactly what the American people are tired of when they say that our government is on the wrong track.,"[government, people, american]",legal
25,Hanya Yanagihara,"I have never wanted a family. I don't believe in marriage, though I obviously believe it should be legal for everyone who wants to do it. But it is not something I believe in, nor do the characters in my book, nor do any of my friends.","[family, marriage, book]",legal
